scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,ablation_group,ablation_case,case_label
ablation_fixed_eta,C4,1007,2167,2166,90.25,99.95385325334564,0.4959371279570632,4.503911062619469,0.0171443036803445,10.526315789473683,0.0,89.47368421052632,0.3194694580604849,0.0,0,13960.0,28.82999999999966,4.71083333333335,28.29099509822538,25.461895588402854,2.8290995098225418,90.00000000000003,27.73572396073517,25.461895588402854,0.0,39.29304874753529,2.0,4,0.0,671,43.36810730253353,293,1396,eta,fixed_eta,"C4-Fixed
η = 90%"
ablation_fixed_eta,C4,1008,2146,2136,89.0,99.53401677539608,0.4281887237263722,3.571786913525769,0.011974988757186,9.56719817767654,0.0,90.43280182232346,0.3216171243481278,4.736951571734002e-17,0,14630.0,28.539999999999694,4.66444444444446,29.617835234673965,26.65605171120658,2.9617835234674006,90.00000000000003,40.118304199173735,26.65605171120658,0.0,41.13588227038054,2.0,4,2.3684757858670006e-16,699,41.3447782546495,317,1463,eta,fixed_eta,"C4-Fixed
η = 90%"
ablation_fixed_eta,C4,1009,2120,2120,88.33333333333333,100.0,0.4122889213091797,4.0288304580807255,0.0110073602791883,9.336609336609335,0.0,90.66339066339066,0.3276505622905711,0.0,0,14580.0,28.413999999999707,4.623194444444461,30.04579757539437,27.04121781785495,3.004579757539441,90.00000000000004,32.17207056477721,27.04121781785495,0.0,41.73027441027001,2.0,4,0.0,696,42.09770114942529,320,1458,eta,fixed_eta,"C4-Fixed
η = 90%"
ablation_fixed_eta,C4,1010,2162,2153,89.70833333333333,99.58371877890842,0.4032687898204915,4.418069406834669,0.0118965573119363,7.744874715261963,0.0,92.25512528473804,0.3172421048733509,0.0,0,15150.0,29.03799999999967,4.719027777777795,29.592842245593637,26.63355802103428,2.959284224559367,90.00000000000003,37.77581852964008,26.63355802103428,0.0,41.10116978554675,2.0,4,0.0,687,36.68122270742359,332,1515,eta,fixed_eta,"C4-Fixed
η = 90%"
ablation_fixed_eta,C4,1011,2201,2136,89.0,97.04679691049525,3.3485608894917323,355.25118778477605,2.714952451037073,15.850815850815849,3.7810383747178378,84.14918414918415,0.2610764209848085,129.46980131919224,0,13370.0,29.171999999999706,4.777083333333347,45.91248844546893,41.32123960092203,4.591248844546893,89.99999999999999,19.662696806230365,23.755394953780584,17.565844647141446,63.7673450631513,2.0,4,647.3490065959612,633,45.33965244865718,310,1337,eta,fixed_eta,"C4-Fixed
η = 90%"
ablation_fixed_eta,C4,1012,2155,2150,89.58333333333333,99.76798143851508,0.4389639025989761,4.471381576697847,0.0147696906750676,9.112149532710278,0.0,90.88785046728972,0.3217196635858914,2.368475785867001e-17,0,14590.0,28.73999999999969,4.689583333333349,28.680921109079076,25.812828998171177,2.868092110907911,90.00000000000004,33.14057039800498,25.812828998171177,0.0,39.83461265149876,2.0,4,1.1842378929335003e-16,709,42.87729196050776,328,1459,eta,fixed_eta,"C4-Fixed
η = 90%"
ablation_fixed_eta,C4,1013,2173,2164,90.16666666666669,99.58582604693972,0.4932402070576032,5.417435976621399,0.0207980719826115,12.195121951219512,0.058072009291521,87.8048780487805,0.3154996811825107,0.0,0,14470.0,28.78799999999969,4.715416666666682,29.120114774296127,26.20810329686653,2.9120114774296155,90.00000000000004,34.83153631739927,26.20810329686653,0.0,40.4446038531891,2.0,4,0.0,693,43.722943722943725,318,1447,eta,fixed_eta,"C4-Fixed
η = 90%"
ablation_fixed_eta,C4,1014,2235,2232,93.0,99.86577181208054,0.5369255305580128,4.611613468633808,0.0159681822998309,11.88340807174888,0.0,88.11659192825113,0.3062207405624489,0.0,0,13460.0,29.32399999999968,4.8301388888889045,26.260533397518397,23.634480057766552,2.626053339751841,89.99999999999999,25.93841890170887,23.634480057766552,0.0,36.4729630521089,2.0,4,0.0,625,40.0,292,1346,eta,fixed_eta,"C4-Fixed
η = 90%"
ablation_fixed_eta,C4,1015,2188,2183,90.95833333333331,99.77148080438756,0.6095265286847251,79.49326804389081,0.0651361793213322,15.24249422632794,0.2279202279202308,84.75750577367207,0.3053010352725923,0.0,0,13540.0,28.93599999999969,4.744444444444458,31.291627301866743,28.16246457168009,3.129162730186676,90.00000000000007,19.70988345019225,24.65602611646448,3.5064384552156054,43.46059347481496,2.0,4,0.0,674,46.58753709198813,275,1354,eta,fixed_eta,"C4-Fixed
η = 90%"
ablation_fixed_eta,C4,1016,2129,2127,88.625,99.90605918271488,0.4209402115406583,3.760996289875645,0.010169763797742,8.924485125858128,0.0,91.07551487414187,0.3259047698177796,0.0,0,14850.0,28.623999999999683,4.649027777777794,29.77428286559931,26.796854579039397,2.9774282865599337,90.00000000000004,33.72096596670041,26.796854579039397,0.0,41.35317064666575,2.0,4,0.0,695,42.44604316546763,311,1485,eta,fixed_eta,"C4-Fixed
η = 90%"
ablation_fixed_eta,C4,1017,2134,2131,88.79166666666667,99.85941893158387,0.3689163011786082,4.354363822503244,0.0067779865115253,6.38766519823789,0.0,93.6123348017621,0.3235697113210859,0.0,0,15160.0,28.595999999999684,4.65333333333335,30.114903924409024,27.103413531968133,3.011490392440906,90.00000000000003,42.51775695036883,27.103413531968133,0.0,41.82625545056813,2.0,4,0.0,711,41.35021097046413,355,1516,eta,fixed_eta,"C4-Fixed
η = 90%"
ablation_fixed_eta,C4,1018,2228,2222,92.58333333333331,99.73070017953322,0.5511558723804757,4.856616691833187,0.0230023335402194,14.254385964912286,0.0,85.74561403508771,0.3067365526242934,0.0,0,13880.0,29.45999999999969,4.830833333333347,26.774841055254345,24.097356949728923,2.677484105525438,90.00000000000004,26.710144611689024,24.097356949728923,0.0,37.18727924340885,2.0,4,0.0,600,44.83333333333333,317,1388,eta,fixed_eta,"C4-Fixed
η = 90%"
ablation_fixed_eta,C4,1019,2165,2160,90.0,99.76905311778292,0.5881707528369564,5.362360224588459,0.0239493149716226,16.258351893095767,0.1748251748251772,83.74164810690424,0.3202687903248642,0.0,0,14030.0,28.875999999999724,4.71152777777779,28.20323548304884,25.38291193474396,2.8203235483048865,90.00000000000003,25.39987071089741,25.38291193474396,0.0,39.17116039312342,2.0,4,0.0,686,45.481049562682216,310,1403,eta,fixed_eta,"C4-Fixed
η = 90%"
ablation_fixed_eta,C4,1020,2168,2162,90.08333333333331,99.72324723247232,0.4807160375539613,6.074164966810591,0.0138077188834497,9.367088607594942,0.056401579244214,90.63291139240506,0.3183731384367819,0.0,0,14560.0,28.783999999999693,4.708888888888904,28.58567016275847,25.727103146482623,2.858567016275849,90.0,27.810127914733645,25.727103146482623,0.0,39.70231967049791,2.0,4,0.0,685,44.23357664233576,331,1456,eta,fixed_eta,"C4-Fixed
η = 90%"
ablation_fixed_eta,C4,1021,2077,2075,86.45833333333333,99.90370727010112,0.3523624837113242,3.927491739775481,0.012846377652533,7.263922518159804,0.0,92.7360774818402,0.3345428613685612,0.0,0,15420.0,27.9459999999997,4.536944444444462,31.86456990731793,28.678112916586148,3.186456990731796,90.00000000000003,43.09333830648862,28.678112916586148,0.0,44.25634709349716,2.0,4,0.0,749,44.32576769025367,330,1542,eta,fixed_eta,"C4-Fixed
η = 90%"
ablation_fixed_eta,C4,1022,2140,2136,89.0,99.81308411214953,0.5330634697597588,7.386009976900736,0.0287720124116477,13.064133016627078,0.3490401396160525,86.93586698337292,0.3230653224767987,0.0,0,14280.0,28.58199999999969,4.659861111111128,29.696483908352427,26.726835517517195,2.9696483908352445,90.00000000000003,35.311359362850986,26.726835517517195,0.0,41.2451165393784,2.0,4,0.0,703,41.96301564722618,308,1428,eta,fixed_eta,"C4-Fixed
η = 90%"
