strategy,agv_id,time_h,soc
C1,1,0.0,52.13674812382657
C1,1,0.0722909797058201,51.855081457159905
C1,1,0.11673542415026454,51.53063701271545
C1,1,0.17590586320695017,51.334525901604344
C1,1,0.24820784224524706,51.09563701271546
C1,1,0.31316493664928946,50.72841479049324
C1,1,0.40335951509898865,50.489525901604345
C1,1,0.47940010883158374,50.1650814571599
C1,1,0.5239518418527283,49.840637012715455
C1,1,0.565618508519395,49.55897034604879
C1,1,0.6546310445784272,49.277303679382115
C1,1,0.7574448524147567,48.91008145715989
C1,1,0.7991115190814234,48.628414790493224
C1,1,0.8853969648130209,48.34674812382656
C1,1,0.9562710244514572,47.97952590160433
C1,1,1.0235235154075768,47.69785923493766
C1,1,1.0929766743584128,47.330637012715435
C1,1,1.1374211188028573,47.006192568271
C1,1,1.1846433410250796,46.63897034604877
C1,1,1.231865563247302,46.27174812382655
C1,1,1.2763100076917464,45.9473036793821
C1,1,1.3225832106649815,45.75119256827099
C1,1,1.3808396318356206,45.38397034604876
C1,1,1.4197285207245096,45.145081457159876
C1,1,1.4840499508947103,44.82063701271543
C1,1,1.5419152036947195,44.453414790493206
C1,1,1.600229585104324,44.08619256827098
C1,1,1.647451807326546,43.718970346048756
C1,1,1.7034337183571227,43.48008145715987
C1,1,1.7514857636124257,43.112859234937645
C1,1,1.798707985834648,42.74563701271542
C1,1,1.8567786365086227,42.50674812382653
C1,1,1.9333527483881128,42.18230367938209
C1,1,2.0065702078047476,41.9434147904932
C1,1,2.0482368744714146,41.661748123826534
C1,1,2.092681318915859,41.33730367938209
C1,1,2.12879243002697,41.141192568270974
C1,1,2.1832410203299983,40.85952590160431
C1,1,2.248218243430765,40.577859234937634
C1,1,2.3101202427895355,40.25341479049319
C1,1,2.347152224515993,40.05730367938208
C1,1,2.3943744467382153,39.690081457159856
C1,1,2.4847217131549475,39.40841479049318
C1,1,2.5236106020438367,39.169525901604295
C1,1,2.5597217131549477,38.97341479049318
C1,1,2.6069439353771697,38.606192568270956
C1,1,2.6513883798216145,38.28174812382652
C1,1,2.6958328242660587,37.95730367938207
C1,1,2.743055046488281,37.59008145715985
C1,1,2.8478953691361726,37.308414790493174
C1,1,2.9502306950345045,36.94119256827095
C1,1,2.9891195839233933,36.70230367938206
C1,1,3.04532384333662,36.377859234937624
C1,1,3.0869905100032864,36.09619256827095
C1,1,3.125879398892175,35.85730367938206
C1,1,3.1922567294652566,35.66119256827095
C1,1,3.2487249573212886,35.46508145715983
C1,1,3.336224816616949,35.140637012715395
C1,1,3.3857169911835,34.85897034604872
C1,1,3.421828102294611,34.662859234937606
C1,1,3.469050324516833,34.29563701271539
C1,1,3.5154131970490714,34.013970346048715
C1,1,3.5923871948742003,33.77508145715983
C1,1,3.6396094170964224,33.407859234937604
C1,1,3.6784983059853116,33.16897034604872
C1,1,3.720164972651978,32.88730367938204
C1,1,3.7646094170964224,32.562859234937605
C1,1,3.8034983059853116,32.32397034604871
C1,1,3.8507205282075336,31.95674812382649
C1,1,3.9480512169934956,31.760637012715375
C1,1,3.99249566143794,31.436192568270933
C1,1,4.034162328104607,31.154525901604263
C1,1,4.070273439215717,30.95841479049315
C1,1,4.106384550326829,30.762303679382036
C1,1,4.164961957831693,30.52341479049315
C1,1,4.201073068942804,30.327303679382034
C1,1,4.275744037265192,30.13119256827092
C1,1,4.322966259487414,29.763970346048694
C1,1,4.36422708589949,29.567859234937583
C1,1,4.405893752566157,29.286192568270913
C1,1,4.447560419232824,29.004525901604243
C1,1,4.4864493081217125,28.765637012715356
C1,1,4.530893752566157,28.441192568270914
C1,1,4.567004863677268,28.2450814571598
C1,1,4.605893752566157,28.00619256827091
C1,1,4.6531159747883795,27.638970346048687
C1,1,4.694782641455046,27.357303679382017
C1,1,4.739227085899491,27.032859234937572
C1,1,4.7781159747883795,26.793970346048685
C1,1,4.819782641455046,26.512303679382015
C1,1,4.858671530343935,26.273414790493128
C1,1,4.9031159747883795,25.948970346048682
