scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,critical_soc_event_count,simulation_failure_count,infeasible_count,priority_decisions,total_priority_computation_time_s,mean_decision_latency_ms,p95_decision_latency_ms,max_decision_latency_ms,solver_calls_per_replication,solver_total_time_per_replication_s,solver_mean_time_s,solver_median_time_s,solver_p95_time_s,solver_max_time_s,solver_mean_time_per_call_ms,solver_p95_time_per_call_ms,solver_max_time_per_call_ms,solver_mean_binary_variables,solver_mean_constraints,solver_mean_available_agv_slot_pairs,solver_mean_actual_busy_agv_slot_pairs,solver_mean_forecast_busy_agv_slot_pairs,solver_infeasible_calls,solver_time_limit_calls,solver_fallback_calls,solver_safety_slack_total,solver_reserve_slack_total,solver_task_slack_total
base,C1,6007,1826,1823,75.95833333333333,99.83570646221249,1.6517622691516494,100.29864416477503,0.75121172585904,0,9.693318729463307,100,0.42271341500021187,8.761677868225878,0,100.0,21.931999999999945,3.8055555555555456,25.223170599923755,20.120984760570558,5.102185839353199,79.77182995634729,29.678888888888554,0.0,20.120984760570558,17.516090694391494,0,0,43.80838934112938,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6008,1781,1781,74.20833333333333,100.0,1.5500970037581785,64.13407074914818,0.641082308434332,0,9.545199326221221,100,0.43540395911216223,3.9310674778371806,0,100.0,21.391999999999964,3.711805555555546,25.154574719621593,20.12844138821529,5.026133331406305,80.01900891814437,29.678888888888554,0.0,20.12844138821529,17.468454666403886,0,0,19.655337389185902,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6009,1802,1797,74.875,99.72253052164261,0.7928679470086696,50.88180500916472,0.25596289348080015,0,1.6093229744728044,100,0.4299193383681798,0.0,0,100.0,21.643999999999952,3.7555555555555458,25.029038187455274,20.115552600705144,4.913485586750134,80.36885976220691,29.678888888888554,0.0,20.115552600705144,17.381276519066162,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6010,1836,1832,76.33333333333333,99.78213507625271,0.937986872534873,56.382455305702024,0.301390882763339,0,3.05010893246187,100,0.41990686649178144,0.20986014060110997,0,100.0,22.051999999999943,3.826388888888879,25.23352806295868,20.12352988279241,5.109998180166271,79.7491727378882,29.678888888888554,0.0,20.12352988279241,17.52328337705464,0,0,1.04930070300555,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6011,1833,1831,76.29166666666667,99.89088925259138,0.864287507747487,53.63788269810454,0.2854989867186427,0,1.9094380796508492,100,0.41383102950195616,0.0,0,110.0,22.01799999999994,3.820277777777768,27.720829379295772,22.14112545059459,5.579703928701186,79.87180018189294,29.678888888888554,0.0,22.14112545059459,19.250575957844283,0,0,0.0,0,0,0,11,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6012,1800,1796,74.83333333333333,99.77777777777777,1.1035912240258041,74.4606981901267,0.3884099310688996,0,5.611111111111111,100,0.43015238263542505,4.860475795964243,0,100.0,21.619999999999955,3.7513888888888793,25.14514225124698,20.144950225770188,5.000192025476801,80.11467990311796,29.678888888888554,0.0,20.144950225770188,17.461904341143736,0,0,24.30237897982121,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6013,1817,1813,75.54166666666667,99.77985690698954,0.7608306673953621,51.3771761634666,0.2725379408220161,0,0.8255365987892116,100,0.4187432828470806,0.0,0,110.0,21.825999999999947,3.7869444444444347,27.552418175050995,22.143048026880532,5.40937014817046,80.36698588921423,29.678888888888554,0.0,22.143048026880532,19.1336237326743,0,0,0.0,0,0,0,11,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6014,1821,1816,75.66666666666667,99.72542559033498,0.9343675913090838,52.372140378089775,0.32444605753945205,0,3.0203185063152116,100,0.4240344773353394,0.0,0,100.0,21.871999999999947,3.795138888888879,25.24758815927782,20.137022670570424,5.110565488707394,79.75820321344477,29.678888888888554,0.0,20.137022670570424,17.53304733283182,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6015,1745,1742,72.58333333333333,99.82808022922636,0.6786777811386432,53.5272806702805,0.2657376843455042,0,1.0888252148997135,100,0.4454299538167449,0.0,0,100.0,20.959999999999976,3.6368055555555463,25.145216625971837,20.15163284836985,4.993583777601983,80.14101905789809,29.678888888888554,0.0,20.15163284836985,17.461955990258218,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6016,1836,1826,76.08333333333333,99.45533769063181,0.7461836547593463,52.30721516057838,0.2713539343765838,0,0.8169934640522847,100,0.41343394238588826,0.0,0,110.0,22.053999999999938,3.826527777777768,27.56378074108023,22.151469131183205,5.4123116098970225,80.36440769596356,29.678888888888544,0.0,22.151469131183205,19.141514403527935,0,0,0.0,0,0,0,11,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6017,1810,1809,75.375,99.94475138121547,1.3855338310288952,71.21202643892721,0.6309911771182413,0,6.685082872928172,100,0.42775407742763516,5.493212320978151,0,100.0,21.73999999999995,3.7722222222222124,25.008532126051314,20.12917118807679,4.87936093797453,80.48921498718548,29.678888888888554,0.0,20.12917118807679,17.367036198646744,0,0,27.466061604890758,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6018,1850,1844,76.83333333333333,99.67567567567568,1.0309411076589436,60.57235239758502,0.32776901155996874,0,4.054054054054057,100,0.40939394059960216,0.5749239134766079,0,110.0,22.221999999999934,3.8556944444444343,27.618181384143238,22.137976735539585,5.480204648603657,80.15725737919126,29.678888888888554,0.0,22.137976735539585,19.17929262787725,0,0,2.8746195673830397,0,0,0,11,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6019,1819,1816,75.66666666666667,99.83507421660252,0.7491411509641888,52.372140378089775,0.2506812052028062,0,0.7146783947223789,100,0.4250297817835104,0.0,0,100.0,21.847999999999946,3.790972222222212,25.089278557936233,20.11145533165513,4.977823226281107,80.15956012929468,29.678888888888554,0.0,20.11145533165513,17.423110109677943,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6020,1775,1770,73.75,99.71830985915493,0.7874022595163639,52.372140378089895,0.2631423101827847,0,1.4084507042253502,100,0.4368008549871198,0.0,0,100.0,21.31999999999997,3.699305555555546,25.251692204636875,20.1315950965204,5.120097108116473,79.72374656469046,29.678888888888554,0.0,20.1315950965204,17.535897364331163,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
