scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,weight_id,phase,soc,next_task_energy,idle,deadline
primary,C4,5007,2171,1591,66.29166666666667,73.28420082911101,241.09900382365845,629.488557788993,238.61844986568252,86.60508083140877,70.31070195627159,13.394919168591224,0.3953608089098811,406.3372601007215,0,4350.0,62.0979999999997,7.026111111111115,87.6381523094199,70.2128377206176,17.425314588802287,80.1167480947344,19.255438907626214,6.888341362878528,63.32449635773909,121.71965598530544,3.0,6,2844.3608207050506,238,16.386554621848738,83,435,nan,nan,0.0,0,soc0.70_next_task_energy0.00_idle0.00_deadline0.30,local,0.7,0.0,0.0,0.3
primary,C4,5008,2196,1614,67.25,73.49726775956285,232.1957946421306,629.3268775648479,229.65469350347848,88.74734607218684,71.8840579710145,11.252653927813164,0.3902375022575079,413.1172583940842,0,4330.0,62.0859999999997,7.056527777777783,87.72029886221603,69.95162261569304,17.768676246522993,79.74394014043136,19.22611111111109,6.640728252939699,63.31089436275335,121.83374841974448,3.0,6,2891.82080875859,235,17.872340425531917,82,433,nan,nan,0.0,0,soc0.70_next_task_energy0.00_idle0.00_deadline0.30,local,0.7,0.0,0.0,0.3
primary,C4,5009,2193,1650,68.75,75.23939808481532,233.56851167554433,582.7102585821514,230.7325463414709,94.20600858369099,81.06543138390272,5.793991416309012,0.39235548957172944,402.14671879458234,0,1810.0,61.741999999999734,7.028888888888888,86.95283325584833,69.4032236890747,17.54960956677364,79.81709288858248,19.240235774810248,2.5533726908382612,66.84985099823642,120.767823966456,3.0,6,2815.027031562077,98,13.26530612244898,36,181,nan,nan,0.0,0,soc0.70_next_task_energy0.00_idle0.00_deadline0.30,local,0.7,0.0,0.0,0.3
primary,C4,5010,2182,1593,66.375,73.006416131989,238.3622157282854,634.0744060370215,236.03501597157847,84.75750577367207,65.80903373356205,15.242494226327944,0.39699008572151534,396.0414612611722,0,5730.0,62.213999999999665,7.047916666666673,85.71699679635628,68.83223558787236,16.884761208483912,80.3017349655889,19.178729575162386,8.963308183933789,59.86892740393857,119.05138443938368,3.0,6,2772.2902288282053,311,13.183279742765272,115,573,nan,nan,0.0,0,soc0.70_next_task_energy0.00_idle0.00_deadline0.30,local,0.7,0.0,0.0,0.3
primary,C4,5011,2064,1641,68.375,79.50581395348837,188.2402813641058,586.1036218546797,185.77346490598626,86.41975308641976,67.75165762507534,13.580246913580247,0.42583624255537494,379.17749176035124,0,4420.0,58.05599999999972,6.611666666666672,82.97853375209101,66.38214872911874,16.596385022972278,79.9991825927461,19.247222222222206,6.554263316041439,59.8278854130773,115.24796354457084,3.0,6,2654.242442322459,212,16.037735849056602,101,442,nan,nan,0.0,0,soc0.70_next_task_energy0.00_idle0.00_deadline0.30,local,0.7,0.0,0.0,0.3
primary,C4,5012,2186,1616,67.33333333333333,73.92497712717292,224.85023346193026,601.4989020154325,222.42275876758913,87.52834467120182,67.50716332378224,12.471655328798185,0.4002280943042326,387.81935782937836,0,4870.0,62.0979999999997,7.044861111111116,83.68504047066673,67.08075592194753,16.604284548719203,80.15859889015728,19.18265251209346,7.312193239666548,59.76856268228099,116.22922287592603,3.0,6,2714.735504805649,271,20.29520295202952,107,487,nan,nan,0.0,0,soc0.70_next_task_energy0.00_idle0.00_deadline0.30,local,0.7,0.0,0.0,0.3
primary,C4,5013,2066,1591,66.29166666666667,77.00871248789932,197.10392850569434,595.9556372352879,194.75660879502738,86.01895734597156,65.69343065693431,13.981042654028435,0.43109975520819727,369.22535708579665,0,4990.0,58.9139999999997,6.673750000000003,80.1257233750686,64.38576051946104,15.739962855607558,80.35591793420849,19.213625622421702,8.088020889498372,56.297739629962685,111.28572690981753,3.0,6,2584.5774996005766,295,24.40677966101695,102,499,nan,nan,0.0,0,soc0.70_next_task_energy0.00_idle0.00_deadline0.30,local,0.7,0.0,0.0,0.3
primary,C4,5014,2139,1639,68.29166666666667,76.62459093034128,203.0649939795712,604.6058800864438,200.63390454051918,90.45346062052506,67.38372093023256,9.54653937947494,0.41393257606289563,390.9198431398224,0,4060.0,61.043999999999706,6.9129166666666695,81.4779816643006,65.3294663734114,16.14851529088919,80.18051630510058,19.35956343737964,5.519919565353539,59.80954680805787,113.16386342263971,3.0,6,2736.4389019787563,173,11.560693641618498,93,406,nan,nan,0.0,0,soc0.70_next_task_energy0.00_idle0.00_deadline0.30,local,0.7,0.0,0.0,0.3
primary,C4,5015,2160,1607,66.95833333333333,74.39814814814815,234.60347884022343,617.393785808208,232.12317387051436,87.26415094339622,68.60599078341014,12.735849056603774,0.39635656566160243,416.07751504431235,0,4210.0,60.94999999999971,6.93263888888889,88.23629090655236,70.02222839985946,18.214062506692915,79.35762902139358,19.1761111111111,6.744523513134766,63.27770488672468,122.55040403687826,3.0,6,2912.542605310187,216,19.90740740740741,81,421,nan,nan,0.0,0,soc0.70_next_task_energy0.00_idle0.00_deadline0.30,local,0.7,0.0,0.0,0.3
primary,C4,5016,2170,1653,68.875,76.17511520737327,212.44532723459002,605.8700265876681,209.93341124766738,90.50772626931567,69.65637740244613,9.492273730684326,0.40786620534551743,393.62551200945717,0,3670.0,61.28599999999972,6.968472222222227,81.43543250585923,65.06368168160716,16.371750824252075,79.89603502986967,19.16555555555552,5.319587152620915,59.74409452898624,113.10476736924895,3.0,6,2755.3785840662003,184,12.5,87,367,nan,nan,0.0,0,soc0.70_next_task_energy0.00_idle0.00_deadline0.30,local,0.7,0.0,0.0,0.3
