scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,weight_id,phase
primary,C1,5017,2232,1809,75.375,81.04838709677419,161.2693609207049,434.06019836742365,158.39005115880582,95.39748953974896,82.55416191562144,4.602510460251046,0.3921243259938965,302.382803962679,0,330.0,62.22999999999975,7.111527777777781,83.1693396990762,66.55478338528468,16.6145563137915,80.0232196457175,29.172777777777743,0.0,66.55478338528468,115.51297180427251,0,0,2116.679627738753,0,0,0,33,0.3,0.7,0.0,0,reference,reference
primary,C1,5018,2220,1748,72.83333333333333,78.73873873873873,193.68632437153695,464.1259390182233,190.67232397703148,95.31615925058547,86.44729503625209,4.683840749414521,0.3943889208890499,324.6848586009516,0,330.0,62.117999999999725,7.088750000000003,83.22798387191882,66.57931469790176,16.648669174017066,79.99630845361096,29.172777777777746,0.0,66.57931469790176,115.59442204433168,0,0,2272.7940102066614,0,0,0,33,0.3,0.7,0.0,0,reference,reference
primary,C1,5019,2205,1785,74.375,80.95238095238095,180.7406303086109,430.7701664652178,177.77288580597764,93.75,87.25099601593625,6.25,0.39720120674336645,304.8509210238823,0,330.0,61.689999999999735,7.040277777777781,83.31059180134332,66.61511477282251,16.69547702852082,79.95995867088341,29.208333333333304,0.0,66.61511477282251,115.70915527964351,0,0,2133.956447167176,0,0,0,33,0.3,0.7,0.0,0,reference,reference
primary,C1,5020,2080,1775,73.95833333333333,85.33653846153845,117.20036692479164,343.1969602891649,114.41680315374659,88.65248226950355,81.53289076644539,11.347517730496454,0.43204657754519626,273.4989234504576,0,310.0,58.593999999999745,6.66902777777778,78.24852491722108,62.546174737617065,15.702350179604021,79.93272052576647,29.293888888888848,0.0,62.546174737617065,108.67850682947375,0,0,1914.492464153203,0,0,0,31,0.3,0.7,0.0,0,reference,reference
primary,C1,5021,2099,1798,74.91666666666667,85.65983801810387,120.25665649571808,355.29396886211373,117.32900238418308,96.81818181818181,84.93068113321279,3.1818181818181817,0.4281758002249105,289.56187707561367,0,310.0,59.309999999999754,6.7425000000000015,78.29939668664507,62.56150159923503,15.73789508741006,79.90036225899256,29.208333333333265,0.0,62.56150159923503,108.74916206478487,0,0,2026.9331395292954,0,0,0,31,0.3,0.7,0.0,0,reference,reference
primary,C1,5022,2112,1771,73.79166666666667,83.85416666666666,138.3142921060832,354.34662972361235,135.41540724125352,94.25837320574163,83.2939787485242,5.741626794258373,0.4263776409582497,299.01794141136577,0,310.0,59.05799999999975,6.741250000000003,77.90566895704214,62.568106228410386,15.337562728631749,80.31264870199752,29.21350414608034,0.0,62.568106228410386,108.20231799589189,0,0,2093.1255898795616,0,0,0,31,0.3,0.7,0.0,0,reference,reference
primary,C1,5023,2103,1810,75.41666666666667,86.06752258678078,105.5088093468694,330.29812081035004,102.53620891972383,98.33333333333333,84.01663695781343,1.6666666666666667,0.4229077359441204,272.25278239928025,0,320.0,59.58799999999975,6.766805555555558,80.55450108416333,64.59441967158378,15.960081412579548,80.18722579399447,29.258333333333265,0.0,64.59441967158378,111.88125150578242,0,0,1905.7694767949617,0,0,0,32,0.3,0.7,0.0,0,reference,reference
primary,C1,5024,2156,1757,73.20833333333333,81.4935064935065,169.27497613197386,411.1386775174605,166.40096954770715,93.72197309417041,84.44444444444444,6.278026905829597,0.41214933346671206,314.2406112530263,0,320.0,60.503999999999756,6.89666666666667,80.67673593277713,64.5206473250681,16.15608860770903,79.97429070361636,29.293888888888866,0.0,64.5206473250681,112.05102212885714,0,0,2199.6842787711844,0,0,0,32,0.3,0.7,0.0,0,reference,reference
primary,C1,5025,2161,1814,75.58333333333333,83.94261915779731,137.40336211078642,366.1457154095573,134.54193554061618,92.7360774818402,81.75057208237986,7.263922518159806,0.41665822311531736,258.1708471851588,0,310.0,60.16199999999972,6.879166666666668,77.90425554988005,62.47538201440377,15.428873535476269,80.19508250663203,29.31888888888884,0.0,62.47538201440377,108.20035493038898,0,0,1807.1959302961113,0,0,0,31,0.3,0.7,0.0,0,reference,reference
primary,C1,5026,2189,1860,77.5,84.97030607583372,123.33553540150184,359.2615729034784,120.24895395078656,96.34703196347031,86.23643632210165,3.65296803652968,0.40502485480445793,272.9933024929774,0,320.0,61.27599999999971,6.9915277777777805,80.96747317855319,64.60288624529375,16.364586933259442,79.78869008648509,29.233333333333288,0.0,64.60288624529375,112.45482385910167,0,0,1910.953117450842,0,0,0,32,0.3,0.7,0.0,0,reference,reference
primary,C1,5027,2163,1799,74.95833333333333,83.1715210355987,162.3426916028739,391.1140897263802,159.28383832091285,97.53914988814317,88.34498834498834,2.460850111856823,0.4057810592814373,304.61978018985957,0,330.0,60.38599999999974,6.897222222222225,83.18634612215558,66.49523321814628,16.6911129040093,79.93527341674664,29.283333333333328,0.0,66.49523321814628,115.5365918363272,0,0,2132.338461329017,0,0,0,33,0.3,0.7,0.0,0,reference,reference
primary,C1,5028,2210,1831,76.29166666666667,82.85067873303169,140.66852025412163,404.80927869388154,137.81948849632232,94.23076923076923,78.59531772575251,5.769230769230769,0.40075665440706587,277.80528999536403,0,320.0,61.93199999999971,7.063333333333338,81.01864617883881,64.63398302155059,16.384663157288205,79.77667619732739,29.20223945303675,0.0,64.63398302155059,112.52589747060946,0,0,1944.6370299675484,0,0,0,32,0.3,0.7,0.0,0,reference,reference
primary,C1,5029,2253,1758,73.25,78.02929427430094,203.7388323768091,488.9401921538966,200.722256779076,95.97989949748744,85.06738544474393,4.0201005025125625,0.38283122769259315,324.41883104685,0,340.0,63.64399999999971,7.235972222222226,85.75306124293307,68.67360298727037,17.0794582556627,80.08297545521125,29.197777777777713,0.0,68.67360298727037,119.10147394851816,0,0,2270.931817327951,0,0,0,34,0.3,0.7,0.0,0,reference,reference
primary,C1,5030,2182,1820,75.83333333333333,83.40971585701192,141.8005918025639,388.77419558360947,138.78914308628015,95.94594594594594,86.65132336018412,4.054054054054054,0.40132298488151974,285.2622452456711,0,330.0,61.29399999999974,6.984027777777781,83.53321561971408,66.58368508340844,16.94953053630565,79.70923253634989,29.258333333333326,0.0,66.58368508340844,116.01835502738065,0,0,1996.8357167196982,0,0,0,33,0.3,0.7,0.0,0,reference,reference
primary,C1,5031,2180,1852,77.16666666666667,84.95412844036697,111.21122361173553,352.76093954034974,108.20650329785123,95.90361445783132,85.4957507082153,4.096385542168675,0.40753986876881515,252.7937369098472,0,320.0,60.81599999999975,6.948333333333334,80.59990614051713,64.49847755250741,16.10142858800972,80.02301819069288,29.4044444444444,0.0,64.49847755250741,111.94431408405161,0,0,1769.5561583689305,0,0,0,32,0.3,0.7,0.0,0,reference,reference
