scenario,scenario_value,strategy,seed,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,idle_ratio,charging_wait,low_soc_stops,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,pad_utilization,mean_queue,max_queue,total_charging_time_h,mandatory_charging_energy,opportunity_charging_energy,detour_distance_m,charging_sessions,replication,agv_number,workload,design_mode,candidate_value
design_pad,1,C4,1007,1081,1079,44.958333333333336,99.81498612395929,0.4512267624053502,4.7371715870041955,0.37413205672048316,1.011164095195893,0,14.30399999999985,2.3445833333333357,23.267008854765066,20.056344970868555,3.210663883896554,86.20078797434691,51.69689391413163,32.31529007606272,1.0,1,7.755669618255017,0.0,20.056344970868555,6660.0,622,0,3,45,pad,1
design_pad,1,C4,1008,1099,1098,45.75,99.90900818926298,0.46034617233953606,6.036638157019964,0.3622863996996583,0.9837420946931488,0,14.49399999999985,2.3802777777777804,24.47652180549852,21.035423288781548,3.441098516716988,85.94122749930936,54.974804693860776,33.99516917430355,1.0,1,8.158840601832834,0.0,21.035423288781548,6530.0,610,1,3,45,pad,1
design_pad,1,C4,1009,1086,1084,45.166666666666664,99.8158379373849,0.5237388841632223,5.688832404916199,0.3707412137674931,1.160985053611256,0,14.315999999999855,2.351666666666669,25.47598790211694,21.965985650663576,3.5100022514534226,86.22231151569318,50.310866967411684,35.383316530718126,1.0,1,8.491995967372315,0.0,21.965985650663576,6420.0,592,2,3,45,pad,1
design_pad,1,C4,1010,1110,1108,46.166666666666664,99.81981981981983,0.3872658043834803,4.4904149797495245,0.3577362479432797,0.9009666467241169,0,14.633999999999842,2.4037500000000023,23.7716940351401,20.618916899056394,3.1527771360837304,86.73726352264518,52.80699071106939,33.016241715472425,1.0,1,7.923898011713362,0.0,20.618916899056394,6570.0,610,3,3,45,pad,1
design_pad,1,C4,1011,1062,1061,44.208333333333336,99.90583804143127,0.2913466935290091,4.0130367562183284,0.38429140912419085,0.8866437352947689,0,14.171999999999848,2.31166666666667,23.95107622842165,20.640718301850857,3.310357926570844,86.17866731749389,56.33522626184191,33.26538365058579,1.0,1,7.983692076140546,0.0,20.640718301850857,7140.0,661,4,3,45,pad,1
design_pad,1,C4,1012,1076,1076,44.833333333333336,100.0,0.5596272961824489,4.802056890293413,0.37542503724395715,1.1388455191680533,0,14.105999999999868,2.3245833333333352,23.48915420998322,20.319674239397244,3.169479970586014,86.50662368575664,57.1103148088325,32.623825291643485,1.0,1,7.829718069994405,0.0,20.319674239397244,5970.0,562,5,3,45,pad,1
design_pad,1,C4,1013,1132,1129,47.041666666666664,99.73498233215548,0.5149481955846739,5.484045443508239,0.3448380810675065,1.0143021848728897,0,14.907999999999824,2.4502777777777816,24.051026036044473,20.940496477178883,3.1105295588656494,87.06695691816249,48.9537376002318,33.4042028278397,1.0,1,8.017008678681488,0.0,20.940496477178883,6620.0,616,6,3,45,pad,1
design_pad,1,C4,1014,1135,1132,47.166666666666664,99.73568281938327,0.6446131661117883,6.078391410447876,0.34345610932217435,1.1290663220967627,0,14.82199999999984,2.4480555555555568,23.144764080514022,20.08143555136006,3.063328529153981,86.76448583144975,63.02294227090622,32.145505667380675,1.0,1,7.7149213601713384,0.0,20.08143555136006,6010.0,558,7,3,45,pad,1
design_pad,1,C4,1015,1120,1120,46.666666666666664,100.0,0.5613872606141179,6.092147873137825,0.3488559274871392,1.1181380286347677,0,14.707999999999837,2.4213888888888917,23.96247254569163,20.634773600601836,3.3276989450898147,86.1128732072847,58.94845628635294,33.281211869016225,1.0,1,7.9874908485638745,0.0,20.634773600601836,6340.0,580,8,3,45,pad,1
design_pad,1,C4,1016,1095,1095,45.625,100.0,0.38233833371783316,3.9006756334554664,0.3641971581919117,1.073076704829298,0,14.497999999999841,2.375555555555558,24.644729491575852,21.25066911536447,3.394060376211401,86.22804775612752,54.45911565633666,34.228790960522105,1.0,1,8.214909830525272,0.0,21.25066911536447,6790.0,631,9,3,45,pad,1
design_pad,1,C4,1017,1079,1076,44.833333333333336,99.72196478220575,0.4710908920876696,5.311628248957883,0.3759194899713312,0.8805827456000138,0,14.15399999999986,2.331666666666669,21.24071801726231,18.287029488579197,2.953688528683136,86.09421524129903,73.69468335080681,29.500997246197734,1.0,1,7.080239339087433,0.0,18.287029488579197,6030.0,565,10,3,45,pad,1
design_pad,1,C4,1018,1102,1100,45.833333333333336,99.8185117967332,0.386087149808005,4.641272599790439,0.36178083671639166,0.9050770502669894,0,14.613999999999841,2.3923611111111134,23.12499011993779,20.0834384921561,3.0415516277816965,86.84733869287435,63.48063498341706,32.118041833246984,1.0,1,7.708330039979258,0.0,20.0834384921561,6950.0,649,11,3,45,pad,1
design_pad,1,C4,1019,1043,1040,43.333333333333336,99.712368168744,0.34834149469523007,5.237590740766609,0.3965582712035223,0.9134744714194827,0,13.883999999999865,2.2679166666666695,23.15771660852338,20.137646058426462,3.02007055009696,86.95868594840064,56.03640524174157,32.16349528961592,1.0,1,7.719238869507791,0.0,20.137646058426462,6840.0,647,12,3,45,pad,1
