scenario,scenario_value,metric,comparison,mean_diff,ci95_low,ci95_high,n
B_pad,2,completion_rate,C4-C2,0.0,0.0,0.0,50
B_pad,2,completion_rate,C4-C3,0.0,0.0,0.0,50
B_pad,2,low_soc_stops,C4-C1,0.0,0.0,0.0,50
B_pad,2,low_soc_stops,C4-C2,0.0,0.0,0.0,50
B_pad,2,low_soc_stops,C4-C3,0.0,0.0,0.0,50
B_pad,3,throughput,C4-C1,0.017499999999999148,0.006255948077966854,0.028744051922031444,50
B_pad,3,throughput,C4-C2,0.0,0.0,0.0,50
B_pad,3,throughput,C4-C3,0.0,0.0,0.0,50
B_pad,3,mean_delay,C4-C1,-1.6601972992673601,-1.9485251152501157,-1.3718694832846046,50
B_pad,3,mean_delay,C4-C2,-0.000231795501244787,-0.00026755422617209573,-0.00019603677631747826,50
B_pad,3,mean_delay,C4-C3,0.0019863047628703914,0.0018529501740631436,0.002119659351677639,50
B_pad,3,completion_rate,C4-C1,0.02291605264203383,0.008167211982676762,0.0376648933013909,50
B_pad,3,completion_rate,C4-C2,0.0,0.0,0.0,50
B_pad,3,completion_rate,C4-C3,0.0,0.0,0.0,50
B_pad,3,low_soc_stops,C4-C1,0.0,0.0,0.0,50
B_pad,3,low_soc_stops,C4-C2,0.0,0.0,0.0,50
B_pad,3,low_soc_stops,C4-C3,0.0,0.0,0.0,50
B_pad,5,throughput,C4-C1,0.017499999999999148,0.006255948077966854,0.028744051922031444,50
B_pad,5,throughput,C4-C2,0.0,0.0,0.0,50
B_pad,5,throughput,C4-C3,0.0,0.0,0.0,50
B_pad,5,mean_delay,C4-C1,-1.613811631524309,-1.8785230006453149,-1.349100262403303,50
B_pad,5,mean_delay,C4-C2,-0.00023404945369965123,-0.00026970337557340033,-0.00019839553182590214,50
B_pad,5,mean_delay,C4-C3,0.002053703302725626,0.0019212024385260045,0.0021862041669252472,50
B_pad,5,completion_rate,C4-C1,0.02291605264203383,0.008167211982676762,0.0376648933013909,50
B_pad,5,completion_rate,C4-C2,0.0,0.0,0.0,50
B_pad,5,completion_rate,C4-C3,0.0,0.0,0.0,50
B_pad,5,low_soc_stops,C4-C1,0.0,0.0,0.0,50
B_pad,5,low_soc_stops,C4-C2,0.0,0.0,0.0,50
B_pad,5,low_soc_stops,C4-C3,0.0,0.0,0.0,50
C_workload,105,throughput,C4-C1,2.5499999999999994,1.9365495799404706,3.163450420059528,50
C_workload,105,throughput,C4-C2,0.1450000000000003,-0.34489049798289595,0.6348904979828965,50
C_workload,105,throughput,C4-C3,0.1425000000000003,-0.34784504429686874,0.6328450442968694,50
C_workload,105,mean_delay,C4-C1,-21.673693536906676,-24.473926479925463,-18.873460593887888,50
C_workload,105,mean_delay,C4-C2,2.1374428855947567,0.6370811600584507,3.6378046111310627,50
C_workload,105,mean_delay,C4-C3,2.137549744593849,0.6367939270747458,3.6383055621129525,50
C_workload,105,completion_rate,C4-C1,2.4295807897042847,1.8464758350043966,3.012685744404173,50
C_workload,105,completion_rate,C4-C2,0.12876232216063926,-0.3331675438416656,0.5906921881629441,50
C_workload,105,completion_rate,C4-C3,0.1263390588326908,-0.3360386249695262,0.5887167426349078,50
C_workload,105,low_soc_stops,C4-C1,0.0,0.0,0.0,50
C_workload,105,low_soc_stops,C4-C2,0.0,0.0,0.0,50
C_workload,105,low_soc_stops,C4-C3,0.0,0.0,0.0,50
C_workload,45,throughput,C4-C1,0.007500000000000142,0.0004476335179578765,0.014552366482042407,50
C_workload,45,throughput,C4-C2,0.0,0.0,0.0,50
C_workload,45,throughput,C4-C3,0.0,0.0,0.0,50
C_workload,45,mean_delay,C4-C1,-0.4816286393786276,-0.5251818176899248,-0.4380754610673304,50
C_workload,45,mean_delay,C4-C2,-3.538706770823269e-05,-5.1646311268306364e-05,-1.9127824148159014e-05,50
C_workload,45,mean_delay,C4-C3,0.0005472669000475336,0.00047383125066261054,0.0006207025494324567,50
C_workload,45,completion_rate,C4-C1,0.017299866467132007,0.0009531451238583878,0.03364658781040562,50
C_workload,45,completion_rate,C4-C2,0.0,0.0,0.0,50
C_workload,45,completion_rate,C4-C3,0.0,0.0,0.0,50
C_workload,45,low_soc_stops,C4-C1,0.0,0.0,0.0,50
C_workload,45,low_soc_stops,C4-C2,0.0,0.0,0.0,50
C_workload,45,low_soc_stops,C4-C3,0.0,0.0,0.0,50
C_workload,75,throughput,C4-C1,0.024999999999999148,0.00986944076475822,0.040130559235240074,50
C_workload,75,throughput,C4-C2,0.0,0.0,0.0,50
C_workload,75,throughput,C4-C3,0.0,0.0,0.0,50
C_workload,75,mean_delay,C4-C1,-2.2061269004633117,-2.6586610193098243,-1.7535927816167989,50
C_workload,75,mean_delay,C4-C2,-0.00022999636792568666,-0.0002650591099820426,-0.00019493362586933073,50
C_workload,75,mean_delay,C4-C3,0.0018515681236943638,0.0017311909845155926,0.0019719452628731353,50
C_workload,75,completion_rate,C4-C1,0.0329033447762086,0.013013514559744557,0.05279317499267264,50
C_workload,75,completion_rate,C4-C2,0.0,0.0,0.0,50
C_workload,75,completion_rate,C4-C3,0.0,0.0,0.0,50
C_workload,75,low_soc_stops,C4-C1,0.0,0.0,0.0,50
C_workload,75,low_soc_stops,C4-C2,0.0,0.0,0.0,50
C_workload,75,low_soc_stops,C4-C3,0.0,0.0,0.0,50
D_power,1,throughput,C4-C1,4.0891666666666655,3.227973268246273,4.950360065087057,50
D_power,1,throughput,C4-C2,0.0,0.0,0.0,50
D_power,1,throughput,C4-C3,0.0,0.0,0.0,50
