scenario,scenario_value,strategy,seed,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,idle_ratio,charging_wait,low_soc_stops,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,pad_utilization,mean_queue,max_queue,total_charging_time_h,mandatory_charging_energy,opportunity_charging_energy,detour_distance_m,charging_sessions,replication
ablation_efficiency,C4-Fixed,C4-Fixed,1007,1791,1788,74.5,99.83249581239531,0.17047599364648217,2.842302952202408,0.37777048959091375,0.6318858802330667,0,24.2419999999997,3.9222222222222314,38.46720422744794,34.62048380470331,3.846720422744812,90.00000000000044,52.09397034604879,26.71333626906125,1.0,2,12.822401409149302,0.0,34.62048380470331,13750.0,1307,0
ablation_efficiency,C4-Fixed,C4-Fixed,1008,1799,1796,74.83333333333333,99.83324068927182,0.1943509653516795,3.7997388753854464,0.37463841001542886,0.47409669574197555,0,24.299999999999706,3.9362500000000074,37.13199139033231,33.41879225129922,3.7131991390332475,90.0000000000004,54.8190013555047,25.7861051321754,1.0,2,12.37733046344409,0.0,33.41879225129922,13560.0,1295,1
ablation_efficiency,C4-Fixed,C4-Fixed,1009,1807,1802,75.08333333333333,99.72329828444937,0.20341759172410248,3.193828702170625,0.3728033849123056,0.7999698614476679,0,24.385999999999697,3.9522222222222303,39.887415143643075,35.89867362927895,3.9887415143643246,90.00000000000047,51.306040148519195,27.699593849752404,1.0,2,13.295805047881007,0.0,35.89867362927895,13510.0,1283,2
ablation_efficiency,C4-Fixed,C4-Fixed,1010,1863,1860,77.5,99.8389694041868,0.16366985380717397,2.9362342348049424,0.35275474991587774,0.47975547059503787,0,25.119999999999674,4.073194444444452,37.822838046028004,34.040554241425326,3.782283804602816,90.00000000000033,52.80699071106939,26.26585975418626,1.0,2,12.60761268200933,0.0,34.040554241425326,13820.0,1306,3
ablation_efficiency,C4-Fixed,C4-Fixed,1011,1768,1762,73.41666666666667,99.6606334841629,0.14235228870285474,3.3596930738055866,0.38661127670165124,0.682374389275712,0,24.00399999999971,3.8769444444444523,39.90577519723736,35.91519767751382,3.9905775197237574,90.00000000000048,52.21999107255147,27.712343886970636,1.0,2,13.301925065745772,0.0,35.91519767751382,13940.0,1334,4
ablation_efficiency,C4-Fixed,C4-Fixed,1012,1775,1773,73.875,99.88732394366198,0.22833435819402384,2.893471020004169,0.38231903861718886,0.719816306688503,0,23.88199999999973,3.8772222222222292,37.41056615208388,33.66950953687562,3.741056615208405,90.00000000000034,57.1103148088325,25.979559827836212,1.0,2,12.470188717361287,0.0,33.66950953687562,12910.0,1226,5
ablation_efficiency,C4-Fixed,C4-Fixed,1013,1869,1865,77.70833333333333,99.78598180845371,0.2416642418978505,3.835042331197959,0.35078722770643045,0.6251056189158304,0,25.141999999999666,4.082222222222231,38.97805363524448,35.0802482717202,3.8978053635244665,90.00000000000044,52.137948597987496,27.068092802253346,1.0,2,12.992684545081476,0.0,35.0802482717202,13570.0,1280,6
ablation_efficiency,C4-Fixed,C4-Fixed,1014,1806,1803,75.125,99.83388704318938,0.2583204018637103,3.4697216966693305,0.3725254590466977,0.685572003520102,0,24.2239999999997,3.9397222222222292,36.58932296814046,32.93039067132659,3.658932296814064,90.0000000000005,62.51008182519207,25.40925206120887,1.0,2,12.19644098938015,0.0,32.93039067132659,12760.0,1223,7
ablation_efficiency,C4-Fixed,C4-Fixed,1015,1804,1796,74.83333333333333,99.55654101995566,0.20074936452406797,3.5576982248096707,0.3742916459103544,0.7220915988655726,0,24.325999999999706,3.9443055555555624,39.49301036872305,35.54370933185091,3.949301036872321,90.00000000000043,50.87190677155059,27.42570164494684,1.0,2,13.16433678957433,0.0,35.54370933185091,13390.0,1282,8
ablation_efficiency,C4-Fixed,C4-Fixed,1016,1809,1807,75.29166666666667,99.88944168048646,0.14696381224061167,2.2117606087711463,0.37106802223907187,0.7491987071657139,0,24.475999999999697,3.9609722222222303,39.24107827864413,35.316970450779884,3.9241078278644324,90.00000000000043,56.33927411054358,27.250748804614222,1.0,2,13.080359426214699,0.0,35.316970450779884,13840.0,1318,9
ablation_efficiency,C4-Fixed,C4-Fixed,1017,1799,1794,74.75,99.72206781545303,0.1881394424567959,2.675431488051557,0.37562193770119523,0.5584466453242967,0,24.175999999999714,3.927638888888896,36.562762636345504,32.90648637271104,3.656276263634565,90.00000000000024,52.0157058365052,25.390807386351167,1.0,2,12.187587545448492,0.0,32.90648637271104,12940.0,1219,10
ablation_efficiency,C4-Fixed,C4-Fixed,1018,1826,1825,76.04166666666667,99.94523548740416,0.22464154597272962,3.3238235554847657,0.3649342297034917,0.6551821507073888,0,24.563999999999687,3.9883333333333417,37.310315641363125,33.57928407722699,3.731031564136331,90.00000000000047,63.60599449307548,25.909941417613524,1.0,2,12.436771880454366,0.0,33.57928407722699,13260.0,1251,11
