agv_id,strategy,scenario,scenario_value,completed_tasks,min_soc,idle_ratio,charge_h,stops,traction_energy,aux_energy,delivered_kwh,detour_m,replication
1,C1,base,base,358,19.702303679381917,0.3185738591653855,1.3849476173783886,0,4.297999999999993,0.7459722222222203,3.5148848160309045,10.0,1007
2,C1,base,base,358,19.7932992442268,0.3212965839877651,1.300124088069874,0,4.297999999999992,0.7459722222222203,3.5103350377886597,10.0,1007
3,C1,base,base,358,19.953410943114932,0.32517993799897804,1.2971590566089823,0,4.297999999999992,0.7459722222222203,3.502329452844253,10.0,1007
4,C1,base,base,356,19.80174623371811,0.3207714212520172,1.4652581657822203,0,4.273999999999994,0.7418055555555536,3.509912688314094,10.0,1007
5,C1,base,base,361,19.738452694388652,0.3235140786439455,1.2326587246598484,0,4.333999999999991,0.7522222222222202,3.5130773652805676,10.0,1007
1,C2,base,base,359,52.09397034604879,0.3781288305500553,3.054244995972553,0,4.861999999999939,0.7863888888888908,7.527468149364324,2770.0,1007
2,C2,base,base,358,74.43663257756053,0.37538029795045336,2.5439118824108933,0,4.835999999999941,0.783333333333335,6.381279482233167,2700.0,1007
3,C2,base,base,358,69.24507760978194,0.37785754694130935,2.5797929267499877,0,4.835999999999942,0.783333333333335,6.640857230622107,2700.0,1007
4,C2,base,base,358,55.85507956705168,0.37839622977937487,2.868831759054915,0,4.8559999999999395,0.784722222222224,7.331746021647515,2800.0,1007
5,C2,base,base,358,67.62178602772232,0.37908954273337603,2.6383208499670263,0,4.85199999999994,0.7844444444444462,6.739132920836196,2780.0,1007
1,C3,base,base,359,52.09397034604879,0.3783473214760557,2.875271790670604,0,4.545999999999972,0.7644444444444438,7.189523704919838,1190.0,1007
2,C3,base,base,358,74.43663257756053,0.37617544971781236,2.375964455192826,0,4.505999999999973,0.760416666666666,6.028362815566475,1050.0,1007
3,C3,base,base,358,69.24507760978194,0.37828302494045324,2.367253820828896,0,4.513999999999973,0.7609722222222216,6.2964961195109606,1090.0,1007
4,C3,base,base,358,55.85507956705168,0.3789370635072881,2.677217741878043,0,4.535999999999971,0.7624999999999994,6.959270848060126,1200.0,1007
5,C3,base,base,358,67.62178602772232,0.37948583583654893,2.516010624235303,0,4.509999999999974,0.7606944444444439,6.373382920836158,1070.0,1007
1,C4,base,base,359,52.09397034604879,0.3781288305500553,2.9316873463597832,0,4.8379999999999415,0.7847222222222239,7.501801482697654,2650.0,1007
2,C4,base,base,358,74.43663257756053,0.37547094995827346,2.4489279326745566,0,4.811999999999943,0.7816666666666682,6.355612815566499,2580.0,1007
3,C4,base,base,358,69.24507760978194,0.37786008934007626,2.517927341214329,0,4.813999999999944,0.781805555555557,6.617329452844318,2590.0,1007
4,C4,base,base,358,55.85507956705168,0.37844937175683263,2.776891005977746,0,4.835999999999943,0.7833333333333349,7.310357132758622,2700.0,1007
5,C4,base,base,358,67.62178602772232,0.37908954273337603,2.53953939735504,0,4.825999999999942,0.7826388888888904,6.7113273652806384,2650.0,1007
1,C1,base,base,364,19.766471360527216,0.31414461879213534,1.2848733286687544,0,4.36999999999999,0.7584722222222202,3.5116764319736395,10.0,1008
2,C1,base,base,361,19.705411320751875,0.3123509593920205,1.4672689781643011,0,4.333999999999991,0.7522222222222202,3.514729433962406,10.0,1008
3,C1,base,base,363,19.863540431982564,0.31615506556943973,1.2988233253336563,0,4.357999999999991,0.7563888888888869,3.506822978400872,10.0,1008
4,C1,base,base,361,19.75697252535429,0.3168573815556216,1.3007968050860317,0,4.333999999999991,0.7522222222222202,3.5121513737322854,10.0,1008
5,C1,base,base,350,19.73953711318468,0.3198844826907833,1.23263969976869,0,4.2019999999999955,0.7293055555555537,3.513023144340766,10.0,1008
1,C2,base,base,360,54.525900420863024,0.37422224763402495,2.922969815428747,0,4.863999999999941,0.7877777777777792,7.38681532086261,2720.0,1008
2,C2,base,base,360,74.34874465408559,0.37479375154637534,2.4829103035677846,0,4.853999999999943,0.7870833333333347,6.407423878406918,2670.0,1008
3,C2,base,base,360,56.26589987522331,0.37504101380614724,2.939650773466789,0,4.8799999999999395,0.7888888888888904,7.3286563117342896,2800.0,1008
4,C2,base,base,360,79.27267227136868,0.3748365565095244,2.42497284999423,0,4.86599999999994,0.7879166666666683,6.1641791515101305,2730.0,1008
5,C2,base,base,359,79.45287044651845,0.37429848058107257,2.4278865754024292,0,4.835999999999942,0.7845833333333349,6.131717588785274,2640.0,1008
