scenario,scenario_value,strategy,one_minus_soc_mean,one_minus_soc_std,one_minus_soc_median,one_minus_soc_min,one_minus_soc_max,E_next_mean,E_next_std,E_next_median,E_next_min,E_next_max,T_idle_mean,T_idle_std,T_idle_median,T_idle_min,T_idle_max,eta_WPT_mean,eta_WPT_std,eta_WPT_median,eta_WPT_min,eta_WPT_max,D_mean,D_std,D_median,D_min,D_max,score_mean,score_std,score_median,score_min,score_max
A_agv,10,C4,0.030368626312676124,0.08266000739190413,0.003755555555555586,0.003755555555555586,0.5373835297846635,0.2816666666666666,0.0,0.2816666666666666,0.2816666666666666,0.2816666666666666,0.09159082705017386,0.0417758707537056,0.08725746341647916,0.00029495536354463386,0.33368397709301006,0.8407718688022121,0.18928853289940967,0.9166666666666667,0.12370768717692188,1.0,0.0,0.0,0.0,0.0,0.0,0.1773430654982168,0.0317589961329678,0.17597241315006967,0.08399148450876884,0.35301446154100835
A_agv,3,C4,0.39125576490606123,0.16499420878274562,0.39188375177944224,0.038753081043884606,0.923942854299807,0.2816666666666666,0.0,0.2816666666666666,0.2816666666666666,0.2816666666666666,0.022293023861219636,0.01862482177742663,0.017371699146932162,0.00030693367105590774,0.10296487380374342,0.8516199276108644,0.16130977613582462,0.9166666666666667,0.12370768717692188,1.0,0.0,0.0,0.0,0.0,0.0,0.27629934247875443,0.052471841994393455,0.2772497668448721,0.14667076545276703,0.44086277989978756
A_agv,5,C4,0.0320363281060951,0.08037608725106904,0.004193655218947582,0.003755555555555586,0.5374486010895331,0.2816666666666666,0.0,0.2816666666666666,0.2816666666666666,0.2816666666666666,0.03344410241850481,0.026022956899709022,0.027655244110582216,0.00027867973309387,0.2359238852822202,0.8405144442427486,0.1896255366708401,0.9166666666666667,0.12370768717692188,1.0,0.0,0.0,0.0,0.0,0.0,0.16909562488554575,0.030874791412031605,0.1681711769658983,0.08396709668058107,0.334324735187139
A_agv,7,C4,0.0250293388719059,0.07338115556615128,0.003755555555555586,0.003755555555555586,0.533122675163607,0.2816666666666666,0.0,0.2816666666666666,0.2816666666666666,0.2816666666666666,0.05381915344069183,0.033452808420818415,0.048920358322509655,0.0002825701275732071,0.291956680472011,0.8406388776647337,0.18954041413271508,0.9166666666666667,0.12370768717692188,1.0,0.0,0.0,0.0,0.0,0.0,0.17006222911081556,0.02940936483162546,0.1702148325129492,0.08397293027673591,0.3417590184352993
B_pad,1,C4,0.12073157230117239,0.14028632737714922,0.04412174375018344,0.003755555555555586,0.5940970110475302,0.2816666666666666,0.0,0.2816666666666666,0.2816666666666666,0.2816666666666666,0.03339823052741895,0.02600541407767304,0.027605683922720347,0.00027867973309387,0.2359238852822202,0.8404676823091282,0.18968858527506083,0.9166666666666667,0.12370768717692188,1.0,0.0,0.0,0.0,0.0,0.0,0.19569264116704402,0.0463335696071648,0.17902581209999693,0.08397157746110796,0.3467011818126201
B_pad,2,C4,0.0320363281060951,0.08037608725106904,0.004193655218947582,0.003755555555555586,0.5374486010895331,0.2816666666666666,0.0,0.2816666666666666,0.2816666666666666,0.2816666666666666,0.03344410241850481,0.026022956899709022,0.027655244110582216,0.00027867973309387,0.2359238852822202,0.8405144442427486,0.1896255366708401,0.9166666666666667,0.12370768717692188,1.0,0.0,0.0,0.0,0.0,0.0,0.16909562488554575,0.030874791412031605,0.1681711769658983,0.08396709668058107,0.334324735187139
B_pad,3,C4,0.024449953790849095,0.06819729463987982,0.003755555555555586,0.003755555555555586,0.5374486010895331,0.2816666666666666,0.0,0.2816666666666666,0.2816666666666666,0.2816666666666666,0.033444567261682635,0.026023257931641997,0.02765703317292845,0.00027867973309387,0.2359238852822202,0.8405049031681712,0.18964311629584546,0.9166666666666667,0.12370768717692188,1.0,0.0,0.0,0.0,0.0,0.0,0.16681882820999092,0.028149561266044672,0.1678197167619358,0.08396709668058107,0.334324735187139
B_pad,5,C4,0.022225897003852278,0.06391627389606425,0.003755555555555586,0.003755555555555586,0.5374486010895331,0.2816666666666666,0.0,0.2816666666666666,0.2816666666666666,0.2816666666666666,0.033444684431072506,0.026023203284657286,0.02765703317292845,0.00027867973309387,0.2359238852822202,0.8405049031681712,0.18964311629584546,0.9166666666666667,0.12370768717692188,1.0,0.0,0.0,0.0,0.0,0.0,0.16615162874930034,0.027231668444240752,0.16773250133236584,0.08396709668058107,0.334324735187139
C_workload,105,C4,0.5121044199611513,0.18599527586551529,0.509299962243036,0.044181238025158866,0.9366869000007533,0.2816666666666667,0.0,0.2816666666666666,0.2816666666666666,0.2816666666666666,0.019295147059181776,0.01656883636518786,0.014962880859327723,0.0002780374852833726,0.15661229901111004,0.8419457833103826,0.18732472493395103,0.9166666666666667,0.12370768717692188,1.0,0.0,0.0,0.0,0.0,0.0,0.31113684304492756,0.058793589415852915,0.3110814564303592,0.11136973366919355,0.45480990211801353
C_workload,45,C4,0.017306855832827643,0.059566361680565984,0.003755555555555586,0.003755555555555586,0.5374486010895331,0.2816666666666666,0.0,0.2816666666666666,0.2816666666666666,0.2816666666666666,0.0722332759233553,0.047584812839027386,0.0641600464411062,0.0002894941468346385,0.4209842532481455,0.8408728782733725,0.18864981132626016,0.9166666666666667,0.12370768717692188,1.0,0.0,0.0,0.0,0.0,0.0,0.1705310026323555,0.026895777952699332,0.1717729507728838,0.08400766962981875,0.3382382430422455
