scenario,scenario_value,strategy,seed,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,idle_ratio,charging_wait,low_soc_stops,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,pad_utilization,mean_queue,max_queue,total_charging_time_h,mandatory_charging_energy,opportunity_charging_energy,detour_distance_m,charging_sessions,replication
base,base,C1,1007,1791,1788,74.5,99.83249581239531,0.5710780203360655,88.96641629629497,0.32186717620961824,6.278702756394705,0,21.50199999999996,3.731944444444435,20.04044295749794,17.550539360258476,2.4899035972394628,87.57560597577564,19.702303679381917,13.916974276040236,1.0,2,6.680147652499314,17.550539360258476,0.0,50.0,5,0
base,base,C2,1007,1791,1788,74.5,99.83249581239531,0.17047599364648217,2.842302952202408,0.37777048959091375,0.6422639115122116,0,24.2419999999997,3.9222222222222314,41.05530724246618,34.62048380470331,6.4348234377629545,84.32645163325702,52.09397034604879,28.510630029490475,1.0,2,13.685102414155374,0.0,34.62048380470331,13750.0,1307,0
base,base,C3,1007,1791,1788,74.5,99.83249581239531,0.1677642944649689,2.842302952202408,0.37824573909563164,1.017740331846428,0,22.611999999999863,3.8090277777777746,38.43515529841701,32.84703640889356,5.5881188895234555,85.46091762570919,52.09397034604879,26.691080068345148,1.0,2,12.811718432805671,0.0,32.84703640889356,5600.0,534,0
base,base,C4,1007,1791,1788,74.5,99.83249581239531,0.17028340607612494,2.842302952202408,0.37779975686772277,0.6313742461651608,0,24.125999999999713,3.9141666666666746,39.64491907074441,34.496428249147726,5.148490821596747,87.01349140753837,52.09397034604879,27.53119379912813,1.0,2,13.214973023581456,0.0,34.496428249147726,13170.0,1252,0
base,base,C1,1008,1799,1796,74.83333333333333,99.83324068927182,1.9938746497236024,107.30224423143663,0.31587850160000014,31.777040833101275,0,21.59799999999996,3.748611111111101,19.753206411064298,17.55840336240997,2.194803048654331,88.88887706137186,19.705411320751875,13.717504452127985,1.0,2,6.584402137021433,17.55840336240997,0.0,50.0,5,1
base,base,C2,1008,1799,1796,74.83333333333333,99.83324068927182,0.1943509653516795,3.7997388753854464,0.37463841001542886,0.4932720957428648,0,24.299999999999706,3.9362500000000074,39.59517095357999,33.41879225129922,6.176378702280834,84.40118187765438,54.525900420863024,27.49664649554174,1.0,2,13.198390317859982,0.0,33.41879225129922,13560.0,1295,1
base,base,C3,1008,1799,1796,74.83333333333333,99.83324068927182,0.19228979426204232,3.7997388753854464,0.3750602835553195,0.9086545806796351,0,22.62399999999987,3.819861111111106,36.37370507763165,31.270031575163518,5.103673502468125,85.96878296677376,54.525900420863024,25.259517415021975,1.0,2,12.124568359210548,0.0,31.270031575163518,5180.0,496,1
base,base,C4,1008,1799,1796,74.83333333333333,99.83324068927182,0.19421598817006544,3.7997388753854464,0.3746721355640016,0.48584103516181115,0,24.19399999999972,3.9288888888888955,38.44392138519484,33.3054311401881,5.138490245006803,86.63380305687123,54.525900420863024,26.6971676286076,1.0,2,12.814640461731596,0.0,33.3054311401881,13030.0,1245,1
base,base,C1,1009,1807,1801,75.04166666666667,99.66795794133924,2.8111964966003096,99.51167550125119,0.31256644588234533,11.274171730535848,0,21.695999999999955,3.7654166666666566,24.879687185124915,21.053173629278557,3.826513555846359,84.61992899117254,19.768023185741136,17.277560545225633,1.0,2,8.293229061708304,21.053173629278557,0.0,60.0,6,2
base,base,C2,1009,1807,1802,75.08333333333333,99.72329828444937,0.20341759172410248,3.193828702170625,0.3728033849123056,0.8067607264339276,0,24.385999999999697,3.9522222222222303,42.689203155745076,35.89867362927895,6.790529526466225,84.0930984312546,51.231760680961514,29.64527996926753,1.0,2,14.229734385248333,0.0,35.89867362927895,13510.0,1283,2
