one_minus_soc,E_next,T_idle,eta_WPT,D,score,strategy,scenario,scenario_value,replication
0.3392111145347041,0.2816666666666666,0.07208426335428157,0.9166666666666667,0.0,0.2746593071968868,C4,D_power,1,1007
0.003755555555555586,0.2816666666666666,0.014899865655354208,0.9350508587627149,0.0,0.16728339905790796,C4,A_agv,10,1015
0.003755555555555586,0.2816666666666666,0.0051476654422408,1.0,0.0,0.17231548314966946,C4,D_power,5,1027
0.1284997944072163,0.2816666666666666,0.03627198935517703,0.8266216441554113,0.0,0.19706956780764923,C4,B_pad,1,1030
0.003755555555555586,0.2816666666666666,0.09262837246810604,0.7474570618642656,0.0,0.1601832953899758,C4,A_agv,10,1021
0.003755555555555586,0.2816666666666666,0.1066735493571044,0.7474570618642656,0.0,0.16229007192332556,C4,C_workload,45,1014
0.003755555555555586,0.2816666666666666,0.04991359304603975,0.7474570618642656,0.0,0.15377607847666586,C4,B_pad,2,1041
0.003755555555555586,0.2816666666666666,0.002217114422516412,0.12370768717692188,0.0,0.08424666921440298,C4,A_agv,5,1011
0.003755555555555586,0.2816666666666666,0.024875591115139994,0.9166666666666667,0.0,0.166941338667271,C4,D_power,3,1026
0.003755555555555586,0.2816666666666666,0.07831552936789649,0.8266216441554113,0.0,0.16595282715405896,C4,A_agv,10,1007
0.003755555555555586,0.2816666666666666,0.12232411431020308,1.0,0.0,0.1898919504798638,C4,A_agv,7,1047
0.003755555555555586,0.2816666666666666,0.01855897457871025,1.0,0.0,0.17432717952013987,C4,A_agv,7,1016
0.007511111111111172,0.2816666666666666,0.0480445613427259,0.9166666666666667,0.0,0.17154335086807557,C4,D_power,5,1043
0.003755555555555586,0.2816666666666666,0.047408286387738675,0.9166666666666667,0.0,0.1703212429581608,C4,A_agv,7,1007
0.003755555555555586,0.2816666666666666,0.007339396664170232,1.0,0.0,0.17264424283295887,C4,B_pad,5,1056
