scenario,scenario_value,strategy,requested_tasks_mean,requested_tasks_std,requested_tasks_median,requested_tasks_p5,requested_tasks_p95,completed_tasks_mean,completed_tasks_std,completed_tasks_median,completed_tasks_p5,completed_tasks_p95,throughput_mean,throughput_std,throughput_median,throughput_p5,throughput_p95,completion_rate_mean,completion_rate_std,completion_rate_median,completion_rate_p5,completion_rate_p95,mean_delay_mean,mean_delay_std,mean_delay_median,mean_delay_p5,mean_delay_p95,max_delay_mean,max_delay_std,max_delay_median,max_delay_p5,max_delay_p95,idle_ratio_mean,idle_ratio_std,idle_ratio_median,idle_ratio_p5,idle_ratio_p95,charging_wait_mean,charging_wait_std,charging_wait_median,charging_wait_p5,charging_wait_p95,low_soc_stops_mean,low_soc_stops_std,low_soc_stops_median,low_soc_stops_p5,low_soc_stops_p95,traction_energy_mean,traction_energy_std,traction_energy_median,traction_energy_p5,traction_energy_p95,aux_energy_mean,aux_energy_std,aux_energy_median,aux_energy_p5,aux_energy_p95,wpt_input_energy_mean,wpt_input_energy_std,wpt_input_energy_median,wpt_input_energy_p5,wpt_input_energy_p95,battery_delivered_energy_mean,battery_delivered_energy_std,battery_delivered_energy_median,battery_delivered_energy_p5,battery_delivered_energy_p95,wpt_loss_mean,wpt_loss_std,wpt_loss_median,wpt_loss_p5,wpt_loss_p95,mean_efficiency_mean,mean_efficiency_std,mean_efficiency_median,mean_efficiency_p5,mean_efficiency_p95,fleet_min_soc_mean,fleet_min_soc_std,fleet_min_soc_median,fleet_min_soc_p5,fleet_min_soc_p95,pad_utilization_mean,pad_utilization_std,pad_utilization_median,pad_utilization_p5,pad_utilization_p95,mean_queue_mean,mean_queue_std,mean_queue_median,mean_queue_p5,mean_queue_p95,max_queue_mean,max_queue_std,max_queue_median,max_queue_p5,max_queue_p95,detour_distance_m_mean,detour_distance_m_std,detour_distance_m_median,detour_distance_m_p5,detour_distance_m_p95
A_agv,10,C1,1800.88,39.50956484556258,1800.0,1743.45,1860.3,1796.28,38.87554186248781,1795.5,1738.9,1855.85,74.845,1.6198142442703283,74.8125,72.45416666666667,77.32708333333333,99.74526310239109,0.10644263745791212,99.77311401020987,99.53213977566867,99.88807674737323,0.4201747108100731,0.13450191757068344,0.39417367373002316,0.26593935567804683,0.6197022257809743,138.1413401587678,41.770349092384315,131.95169196800197,83.23529501968245,226.0829692613038,0.6408100834924517,0.017247688307118803,0.6436394300047139,0.6125280609329339,0.6668548114589302,29.359561764866722,23.923473245119098,31.38390758210467,0.0,71.97320909505505,0.0,0.0,0.0,0.0,0.0,21.626040000000017,0.4754197269094904,21.614000000000015,20.932700000000015,22.34030000000002,3.752908333333326,0.08240188250076513,3.750972222222215,3.6329722222222154,3.8767847222222143,32.476573146039186,6.896034820564821,31.462639395089337,23.468142215917617,44.14234109556772,27.159397891197763,5.344219731046136,28.045370889174926,21.04667468547607,35.09348946381183,5.317175254841422,2.5392504508464517,4.7248713826709725,2.5623903679152638,10.243436758886043,83.98918660407183,5.342726738584873,85.59299433936809,74.13297561052781,90.23529655682366,19.713925904898502,0.03491063121644366,19.702883382804828,19.67790218302406,19.76716876434374,22.553175795860547,4.788913069836682,21.849055135478704,16.29732098327612,30.654403538588696,0.8,0.40406101782088427,1.0,0.0,1.0,1.8,0.40406101782088444,2.0,1.0,2.0,77.4,15.227526096526912,80.0,60.0,100.0
A_agv,10,C2,1800.88,39.50956484556258,1800.0,1743.45,1860.3,1797.72,39.25949254768891,1796.0,1740.0,1857.75,74.905,1.6358121894870368,74.83333333333333,72.5,77.40625,99.82478399459016,0.08057492109274123,99.83130571369492,99.71486046943093,99.94574356836505,0.0006360689399918841,0.0007221497488723208,0.0002961640275514316,2.3359849748097897e-05,0.0021487653337077324,0.3433345306215079,0.3332345160013506,0.16723196431433585,0.03130727897618651,1.1251445054722593,0.6861587324321572,0.006729792170987444,0.6860700079425863,0.6758018580211694,0.6962002624344525,1.9307911249676022,0.17648576710497213,1.9123794300293322,1.6754403092306156,2.20919996694609,0.0,0.0,0.0,0.0,0.0,25.206519999999937,0.551160380377572,25.19399999999994,24.405399999999954,26.038599999999924,4.00155277777778,0.08766080807822736,3.9995833333333364,3.8741319444444455,4.133611111111114,49.423776732422,1.560199772490214,49.365578748246975,47.08176395823471,52.06168260667261,41.50518094855825,1.301683921066863,41.356161110036425,39.39620062830306,43.793729498968425,7.918595783863668,0.37253293644488206,7.805773115140566,7.363760925801073,8.541838503202001,83.98011989547675,0.49703134928874787,83.96694624856919,83.1138543216994,84.75044890447386,52.82367530563567,2.9874888954255097,52.305555905632595,50.04738845421155,58.324099633098825,34.322067175293505,1.083472064229374,34.28165190850528,32.69566941544114,36.153946254634306,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,17979.8,386.1504940844088,17960.0,17420.0,18575.0
A_agv,10,C3,1800.88,39.50956484556258,1800.0,1743.45,1860.3,1797.72,39.25949254768891,1796.0,1740.0,1857.75,74.905,1.6358121894870368,74.83333333333333,72.5,77.40625,99.82478399459016,0.08057492109274123,99.83130571369492,99.71486046943093,99.94574356836505,0.0005843174587462379,0.0007074705802566452,0.0002369932812850838,2.579796459592133e-05,0.002077138590434008,0.3405251055214146,0.33519038883391505,0.16723196431433585,0.03532412021463832,1.1251445054722593,0.6861652020386296,0.006729944756963183,0.686074264931124,0.6758068215862889,0.6962094268549379,3.535697712329192,0.40845916856628545,3.490379444110938,2.9067221607015004,4.386501812760048,0.0,0.0,0.0,0.0,0.0,22.45568000000001,0.5088688311804301,22.42200000000001,21.673300000000012,23.199700000000004,3.8105222222222164,0.08456701407159066,3.806319444444439,3.684590277777772,3.937624999999993,44.975104848672984,1.623505678648661,44.75649846690675,42.61580832552737,47.83194997460423,38.04448946359598,1.352550054354312,37.87987459747342,35.93570606043242,40.51641539091715,6.930615385077015,0.4717017708545598,6.999742883514328,6.136932262035428,7.70028016212354,84.59532522099083,0.8014417482783954,84.44344454168755,83.47638752647144,85.96623533598073,52.82367530563567,2.9874888954255097,52.305555905632595,50.04738845421155,58.324099633098825,31.232711700467352,1.1274344990615728,31.080901713129684,29.59431133717177,33.21663192680849,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,4225.6,350.24283121332627,4160.0,3749.0,4940.999999999999
A_agv,10,C4,1800.88,39.50956484556258,1800.0,1743.45,1860.3,1797.72,39.25949254768891,1796.0,1740.0,1857.75,74.905,1.6358121894870368,74.83333333333333,72.5,77.40625,99.82478399459016,0.08057492109274123,99.83130571369492,99.71486046943093,99.94574356836505,0.0006229763524651828,0.000708042653936266,0.00028562994755819323,2.3359849748097897e-05,0.002103444407164411,0.3420438626478061,0.3341794999741741,0.16723196431433585,0.03130727897618651,1.1251445054722593,0.686160382028726,0.006729246681517711,0.6860700079425863,0.6758018580211694,0.6962002624344525,2.014027936734663,0.17996939261813016,1.9971107551881988,1.7556940889629076,2.3109317533114533,0.0,0.0,0.0,0.0,0.0,25.075079999999943,0.5466548678003224,25.08099999999994,24.268999999999952,25.909699999999926,3.9924250000000017,0.08734082005357954,3.991736111111113,3.864784722222223,4.124659722222225,47.94126189711875,1.5505873688236251,47.796044911132434,45.37956878013037,50.60842154819522,41.3584009247327,1.3025619352643547,41.19599442603973,39.22897285052529,43.65545033230175,6.582860972385951,0.3361504184720488,6.581469929887438,6.066497392937834,7.113664633825574,86.27226266108504,0.44661021247119537,86.27470965115869,85.53593507443594,87.01852175142199,52.82367530563567,2.9874888954255097,52.305555905632595,50.04738845421155,58.324099633098825,33.29254298411064,1.076796783905353,33.19169785495343,31.513589430646398,35.14473718624719,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,17322.6,369.527055704936,17310.0,16784.5,17930.5
A_agv,3,C1,1800.9,36.25434527088312,1798.5,1744.15,1860.1,1509.84,22.2695545807385,1517.0,1466.05,1534.55,62.91,0.9278981075307701,63.208333333333336,61.08541666666667,63.93958333333333,83.87062206285894,2.0638784526442677,83.89272691496492,80.20925294986368,87.00611396120482,127.86403060893139,19.21552460667894,127.92777424142828,94.93928133356145,157.89385291490095,281.63649426793444,41.5448279114081,278.58441455402885,214.217366608656,353.0801762163667,0.004748097946799342,0.003623786550335553,0.0035068365013831444,0.0006640264063397315,0.011447306013917802,5.579781432460806,11.989122290495976,0.0,0.0,34.13928781319278,0.0,0.0,0.0,0.0,0.0,21.62303999999966,0.4353494941317874,21.593999999999664,20.941799999999684,22.334299999999637,3.7527250000000287,0.07555051112987897,3.747708333333362,3.63447916666669,3.8761180555555907,26.068461481346336,2.7813928747851233,24.976402695129465,23.286923206035553,31.665258205428152,21.473903092267918,1.3514919760626705,21.053352258298005,21.04472428622047,24.564410015759133,4.594558389078416,2.322041772435738,3.827873598353875,2.1848860295521537,8.810941491956928,82.96536772891055,6.926278853700519,84.61966407937416,70.49565766973596,90.59836027895878,19.746237673069654,0.045455724494745164,19.74153672809919,19.68388165068366,19.822222222221693,18.103098250934956,1.9315228297118914,17.344724093839908,16.171474448635802,21.98976264265844,0.28,0.4535573676110727,0.0,0.0,1.0,1.26,0.48697315854455164,1.0,1.0,2.0,61.2,3.8544964466377274,60.0,60.0,70.0
A_agv,3,C2,1800.9,36.25434527088312,1798.5,1744.15,1860.1,1503.9,18.87796469486071,1508.0,1464.0,1526.65,62.6625,0.7865818622858629,62.833333333333336,61.0,63.610416666666666,83.53777470392994,1.8218465128536936,83.10944842722697,81.14576534460484,86.54366391388318,121.77441311273105,17.886877142356923,124.10756517919445,94.8739250140811,147.14983066853006,293.5498368851652,34.20415753288676,290.9266872905831,240.47608824467835,356.50448020379304,0.004964177805225488,0.0038481035365945924,0.0035068365013831444,0.0006640264063397315,0.011646245033392403,3.6289524748523263,7.154062447612655,0.8648796655482229,0.0,17.19969575840222,0.0,0.0,0.0,0.0,0.0,21.654879999999658,0.4339320289103722,21.63199999999966,20.980799999999682,22.387699999999633,3.7549361111111406,0.07542688524625817,3.750347222222251,3.637187500000023,3.879729166666702,28.313897395958428,2.790844277271646,27.47558650372998,25.203240767122725,32.55747878249091,23.216262536712364,0.5957354414142026,22.981957023479573,22.55913088919212,24.23975826938575,5.09763485924606,2.612651943836297,4.105876739495428,2.308286681406917,9.350950954807283,82.63490028690747,6.900143178200677,85.19432790298112,71.13054624940209,90.85446270796774,15.012240608622175,0.026065595135169206,15.031863390033148,14.963075101944076,15.033888888888383,19.66242874719335,1.9380863036608655,19.080268405368038,17.502250532724112,22.609360265618687,0.92,0.27404751561786966,1.0,0.0,1.0,1.92,0.27404751561786966,2.0,1.0,2.0,220.4,114.80169237179636,185.0,90.0,410.99999999999994
A_agv,3,C3,1800.9,36.25434527088312,1798.5,1744.15,1860.1,1503.9,18.87796469486071,1508.0,1464.0,1526.65,62.6625,0.7865818622858629,62.833333333333336,61.0,63.610416666666666,83.53777470392994,1.8218465128536936,83.10944842722697,81.14576534460484,86.54366391388318,121.77441311273105,17.886877142356923,124.10756517919445,94.8739250140811,147.14983066853006,293.5498368851652,34.20415753288676,290.9266872905831,240.47608824467835,356.50448020379304,0.004964177805225488,0.0038481035365945924,0.0035068365013831444,0.0006640264063397315,0.011646245033392403,3.6289524748523263,7.154062447612655,0.8648796655482229,0.0,17.19969575840222,0.0,0.0,0.0,0.0,0.0,21.654879999999658,0.4339320289103722,21.63199999999966,20.980799999999682,22.387699999999633,3.7549361111111406,0.07542688524625817,3.750347222222251,3.637187500000023,3.879729166666702,28.313897395958428,2.790844277271646,27.47558650372998,25.203240767122725,32.55747878249091,23.216262536712364,0.5957354414142026,22.981957023479573,22.55913088919212,24.23975826938575,5.09763485924606,2.612651943836297,4.105876739495428,2.308286681406917,9.350950954807283,82.63490028690747,6.900143178200677,85.19432790298112,71.13054624940209,90.85446270796774,15.012240608622175,0.026065595135169206,15.031863390033148,14.963075101944076,15.033888888888383,19.66242874719335,1.9380863036608655,19.080268405368038,17.502250532724112,22.609360265618687,0.92,0.27404751561786966,1.0,0.0,1.0,1.92,0.27404751561786966,2.0,1.0,2.0,220.4,114.80169237179636,185.0,90.0,410.99999999999994
A_agv,3,C4,1800.9,36.25434527088312,1798.5,1744.15,1860.1,1516.84,16.18056279135241,1521.0,1482.45,1534.0,63.20166666666667,0.6741901163063504,63.375,61.76875,63.916666666666664,84.25721468861292,1.7800971527821519,84.4114411441144,81.64626065127737,87.18779949888155,121.59792920945497,18.246389596802143,123.2491067073357,90.39008547423016,152.93044284764937,269.4254161668989,28.6874206189116,269.3916038375985,227.5578691636117,318.425814236621,0.004737684230518144,0.0036094552456042853,0.0035068365013831444,0.0006640264063397315,0.01140361471854385,3.847194682986292,7.194811038033709,0.8648796655482229,0.0,22.33221894802813,0.0,0.0,0.0,0.0,0.0,21.65343999999966,0.43561320420007427,21.631999999999664,20.980799999999682,22.387699999999633,3.75483611111114,0.07554761805753951,3.750347222222251,3.637187500000023,3.879729166666702,25.756045611963373,2.038315644715971,25.269206047411586,23.87221720469583,30.291252210676923,21.828359203379037,0.692195626957198,21.6206828631927,21.140824886431908,22.807860728067112,3.9276864085843357,1.8566933743046863,3.165686854007745,2.159192587531088,7.7403366088233545,85.13829614809066,5.505491309112093,87.09477678636526,74.45416776138222,90.94728827868647,19.73811752726197,0.048876312718766024,19.725597247143195,19.680878992741533,19.822222222221697,17.886142786085674,1.4154969754972029,17.548059755146937,16.577928614372105,21.035591812970086,0.92,0.27404751561786966,1.0,0.0,1.0,1.92,0.27404751561786966,2.0,1.0,2.0,213.2,105.33600272170838,185.0,90.0,395.5
A_agv,5,C1,1801.08,39.37824946099363,1800.0,1744.45,1861.2,1797.0,38.744058135620286,1795.5,1740.45,1857.55,74.875,1.6143357556508449,74.8125,72.51875,77.39791666666667,99.77423546630449,0.15177835269510892,99.78284242990125,99.5586305343863,99.94480988018928,2.403143627702507,1.588840942468191,2.0146499827765285,0.6724008640860325,5.365735456524381,121.22489619021898,25.220876163127155,113.78895723544798,88.47324606059375,166.5690210072957,0.3112241754208963,0.016026605277526015,0.31249800923138493,0.2870173126044596,0.3354308064620148,25.331602548278884,16.99411704744668,27.337228795287352,0.0,46.783010447254064,0.0,0.0,0.0,0.0,0.0,21.623679999999958,0.47302075028910257,21.610999999999954,20.943399999999983,22.34729999999993,3.7529944444444343,0.08207142223972022,3.750763888888879,3.634965277777768,3.8783958333333235,21.730308851598966,2.716911641176607,20.450347260720598,19.073116025811608,27.648307861969602,18.8066800875726,2.0973407751824533,17.548592008321585,17.532555305696178,22.976442559846976,2.923628764026363,1.5284020934475848,2.5689368131092714,1.5403441709074719,4.585747410967147,86.8674116577711,5.325217005801895,87.87000207826453,79.27983259081323,92.16462001364465,19.732086554333563,0.042103527890841416,19.717693829999604,19.68388165068366,19.820991761423148,15.090492258054836,1.8867441952615327,14.201630042167082,13.245219462369171,19.200213793034443,0.88,0.32826072265931594,1.0,0.0,1.0,1.88,0.328260722659316,2.0,1.0,2.0,53.6,5.979557010416099,50.0,50.0,65.49999999999997
A_agv,5,C2,1801.08,39.37824946099363,1800.0,1744.45,1861.2,1797.6,39.05882533736382,1796.0,1740.45,1858.65,74.9,1.627451055723493,74.83333333333333,72.51875,77.44375,99.80713881108069,0.1123713556085577,99.83286825083357,99.63303634260991,99.94480988018928,0.19724672360712137,0.03642842156738585,0.1957943772515532,0.14848387905165286,0.25278712547019333,3.237825236355945,0.573576061397042,3.2128848286793072,2.4123903665479203,4.23500857541337,0.37423143827397815,0.01360711478591849,0.37440542390910747,0.35322418257967303,0.3944712517349621,0.6744294421607329,0.0968194962714976,0.6794675290768691,0.5184283802901335,0.8165603090098621,0.0,0.0,0.0,0.0,0.0,24.298679999999703,0.4742348699080641,24.295999999999704,23.544599999999736,25.079499999999673,3.9387583333333414,0.08198398489707871,3.937986111111118,3.8169791666666746,4.068131944444453,40.74038042051611,1.3033715194095148,40.546328145285855,38.60827357083913,42.64466054369834,34.26928242736474,1.0844717817137943,34.22293382874723,32.602236818321984,35.90768528432821,6.471097993151452,0.3391403876437442,6.481500309772365,5.967659935262743,6.986637346623484,84.11901903969327,0.5857516157976912,84.12630165314746,83.2336814040783,84.99979538456932,54.9619518563556,4.14311017000514,53.8728336965236,50.079934258858614,63.11358402443689,28.291930847580716,0.9051191107010703,28.157172323115265,26.811301090860557,29.61434759979062,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,13428.6,312.29898024365133,13410.0,12919.0,13895.0
