pad_id,location,strategy,scenario,scenario_value,utilization,sessions,wait_min,input_kwh,delivered_kwh,replication
1,staging,C1,base,base,16.32387679211713,3,6.278702756394705,11.753191290324333,10.538297219100132,1007
2,picking,C1,base,base,11.510071759963344,2,0.0,8.287251667173608,7.012242141158347,1007
1,staging,C2,base,base,27.998977007818848,651,62.712901225289826,20.159263445629552,17.060521744461873,1007
2,picking,C2,base,base,29.022283051162102,656,68.30893672320136,20.896043796836672,17.559962060241144,1007
1,staging,C3,base,base,26.492341843333023,267,57.078247730624774,19.07448612719978,16.344542551121865,1007
2,picking,C3,base,base,26.88981829335727,267,74.21025507756443,19.360669171217225,16.502493857771693,1007
1,staging,C4,base,base,27.341188461491754,629,53.831835491333514,19.68565569227402,17.187577385872583,1007
2,picking,C4,base,base,27.721199136764497,623,63.603774295386394,19.95926337847043,17.30885086327488,1007
1,staging,C1,base,base,16.603258360840606,3,31.777040833101275,11.954346019805236,10.53942901027681,1008
2,picking,C1,base,base,10.831750543415366,2,0.0,7.798860391259064,7.018974352133157,1008
1,staging,C2,base,base,27.43718447853629,651,42.93298466805033,19.75477282454608,16.732202729160015,1008
2,picking,C2,base,base,27.556108512547183,644,49.80216933160826,19.840398129033908,16.686589522138963,1008
1,staging,C3,base,base,25.402961779950513,249,46.961612317572126,18.29013248156435,15.56879295635103,1008
2,picking,C3,base,base,25.11607305009344,247,42.08653658903211,18.083572596067274,15.701238618812475,1008
1,staging,C4,base,base,26.630924375311228,621,42.6802765381582,19.174265550224053,16.751611856888886,1008
2,picking,C4,base,base,26.763410881903965,624,39.426858404187875,19.269655834970788,16.55381928329898,1008
1,staging,C1,base,base,16.929210172007167,3,11.013781526512927,12.189031323845162,10.523881037201294,1009
2,picking,C1,base,base,17.625910918444102,3,11.53456193455877,12.690655861279755,10.529292592077264,1009
1,staging,C2,base,base,29.72066937560991,639,83.73008677773754,21.39888195043905,17.992730001885715,1009
2,picking,C2,base,base,29.56989056292515,644,89.72346940555691,21.290321205306046,17.905943627392908,1009
1,staging,C3,base,base,27.58782215647983,283,85.44827067067568,19.86323195266549,17.079155929241534,1009
2,picking,C3,base,base,28.088143349548,280,76.59356213385259,20.22346321167455,16.972250998107537,1009
