,throughput,throughput,completion_rate,completion_rate,mean_delay,mean_delay,low_soc_stops,low_soc_stops,pad_utilization,pad_utilization
,mean,std,mean,std,mean,std,mean,std,mean,std
strategy,,,,,,,,,,
C1,73.50872222222222,10.670387356996036,98.07035977639849,4.329984882119766,17.948824093356407,36.967860361485016,0.0,0.0,20.023639396934453,13.175816778599518
C2,73.94488888888888,11.056423760263224,98.58972346124663,4.128298402455401,8.892279054535217,30.70383021578639,0.0,0.0,28.977547552720814,12.618937106386669
C3,73.94505555555556,11.056847538141406,98.58988501213518,4.128310139597456,8.89088676498403,30.704286724161165,0.0,0.0,27.473107546687828,12.623920381644137
C4,73.9905,11.047173162810083,98.64627028170288,3.9401840527732226,9.022839996936181,30.70484619517119,0.0,0.0,28.230666580077397,12.689187373304915
C4-Fixed,74.9,1.627451055723493,99.80713881108069,0.1123713556085577,0.1972381599797346,0.036429424768474925,0.0,0.0,26.44381684396957,0.8362679216867984
C4-Variable,74.9,1.627451055723493,99.80713881108069,0.1123713556085577,0.1970167272391957,0.036410789756275666,0.0,0.0,27.41154483590493,0.9248042623911683
