strategy,n,mean_delay_mean,mean_delay_ci95,mean_delay_std,urgent_on_time_rate_mean,urgent_on_time_rate_ci95,urgent_on_time_rate_std
C1,50,38.954008456114344,7.690759939814312,27.745859724084408,37.85862376846589,2.7040622193816124,9.755411898342265
C2,50,4.012084485594416,1.302757201474978,4.699941078584522,72.59115278342908,3.3711518968500744,12.162063095268268
C3,50,6.073480796758627,3.0173502065446853,10.885657103379474,85.28789066134831,2.1733001438104997,7.8405881083780775
C4,50,5.168601722597304,2.754578800761449,9.937659945566981,84.96965066547682,2.2356801627154774,8.06563573275693
