workload,n_pads,wpt_power_kw,c4_vs_c3_delay_improvement_pct,c4_minus_c3_urgent_pp
75,1,1,5.257810816373428,-2.911751662512721
75,1,3,0.0011184389491512353,0.0
75,1,5,-0.0006702364471267165,0.0
75,2,1,-4.172023507385744,-4.954802818609579
75,2,3,-0.002810354879351346,0.010600210600230753
75,2,5,0.025203243228815054,0.0
90,1,1,4.753129804489839,-3.4253958947816088
90,1,3,-6.8289654468581595,-3.3636026128108796
90,1,5,0.0002691999202674393,0.004796163069542558
90,2,1,5.108020621730467,-4.469777633696694
90,2,3,0.001471629532675794,0.0
90,2,5,0.010538541289605165,0.0
105,1,1,6.0200735899353885,-1.6333541417143849
105,1,3,25.856778501979456,-4.092154630860406
105,1,5,40.45821291374246,-1.4738464487486453
105,2,1,2.326670200610359,-0.9436429614244481
105,2,3,26.483437199018322,-4.479614311710101
105,2,5,5.7110349324486345,-1.396037921808599
