feature,std_mean,std_ci95
1-SOC,0.15592780926455993,0.005717098760117026
E_next,0.3541447547638644,0.0016458510586304415
T_idle,0.06560867824910795,0.0022134850049034555
eta_WPT,0.24119436780309533,0.0014692108187275687
D,0.038259316208276155,0.0008630070457948327
