workload,pads,power,delay_improvement_pct,urgent_diff_pp
75,1,1,2.7057284452497106,-0.9570572004318478
75,1,3,0.009618228084496975,0.0
75,1,5,0.04493452561991031,-0.010748499538337342
75,2,1,5.018049259709935,-0.2594542483498117
75,2,3,0.017117777529136655,0.0
75,2,5,0.014751711291321714,0.0
90,1,1,2.554561276710993,-1.2274968492717733
90,1,3,14.898854618001758,-0.31823999587147966
90,1,5,0.0043873511911814945,0.0
90,2,1,1.55691482304681,-1.0407436939914234
90,2,3,0.009620681010735528,0.004842615012123019
90,2,5,0.016981959815624545,-0.00448430493273122
105,1,1,3.5531013416052115,-0.5154975604617995
105,1,3,12.448582526312824,-1.8533252003388263
105,1,5,22.165692915302674,-1.2238372906102555
105,2,1,0.2714030208931011,-0.24912582699381502
105,2,3,12.00615495037725,-1.1945899825242208
105,2,5,10.680039132344204,0.0025918382905132376
