scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,critical_soc_event_count,simulation_failure_count,infeasible_count,solver_mean_time_s,solver_median_time_s,solver_p95_time_s,solver_max_time_s,solver_mean_binary_variables,solver_mean_constraints,solver_mean_available_agv_slot_pairs,solver_mean_actual_busy_agv_slot_pairs,solver_mean_forecast_busy_agv_slot_pairs,solver_infeasible_calls,solver_time_limit_calls,solver_fallback_calls,solver_safety_slack_total,solver_reserve_slack_total,solver_task_slack_total
primary_challenge,C1,4007,2221,2219,92.45833333333333,99.90995047276002,3.9000820005441126,75.02223730172537,1.822646843360681,47.3568281938326,25.97623089983022,52.6431718061674,0.2846941916742227,12.76951727331137,0,140.0,26.767999999999894,4.6351388888888865,35.41009099727983,28.133213758307207,7.276877238972627,79.44970760021027,29.636111111111035,0.0,28.133213758307207,49.180681940666446,0,0,63.84758636655685,0,0,0,14,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,
primary_challenge,C2,4007,2221,2219,92.45833333333333,99.90995047276002,3.8553575120351287,159.7219086135067,2.177341190311836,36.563876651982376,20.54329371816639,63.436123348017624,0.2750560082096991,17.7841259410534,0,8610.0,28.461999999999797,4.7527777777777835,38.87983704450833,31.201139589372332,7.6786974551360005,80.25018097080581,19.7277975691087,13.650836993782738,17.550302595589592,53.99977367292823,2.0,4,88.920629705267,410,14.390243902439023,203,861,nan,nan,0.0,0,6,0,0,,,,,,,,,,,,,,,
primary_challenge,C3,4007,2221,1944,81.0,87.5281404772625,37.80646643555712,426.40241698184013,36.3717687767729,32.59911894273127,21.279003961516697,67.40088105726872,0.2687649134271433,165.950797049207,0,10070.0,28.753999999999756,4.7730555555555645,41.1446311662284,33.006658202751744,8.137972963476672,80.22105744344034,19.67923625517017,15.456408098476059,17.550250104275687,57.145321064206136,2.0,4,829.7539852460352,461,49.67462039045553,245,1007,nan,nan,0.0,0,5,0,0,,,,,,,,,,,,,,,
primary_challenge,C4,4007,2221,2029,84.54166666666667,91.35524538496172,33.00787198543275,378.9167164953267,31.291296804888532,39.207048458149785,25.693265421618563,60.792951541850215,0.2743242229233188,126.30760330310893,0,8920.0,28.523999999999788,4.757083333333339,39.14327974760523,31.292102647196188,7.851177100409048,79.94246483423666,19.742903118840083,13.742160255585949,17.549942391610237,54.36566631611838,2.0,4,631.5380165155447,419,42.959427207637226,222,892,nan,nan,0.0,0,5,0,0,,,,,,,,,,,,,,,
primary_challenge,C5,4007,2221,2025,84.375,91.17514633048177,35.170295669028256,355.0152275071386,33.42316422542902,38.986784140969164,28.296547821165817,61.013215859030836,0.2747202568264978,129.27043015267506,0,8920.0,28.523999999999788,4.75708333333334,39.00070754246082,31.301908202751722,7.69879933970911,80.25984700065436,19.631273889164163,13.740563959446298,17.561344243305427,54.16764936452893,2.0,4,646.3521507633753,419,34.60620525059666,222,892,nan,nan,3.1758573077386245,887,5,0,0,0.0035804479230424177,0.0018783750128932297,0.008741450100205838,0.013310041977092624,26.24577226606539,134.02142051860204,26.24577226606539,0.0,23.054114994363022,0,0,0,0.0,191.0343164682617,63.789954763586984
primary_challenge,C1,4010,2193,2184,91.0,99.58960328317373,2.922839412846779,112.82250014804146,1.1756849850638258,46.59340659340659,15.937859608745686,53.40659340659341,0.2859609440355322,26.77810597532213,0,150.0,26.183999999999894,4.559583333333326,37.7540601472084,30.12408338377205,7.629976763436352,79.79031464778623,29.671666666666546,0.0,30.12408338377205,52.43619464890056,0,0,133.89052987661066,0,0,0,15,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,
primary_challenge,C2,4010,2193,2042,85.08333333333333,93.11445508435932,19.852338730322604,265.26973284350413,18.292547766889815,36.92307692307693,25.258918296892986,63.07692307692307,0.2718252689526389,82.57816151799561,0,10500.0,28.253999999999763,4.70333333333334,42.84290317704998,34.379083383772155,8.463819793277843,80.24452321006174,19.70712252461069,16.83263049888885,17.546452884883305,59.50403219034721,2.0,4,412.89080758997807,519,22.736030828516377,235,1050,nan,nan,0.0,0,6,0,0,,,,,,,,,,,,,,,
primary_challenge,C3,4010,2193,1964,81.83333333333333,89.55768353853169,23.770911423252997,423.8719402315393,22.565055813728915,29.890109890109894,14.3843498273878,70.1098901098901,0.2666024228446752,164.9732610369445,0,11390.0,28.431999999999743,4.715694444444454,44.72312777591689,35.82750005043884,8.895627725478063,80.10955814618072,19.64965170860894,18.271865277176495,17.555634773262348,62.115455244329034,2.0,4,824.8663051847226,561,53.11942959001783,256,1139,nan,nan,0.0,0,5,0,0,,,,,,,,,,,,,,,
primary_challenge,C4,4010,2193,1972,82.16666666666667,89.92248062015504,22.47943911179114,405.01997276007535,21.2002102926221,31.428571428571427,15.650172612197933,68.57142857142857,0.26786076953909815,147.3124085123573,0,11190.0,28.391999999999747,4.712916666666675,44.27012296592464,35.52569449488329,8.744428471041367,80.24756227180109,19.618871793854332,17.96906928378164,17.556625211101654,61.486281897117564,2.0,4,736.5620425617866,554,48.73646209386281,253,1119,nan,nan,0.0,0,5,0,0,,,,,,,,,,,,,,,
primary_challenge,C5,4010,2193,1973,82.20833333333333,89.96808025535795,23.806616950858103,385.6965877929659,22.433333051552086,33.62637362637363,18.181818181818176,66.37362637362637,0.26896198463003895,139.3389721124345,0,10950.0,28.343999999999756,4.709583333333341,43.87368553318598,35.12102782821662,8.752657704969371,80.05032493030734,19.63595817313136,17.549107649727997,17.571920178488618,60.93567435164721,2.0,4,696.6948605621726,541,28.09611829944547,247,1095,nan,nan,3.5777591504738666,1087,8,0,0,0.0032914067621654707,0.0017600409919396043,0.008388220600318163,0.012527499988209456,27.585096596136154,139.7571297148114,27.585096596136154,0.0,23.65041398344066,0,0,0,0.0,95.27473418266516,36.09607903701049
