scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,critical_soc_event_count,simulation_failure_count,infeasible_count,solver_mean_time_s,solver_median_time_s,solver_p95_time_s,solver_max_time_s,solver_mean_binary_variables,solver_mean_constraints,solver_mean_available_agv_slot_pairs,solver_mean_actual_busy_agv_slot_pairs,solver_mean_forecast_busy_agv_slot_pairs,solver_infeasible_calls,solver_time_limit_calls,solver_fallback_calls,solver_safety_slack_total,solver_reserve_slack_total,solver_task_slack_total
base_case,C1,4009,1784,1779,74.125,99.71973094170403,1.1799554747993046,68.58963041756712,0.4419094289796458,0,5.437219730941701,100,0.4277882076605466,3.2621622383914897,0,110.0,21.42999999999996,3.7181944444444346,27.596245242203214,22.131326366423203,5.464918875780009,80.19687523495966,29.678888888888554,0.0,22.131326366423203,19.164059195974453,0,0,16.31081119195745,0,0,0,11,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,
base_case,C2,4009,1784,1781,74.20833333333333,99.83183856502242,0.1847848461778361,2.4077508823288856,0.0,0,0.0,100,0.3735576205560701,0.0,0,26240.0,26.65599999999949,4.081111111111132,47.11925659981472,37.696337162045694,9.422919437769103,80.00197770988163,49.058405585568174,37.696337162045694,0.0,32.72170597209359,1.5,3,0.0,291,12.371134020618557,499,2624,nan,nan,0.0,0,0,0,0,,,,,,,,,,,,,,,
base_case,C3,4009,1784,1781,74.20833333333333,99.83183856502242,0.1847640495195437,2.4077508823288856,0.0,0,0.0,100,0.37389936120633804,0.0,0,25740.0,26.5559999999995,4.074166666666687,46.996229965718264,37.60249567306071,9.393734292657609,80.01172796305175,51.32026486471002,37.60249567306071,0.0,32.63627080952658,1.5,3,0.0,306,31.372549019607842,485,2574,nan,nan,0.0,0,0,0,0,,,,,,,,,,,,,,,
base_case,C4,4009,1784,1781,74.20833333333333,99.83183856502242,0.18459182497199975,2.4077508823288856,0.0,0,0.0,100,0.37385994092312325,0.0,0,25870.0,26.581999999999496,4.0759722222222425,47.01042126767557,37.61351959995829,9.396901667717332,80.01102433392018,51.32026486471002,37.61351959995829,0.0,32.64612588033026,1.5,3,0.0,298,24.496644295302016,492,2587,nan,nan,0.0,0,0,0,0,,,,,,,,,,,,,,,
base_case,C5,4009,1784,1781,74.20833333333333,99.83183856502242,0.18453213375658203,2.4077508823288856,0.0,0,0.0,100,0.3769787255401626,0.0,0,22470.0,25.90199999999957,4.028750000000015,45.88765880554147,36.72919408705418,9.158464718487272,80.04155156989336,51.03859819804335,36.72919408705418,0.0,31.866429726070457,1.5,3,0.0,849,43.109540636042404,459,2247,nan,nan,28.950172823329922,2472,0,0,0,0.011711234960893982,0.009435833489988,0.029319066856987767,0.17115475004538894,46.46844660194175,149.27831715210357,27.949029126213592,0.0,21.506067961165048,0,0,0,0.0,0.0,0.0
base_case,C1,4010,1843,1841,76.70833333333333,99.89148128052089,1.0793129568184627,54.02222542126389,0.37334383876629623,0,4.991861096039063,100,0.411547214339942,0.904268599148636,0,110.0,22.137999999999938,3.841111111111101,27.54300283762091,22.149861161549914,5.39314167607099,80.4191950025706,29.678888888888554,0.0,22.149861161549914,19.127085303903407,0,0,4.52134299574318,0,0,0,11,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,
base_case,C2,4010,1843,1841,76.70833333333333,99.89148128052089,0.2614719818696933,3.952119275794636,0.0,0,0.0,100,0.3560991588079915,2.3684757858670008e-17,0,25560.0,27.22799999999947,4.194583333333355,47.50430282912304,37.99281230101791,9.511490528105199,79.97762315906675,51.84817120288522,37.99281230101791,0.0,32.98909918689101,1.5,3,1.1842378929335003e-16,332,11.74698795180723,528,2556,nan,nan,0.0,0,0,0,0,,,,,,,,,,,,,,,
base_case,C3,4010,1843,1841,76.70833333333333,99.89148128052089,0.26165682953189096,3.952119275794636,0.0,0,0.0,100,0.3565238925474984,0.0,0,24990.0,27.113999999999486,4.186666666666688,47.35139868290058,37.88194373424137,9.469454948659255,80.00174184489549,53.089237403515895,37.88194373424137,0.0,32.882915752014284,1.5,3,0.0,354,29.09604519774011,520,2499,nan,nan,0.0,0,0,0,0,,,,,,,,,,,,,,,
base_case,C4,4010,1843,1841,76.70833333333333,99.89148128052089,0.26151987157174716,3.952119275794636,0.0,0,0.0,100,0.3564720505963111,0.0,0,25110.0,27.13799999999948,4.188333333333354,47.370061785328,37.90669355578285,9.463368229545205,80.02247015756215,53.089237403515895,37.90669355578285,0.0,32.895876239811116,1.5,3,0.0,365,27.123287671232877,522,2511,nan,nan,0.0,0,0,0,0,,,,,,,,,,,,,,,
base_case,C5,4010,1843,1841,76.70833333333333,99.89148128052089,0.26114726504035585,3.952119275794636,0.0,0,0.0,100,0.3590355286213449,2.3684757858670008e-17,0,22300.0,26.575999999999546,4.149305555555571,46.44720969631581,37.16282464233071,9.284385053985101,80.01088738228007,53.02329791065271,37.16282464233071,0.0,32.25500673355265,1.5,3,1.1842378929335003e-16,826,42.615012106537534,488,2230,nan,nan,29.54225117858732,2313,0,0,0,0.012772265965666805,0.009703457995783538,0.033221749996300794,0.1665679169818759,47.00389105058366,150.34025075659318,28.151750972762645,0.0,21.708171206225682,0,0,0,0.0,0.0,0.0
