comparison,metric,mean_difference,median_difference,standard_error,ci95_low,ci95_high,left_better_replication_rate,paired_replications
C3_minus_C4,mean_delay,-0.18042669947388235,0.0,0.4222366836774699,-1.0289430831996975,0.6680896842519328,36.0,50
C3_minus_C4,urgent_on_time_rate,1.5723579004173986,0.0,0.4095927731120072,0.7492504062644141,2.395465394570383,48.0,50
C4_minus_C5,mean_delay,-0.10243518793467934,0.0,0.5931073897423931,-1.2943291113193531,1.0894587354499943,42.0,50
C4_minus_C5,urgent_on_time_rate,1.2439434076611455,0.0,0.6747703553290383,-0.11205838915698751,2.599945204479279,36.0,50
C3_minus_C5,mean_delay,-0.2828618874085617,0.0,0.6096623841535695,-1.5080243176127486,0.942300542795625,40.0,50
C3_minus_C5,urgent_on_time_rate,2.816301308078544,0.3348732806097132,0.5701534397862561,1.670535074120027,3.9620675420370612,56.00000000000001,50
