scenario,strategy,reps,mean_delay_mean,mean_delay_std,completion_rate_mean,completion_rate_std,urgent_on_time_rate_mean,urgent_on_time_rate_std,battery_delivered_energy_mean,battery_delivered_energy_std,wpt_loss_mean,wpt_loss_std,fleet_min_soc_mean,fleet_min_soc_std,critical_soc_event_count_mean,critical_soc_event_count_std,low_soc_stops_mean,low_soc_stops_std,charging_wait_mean,charging_wait_std,solver_mean_time_s_mean,solver_mean_time_s_std,solver_max_time_s_mean,solver_max_time_s_std,solver_calls_mean,solver_calls_std,infeasible_count_mean,infeasible_count_std,simulation_failure_count_mean,simulation_failure_count_std
base_case,C1,50,1.1039496775006503,0.44831460062353157,99.77405654109981,0.13200515974733693,100.0,0.0,20.527839292102236,0.812147644114432,5.117809152156408,0.22319905420011757,29.67871935268529,0.0006166074115258642,0.0,0.0,0.0,0.0,2.3115861829596884,3.541001443837258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_case,C2,50,0.19795437157037302,0.03710522335097642,99.79800932390982,0.09813808758658313,100.0,0.0,36.844152462306326,1.0569275004712904,9.206596644985783,0.2620795825787423,53.84800589495349,5.107492105323606,0.0,0.0,0.0,0.0,6.039613253960851e-18,1.7763165587431086e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_case,C3,50,0.19792536559131796,0.03713968397087974,99.79800932390982,0.09813808758658313,100.0,0.0,36.76262501768773,1.0521015210078413,9.184132405128516,0.25887054801426634,55.30301236299527,4.620331996033397,0.0,0.0,0.0,0.0,9.947598300641404e-18,3.583675081394465e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_case,C4,50,0.19794882455317858,0.0371259065200993,99.79689882973993,0.09931843722092876,100.0,0.0,36.77631692044253,1.0488805473981735,9.182997900431126,0.2567869277637757,55.30301236299527,4.620331996033397,0.0,0.0,0.0,0.0,9.947598300641404e-18,3.583675081394465e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_case,C5,50,0.19821091656831735,0.036978609665166855,99.79689882973993,0.09931843722092876,100.0,0.0,35.94157939509751,1.1046348754762523,8.979505669701117,0.2732144033459464,54.56091800086831,4.474897552892694,0.0,0.0,0.0,0.0,7.105427357601002e-18,1.85323944974876e-17,0.012704035450746774,0.0008508925058874926,0.22545669998624362,0.07241107586158241,2434.1,56.11658782010385,0.0,0.0,0.0,0.0
primary_challenge,C1,50,6.247067823255611,4.807713114263771,99.5515922597186,0.2871796787972882,55.200915369468994,9.403008848758063,28.08900429210214,1.8402361618757663,7.0099978158916585,0.5052021626017719,29.660836314016038,0.04054179641917947,0.0,0.0,0.0,0.0,31.25946677819163,16.350223419620807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_challenge,C2,50,4.7831190272707165,5.373081735621198,98.54145384102074,1.6154196699430812,72.36510106903131,10.929297146135964,32.20921691811584,2.8714432545551754,8.054843610628168,0.7339797830162466,20.03642258364807,1.4750746749650903,5.1,2.358224859888454,0.0,0.0,30.72013235470394,23.957320371696504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_challenge,C3,50,7.350139897982031,12.88633559399129,97.00048332030474,4.707417842602069,84.9037054741638,8.009185499241424,28.440659948212232,6.478263905886053,7.109698754669086,1.6338081184816629,24.403372729502145,5.5405425191737105,1.92,2.625153056762324,0.0,0.0,58.710621241078805,79.59530625664351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_challenge,C4,50,7.530566597455914,11.574679413541348,96.79067581370764,4.184616284927523,83.33134757374641,9.285093601662291,29.998873534542405,6.183941581446902,7.496636448921557,1.5609056215270245,22.942750809040753,4.823114506358237,2.54,2.6046269661226082,0.0,0.0,62.06686030099159,69.87682402422342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_challenge,C5,50,7.633001785390593,11.179955361212146,96.68727245408827,3.841171543557506,82.08740416608526,10.259038246391823,30.593169304579487,6.037752122621173,7.627499760556542,1.5051860831215127,21.1115041381147,2.061735130981571,2.9,2.5575019699954513,0.0,0.0,64.0248276215989,64.30653667265334,0.0033258183020888443,0.0006170488530162103,0.021860338383121417,0.01575071588510952,1327.6,185.75428140752098,0.0,0.0,0.0,0.0
stress_w105_p1_kw1,C1,50,466.35934939037287,45.96341191113898,59.27348943996667,2.0989009933163456,13.560435875581168,3.905428978336875,34.23820040321327,1.2177615671581314,8.557024346150206,0.3406702756205413,29.63899347295376,0.03354470393263574,0.0,0.0,0.0,0.0,811.0838996160123,41.481291161918996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p1_kw1,C2,50,497.5546740084326,49.248364886049124,56.16236205260031,2.2061865289173346,19.90345806756322,4.95058199276112,37.82090206987995,1.5637789700768236,9.489114967929094,0.41980925792660095,19.66422081238459,0.04152222567846113,10.5,0.5439837932759934,0.0,0.0,907.9809257827915,53.24090843282164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p1_kw1,C3,50,529.7509423061302,39.02910215488628,54.31284312164965,1.5626099840273295,22.177362100250253,5.530273080279955,37.80162484765773,1.5557000788948507,9.534304465267594,0.4738835380904456,19.65968373304189,0.047457316647332326,10.68,0.8191583535332259,0.0,0.0,953.416786622968,41.51784295418672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p1_kw1,C4,50,515.219901390748,40.80318526404918,55.10173508945413,1.7290951841663678,21.186893082113066,5.418161402251767,37.6629076254355,1.5898093962571924,9.397564183855414,0.4489088848552814,19.657913239568376,0.03839717919207748,10.4,0.6060915267313265,0.0,0.0,928.4599373048702,48.715089168100704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p1_kw3,C1,50,37.2892505220784,17.21113992541257,96.21723884735471,1.9396841115511603,15.086366179746475,4.766437592616434,31.2240437365466,1.2310647482005592,7.8187887100042746,0.3284572656159276,29.64598622255107,0.044321637180957364,0.0,0.0,0.0,0.0,33.67585600303193,16.4953387198262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p1_kw3,C2,50,60.91725168435262,23.691741392627424,92.34361215928779,2.653996166794355,25.119287513070667,6.722842853699782,36.548003736546626,1.9690332548664737,9.110373621772284,0.529798273828411,19.674758887271494,0.054928094896546535,9.38,1.0079277589921505,0.0,0.0,76.4535393117334,36.428778365313505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p1_kw3,C3,50,108.98352937372688,13.924095900179099,85.92541498681435,1.521462341984346,31.737491501222454,8.568847666843034,36.53775373654663,2.358317254016419,9.126483600157709,0.5962195636356904,19.67912049177255,0.04884203687416579,9.0,1.3997084244475304,0.0,0.0,164.1997869844026,12.65842143188591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p1_kw3,C4,50,96.86448756222893,14.476936163519674,87.60893872844127,1.5113350670656862,30.450340744334607,8.332189367283414,36.331790958768856,2.2748801319878655,9.043709577302323,0.590531879356874,19.658639205451987,0.05014654357512157,8.94,1.2521002763520246,0.0,0.0,141.7094481928483,16.444580060945857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p1_kw5,C1,50,7.898667774070123,3.8436162717184583,99.53999538044205,0.45177795768266343,31.144506625225148,7.995799615423516,30.945164292102152,1.2844778198575275,7.697467130538009,0.32673244072494506,29.658284162414606,0.04222353221375874,0.0,0.0,0.0,0.0,10.680082881487492,7.8953067084271975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p1_kw5,C2,50,9.651790793495662,7.148281052896871,98.94072602903836,1.195219341398218,42.63391818045724,11.541299864710002,33.821141933011816,2.6444728937147106,8.447733597869837,0.6787667848547523,19.69563658437421,0.06212270797848972,6.48,1.9297879760878036,0.0,0.0,14.167857488456981,16.209695838118975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p1_kw5,C3,50,34.20661352461953,13.911600324913886,92.93241179159747,2.2910012398863104,46.0251253540369,13.327545296859727,34.14086456070943,4.027365018886458,8.527597507604728,1.0130208589872254,20.050564580029775,1.8701454571597218,5.76,2.075709861365848,0.0,0.0,88.27722289822071,19.201960860721712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p1_kw5,C4,50,26.436376055779977,11.562549384333115,95.07190668668345,2.305858004639834,44.00221613887029,13.114293538769727,33.60379552569094,4.031454993614454,8.409207231537344,1.0276105972005563,19.931382704067165,1.3386918819927818,5.98,2.189865339257561,0.0,0.0,64.16957920966452,19.561421045691088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p2_kw1,C1,50,192.57499700410492,24.25263998131003,78.50661395485884,1.9260905293058885,13.560435875581168,3.905428978336875,32.391775403213266,1.8012964180498106,8.102281416866482,0.4973981780752554,29.644053173723613,0.03657215230295649,0.0,0.0,0.0,0.0,57.15893624629896,20.709709943585196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p2_kw1,C2,50,248.70174947855605,26.563302981043492,73.64239770751969,1.931837498546436,20.683003060405923,5.153713732539391,37.133988180991075,0.6966044292460735,9.283178136826322,0.23525361758740745,19.663419331483663,0.04410276461363748,10.26,0.5646020812962715,0.0,0.0,143.26561224479548,23.46135467768255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p2_kw1,C3,50,263.2661994351108,23.20450641811863,72.32213252516857,1.63014566940697,22.272122236751397,5.915937336531091,37.28501651432442,0.7269454493486308,9.29303919812963,0.23838729997383357,19.66289403139698,0.051456589391845955,10.04,0.3475864303027554,0.0,0.0,166.6729072268602,23.52541311318919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p2_kw1,C4,50,257.87537374894345,24.823498522014162,72.81928351597467,1.6961093240980936,21.85541504275922,5.6083793067271985,37.238311514324415,0.7033986129031048,9.324735148327829,0.2597543435226299,19.656897915105667,0.04545464186985977,10.22,0.7365113574085852,0.0,0.0,157.77924518061027,21.975765769272478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p2_kw3,C1,50,19.97112858520127,8.132636494627299,97.97587655721416,1.104673439101053,18.252260497870854,5.7300031590092395,31.02451706987993,1.4746296488696344,7.774780270385117,0.3976060121550184,29.641869705983495,0.04272110298128976,0.0,0.0,0.0,0.0,3.3739942471707947,4.274054713907848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p2_kw3,C2,50,20.91986443289352,10.007167147985296,97.35801229321169,1.8525422013911719,34.889832709391264,9.867764093249006,34.62952528932777,4.153817029185774,8.652217318109988,1.057907031007216,19.665412300209383,0.04786996888793673,7.4,2.3035022137995855,0.0,0.0,7.168064967718236,8.272034503980112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p2_kw3,C3,50,35.99395333904901,11.50775230341184,94.2040211601432,2.089248860856857,40.06731022454377,12.245403141828605,33.793672810733746,4.566629700130499,8.468242459554718,1.0946830986521905,19.745133937969335,0.42379712378653184,6.46,2.357878673031056,0.0,0.0,44.03440686762488,16.91893974134942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p2_kw3,C4,50,27.680168290913944,9.41298430095953,96.17581300743139,1.9683610115201489,37.878003088620574,11.246590202730244,33.884972431889395,4.298716074199719,8.455227182766883,1.0843017900923058,19.68310865923044,0.0641711487629387,6.76,2.1998144634194468,0.0,0.0,21.574035148119336,10.820164746977994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p2_kw5,C1,50,6.310157825939099,2.3096580954657737,99.5519386780858,0.45698568381722193,34.27927534427892,7.41127613419387,30.782743180991037,1.3126774715253031,7.691149774028355,0.3251751469325422,29.651592867741485,0.037749902133496854,0.0,0.0,0.0,0.0,0.8249541866734137,1.516307795700552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p2_kw5,C2,50,2.4855908205853425,1.7720568591967258,99.59028915855974,0.42841078683190875,59.63450400275973,11.122696688818875,36.53966887733022,2.2337903088127953,9.111967210816873,0.5746408672158797,24.074453706178293,8.77548379479023,2.04,2.099173792768216,0.0,0.0,0.27396716509270536,1.2293851431730474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p2_kw5,C3,50,2.6306286061261432,2.8911789450987246,99.34780847355238,1.0398537233894607,63.139048574046036,9.862328889016508,35.49658301805648,3.950720816852917,8.868994371243346,0.9915736996576213,34.87945813834509,12.857249504575716,1.22,2.3149029159349386,0.0,0.0,2.529702901783582,6.0021030828890805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p2_kw5,C4,50,2.5753535213704053,2.625608215745948,99.45074839515149,0.7905603068690568,62.473855710571364,10.458718488069714,35.657577667962045,3.225500560721341,8.90230186751282,0.813340054812523,31.4387690537753,12.361306686353425,1.36,2.2201305348642757,0.0,0.0,0.8438406852026631,2.4484463934052467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p1_kw1,C1,50,176.24456413120188,39.545436042845246,77.69376873002571,3.081814960513282,29.317797112967117,5.326207962820863,24.03585484765769,1.1445159920893888,5.9955263238789565,0.3124158440449287,29.65626203640191,0.04295798838237216,0.0,0.0,0.0,0.0,548.6088128108588,50.731881871660505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p1_kw1,C2,50,153.42940952732908,36.544101740297144,75.14180227550696,3.301540739153616,50.18501096674911,7.019485974487034,28.965292069879997,1.4296982995325016,7.237415674971774,0.36907481593550534,19.669880823786762,0.05060702386026482,7.56,1.0133798771981828,0.0,0.0,561.3627683124035,70.82253589219617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p1_kw1,C3,50,193.6588307982109,36.78447313441946,69.46243793012216,2.9497129624368017,60.60455778536337,6.63687382271962,29.441719847657797,1.2981921094407554,7.337082170740837,0.34621482743565213,19.664361868191815,0.052423630777514794,7.88,1.8805123053604955,0.0,0.0,649.0847996577826,46.11529729441443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p1_kw1,C4,50,188.86909785520612,35.51268198317928,70.02543034797414,2.7045976391150877,59.476301167713856,6.866776184850761,29.352073736546682,1.3977881189594987,7.342362792050437,0.3597271376054601,19.68500168936175,0.06535944308188123,7.8,2.531435020952764,0.0,0.0,637.1259480655683,50.501502055828034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p1_kw3,C1,50,1.9364746024920254,1.923974824521248,99.75970054511285,0.13374853211540025,83.43474195907982,5.442074722887712,20.776301514324345,1.0470911047628437,5.218833522634473,0.25669184748400187,29.671643931730966,0.043668032916228595,0.0,0.0,0.0,0.0,26.714297742097287,16.74618614936226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p1_kw3,C2,50,0.2009452701925622,0.03663605145000253,99.79137526449983,0.1035450132296415,96.60908564366879,1.665403360734886,31.99607524456214,0.802203764207367,7.998821316887721,0.20899477112211867,41.36459111831343,9.643078500919403,0.1,0.5802884574739972,0.0,0.0,1.6579330501069004e-18,7.569600335732385e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p1_kw3,C3,50,0.1982961226520054,0.037153293797484555,99.79137526449983,0.1035450132296415,96.62766149506199,1.6774204574371696,32.051864229695774,0.7647867912862468,8.009074700965089,0.1908078360850992,55.287794767122605,4.584488027574183,0.0,0.0,0.0,0.0,1.6579330501069004e-18,5.865339392455133e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p1_kw3,C4,50,0.19829564539543942,0.037153361683538146,99.79137526449983,0.1035450132296415,96.62766149506199,1.6774204574371696,32.04979699846978,0.7564601691236515,8.003009585024154,0.19221664582923134,54.7863911483353,4.63638045211658,0.0,0.0,0.0,0.0,3.079018521627101e-18,7.866268356312707e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p1_kw5,C1,50,0.6519829659532546,0.2950846009228216,99.77069960562352,0.1302214576049226,90.68617751297798,3.222542018680349,20.655570403213236,1.0027385895933871,5.165407545250232,0.2705985023232802,29.667921696597023,0.04102693836602878,0.0,0.0,0.0,0.0,8.954941510593803,7.689655276341437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p1_kw5,C2,50,0.1972552075524019,0.03719744214341759,99.79137526449983,0.1035450132296415,96.6278084069736,1.6779375111517956,35.28862452065773,0.9833498199652613,8.817319779126777,0.24397918119898174,51.68855365254476,5.175312726357137,0.0,0.0,0.0,0.0,3.079018521627101e-18,9.207324307721573e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p1_kw5,C3,50,0.1972038021630901,0.03721835729707782,99.79137526449983,0.1035450132296415,96.63315600055648,1.6762863264132397,35.204193191302814,0.9893433201985855,8.795236526520068,0.2497888716918267,55.42216405021534,4.612281814091687,0.0,0.0,0.0,0.0,7.105427357601002e-19,3.714192703678072e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
