replication,charging_contention_events,different_decision_rate_C4_vs_C3,one_minus_soc_std,E_next_std,T_idle_std,eta_WPT_std,D_std
4007,419,42.959427207637226,0.17496381730183488,0.351534665008395,0.05562465007732679,0.017486081989612795,0.03800219865734937
4008,794,50.12594458438288,0.12686002700035126,0.3568319667944858,0.06880703246325877,0.018603930210423676,0.038993416358086466
4009,638,50.94043887147336,0.13505366017074358,0.36005407290044533,0.062153017733222626,0.017004671965485253,0.043727222677653096
4010,554,48.73646209386281,0.13785557812965887,0.35606501105221033,0.05975676631933972,0.01809395044826329,0.033328825964761326
4011,727,49.24346629986245,0.1326998983533938,0.3514639743654391,0.05855452236334849,0.01791596827013861,0.04220774600107918
4012,663,43.74057315233786,0.15820690516240352,0.3525808793653993,0.050149908912781906,0.017448484267038957,0.032140998223879606
4013,703,51.635846372688476,0.1550097010519437,0.34754002633931474,0.07795710060105876,0.017446237247844172,0.036332154149907626
4014,569,48.68189806678383,0.17284504739693154,0.34436920535615084,0.06985821962939155,0.01752659019302854,0.03718057768734663
4015,615,46.17886178861789,0.16333425560492856,0.3562978551657377,0.06402081637479798,0.017768098086006944,0.036229864141673174
4016,622,52.09003215434084,0.15300321835829153,0.3516616490161234,0.0649923247269241,0.01786633457943503,0.03728647314495723
4017,543,50.82872928176796,0.15864945690621524,0.343585998117054,0.07330704299216743,0.017783583116094646,0.03742940133641838
4018,663,45.85218702865762,0.17108101473752144,0.35137104884316733,0.07046532028352123,0.017913309883285593,0.03942809466697828
4019,663,50.52790346907994,0.21459232494394154,0.3486584030700375,0.05852424904044183,0.017672977043982057,0.033711261107619996
4020,719,48.95688456189152,0.14052999725711182,0.3571076719412905,0.07010605639071525,0.0171812766975884,0.03518469376530002
4021,644,48.91304347826087,0.18434773464434298,0.35054640891096006,0.05726141395075761,0.01785982311215696,0.031266374612805764
4022,746,47.45308310991957,0.12489416168518366,0.34880829867494256,0.062374521598206806,0.017817372102756628,0.04100690045374551
