scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,critical_soc_event_count,simulation_failure_count,infeasible_count
stress_w75_p1_kw1,C1,4007,1886,1439,59.958333333333336,76.29904559915165,200.22054168068328,867.8846456452108,196.7034894569538,73.49081364829397,72.55813953488372,26.509186351706038,0.20450446030051506,587.1136198917832,0,130.0,22.693999999999924,3.933472222222221,32.59279809727153,26.13801931386275,6.454778783408781,80.19568996762773,29.619058548102238,0.0,26.13801931386275,135.8033254052981,0,0,2935.568099458915,0,0,0,13,0.3,0.7,0.0,0,0,0,0
stress_w75_p1_kw1,C2,4007,1886,1333,55.541666666666664,70.67868504772005,205.8677668405285,1195.1488649082175,203.31206454195555,52.75590551181102,51.02990033222592,47.24409448818898,0.17576016855666998,617.0432199295058,0,7590.0,24.185999999999886,4.037083333333333,36.197766761069744,29.055574869418386,7.142191891651349,80.26897090421419,19.551355520159923,4.4762752357469004,24.57929963367149,150.82402817112393,2.0,4,3085.2160996475286,419,32.69689737470167,153,759,nan,nan,0.0,0,9,0,0
stress_w75_p1_kw1,C3,4007,1886,1260,52.5,66.80805938494167,239.187691848618,1305.9156125349405,236.99063842469315,45.40682414698163,44.51827242524917,54.59317585301837,0.18957182234414421,692.2993059359892,0,9060.0,24.479999999999855,4.057500000000003,37.11847806673944,29.85185264719618,7.266625419543263,80.4231590355677,19.6374823931158,5.283096937247171,24.568755709949002,154.660325278081,2.0,4,3461.4965296799464,489,50.920245398773,183,906,nan,nan,0.0,0,7,0,0
stress_w75_p1_kw1,C4,4007,1886,1276,53.166666666666664,67.65641569459173,232.2825133007761,1289.4360032736547,230.0171990326586,46.71916010498688,45.84717607973422,53.28083989501312,0.18477667998873376,673.3045303508,0,8540.0,24.37599999999987,4.050277777777779,37.15042609921601,29.578047091640627,7.572379007575389,79.61697939250504,19.599212319910777,5.005874794354818,24.572172297285807,154.79344208006674,2.0,4,3366.5226517539995,464,40.73275862068966,172,854,nan,nan,0.0,0,7,0,0
stress_w75_p1_kw1,C1,4009,1784,1386,57.75,77.69058295964125,172.43888901883562,771.9956432845082,169.1335440851168,74.32432432432432,68.88260254596888,25.675675675675674,0.2530862940037336,520.6580969284921,0,120.0,21.48399999999993,3.7219444444444405,30.1629780528853,24.08677081086754,6.076207242017762,79.85541337674206,29.706931531376625,0.0,24.08677081086754,125.67907522035541,0,0,2603.2904846424603,0,0,0,12,0.3,0.7,0.0,0,0,0,0
stress_w75_p1_kw1,C2,4009,1784,1302,54.25,72.98206278026906,164.36884811616372,1155.512129369961,162.1029520635851,46.48648648648649,45.8981612446959,53.51351351351351,0.20189620222814533,569.4479608410269,0,8290.0,23.11799999999991,3.8354166666666636,37.3715951254853,29.909909699756515,7.461685425728785,80.0338053522357,19.62726350693306,5.340622943128599,24.569286756627918,155.7149796895221,2.0,4,2847.2398042051345,505,34.05940594059406,141,829,nan,nan,0.0,0,10,0,0
stress_w75_p1_kw1,C3,4009,1784,1198,49.916666666666664,67.152466367713,209.7623903766973,1310.2207947396403,207.73837028072828,39.72972972972973,41.654879773691654,60.27027027027027,0.21100305924547041,688.932376370506,0,10840.0,23.627999999999858,3.8708333333333362,39.13202256079046,31.40729858864542,7.724723972145042,80.25983972552172,19.63548246175988,6.844319746174495,24.56297884247093,163.05009400329362,2.0,4,3444.6618818525303,650,54.92307692307692,187,1084,nan,nan,0.0,0,7,0,0
stress_w75_p1_kw1,C4,4009,1784,1208,50.333333333333336,67.71300448430493,207.49985244411167,1285.2046359942449,205.42221693681935,42.16216216216216,42.432814710042436,57.83783783783784,0.2042608309963291,676.1767001555612,0,10300.0,23.519999999999865,3.8633333333333346,38.90779402509299,31.07554858864543,7.832245436447559,79.86972627798875,19.654488199046078,6.495725267152743,24.57982332149269,162.11580843788747,2.0,4,3380.8835007778057,618,45.63106796116505,180,1030,nan,nan,0.0,0,9,0,0
stress_w75_p1_kw1,C1,4010,1843,1398,58.25,75.85458491589799,192.9974251736995,809.3663384459015,189.48816658432298,78.8659793814433,73.47079037800688,21.1340206185567,0.23722472711030923,563.1277469087628,0,120.0,22.001999999999928,3.831666666666663,30.099699413429555,24.113694494883134,5.986004918546421,80.11274187051964,29.686111111111067,0.0,24.113694494883134,125.41541422262314,0,0,2815.6387345438134,0,0,0,12,0.3,0.7,0.0,0,0,0,0
stress_w75_p1_kw1,C2,4010,1843,1264,52.666666666666664,68.58383071079761,208.88194894163755,1231.6370699852714,206.44775729198264,59.79381443298969,49.07216494845361,40.20618556701031,0.18289637610344264,641.9426869983755,0,8810.0,23.739999999999878,3.952361111111112,37.755984242649646,30.043611161549897,7.712373081099742,79.5731107642858,19.69289438297687,5.480761379968705,24.562849781581193,157.31660101104018,2.0,4,3209.7134349918774,529,37.99621928166352,170,881,nan,nan,0.0,0,10,0,0
stress_w75_p1_kw1,C3,4010,1843,1213,50.541666666666664,65.81660336408031,229.23781949915286,1325.1796510381237,227.1862149395403,48.19587628865979,41.23711340206185,51.80412371134021,0.19319333990492701,694.264535931631,0,10380.0,24.053999999999846,3.97416666666667,38.76305319571691,30.95647227266102,7.806580923055895,79.86076874894243,19.676111111111062,6.393749347023425,24.562722925637598,161.51272164882047,2.0,4,3471.3226796581553,625,59.36,208,1038,nan,nan,0.0,0,13,0,0
stress_w75_p1_kw1,C4,4010,1843,1226,51.083333333333336,66.52197504069451,223.81558627087688,1283.3638584957196,221.71780480978035,49.74226804123711,41.924398625429546,50.25773195876289,0.19126587419760133,676.6186846980142,0,9950.0,23.96799999999986,3.9681944444444475,38.15627984282401,30.697277828216574,7.459002014607442,80.45144326089158,19.645496796610566,6.127696857503668,24.569580970712902,158.98449934510006,2.0,4,3383.093423490071,596,47.14765100671141,197,995,nan,nan,0.0,0,9,0,0
