scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,solver_mean_time_s,solver_median_time_s,solver_p95_time_s,solver_max_time_s,solver_mean_binary_variables,solver_mean_constraints,solver_mean_available_agv_slot_pairs,solver_mean_actual_busy_agv_slot_pairs,solver_mean_forecast_busy_agv_slot_pairs,solver_infeasible_calls,solver_time_limit_calls,solver_fallback_calls,solver_safety_slack_total,solver_reserve_slack_total,solver_task_slack_total,variant,lambda_soc,lambda_task,lambda_kpi,infeasible_count,simulation_failure_count
final_c5_objective_ablation,C5,4007,2221,2025,84.375,91.17514633048177,35.170295669028256,355.0152275071386,33.42316422542902,38.98678414096917,28.296547821165817,61.01321585903083,0.2747202568264978,129.27043015267506,0,8920.0,28.523999999999788,4.75708333333334,39.00070754246082,31.30190820275173,7.69879933970911,80.25984700065437,19.631273889164163,13.740563959446296,17.561344243305427,54.16764936452893,2.0,4,646.3521507633753,419,34.60620525059666,222,892,,,4.364091503317468,887,0.0049200580646194,0.0027960410807281,0.0142341624828986,0.0389599170302972,26.24577226606539,134.02142051860204,26.24577226606539,0.0,23.054114994363022,0,0,0,0.0,191.0343164682617,63.789954763586984,Full objective,2.0,1.5,1.5,0,0
final_c5_objective_ablation,C5,4008,2064,2062,85.91666666666667,99.9031007751938,0.3907836517301231,4.887115117960881,0.0096568876950216,8.148148148148149,0.0,91.85185185185183,0.3382344664303983,0.0,0,15470.0,27.829999999999696,4.512638888888906,31.83559208505659,25.482138623572993,6.353453461483636,80.04292351620542,22.47213328872873,25.482138623572993,0.0,44.21610011813419,2.0,4,0.0,794,26.448362720403026,322,1547,,,5.241413327399641,1547,0.0033881146266319,0.0016967499395832,0.0117754670209251,0.0319982089567929,28.3710407239819,142.68390433096314,28.3710407239819,0.0,23.30575307045895,0,0,0,0.0,29.982472502786685,11.02728405601948,Full objective,2.0,1.5,1.5,0,0
final_c5_objective_ablation,C5,4009,2128,2124,88.5,99.81203007518798,0.4317857975458027,4.674174195416344,0.0168248923128864,10.730593607305938,0.0,89.26940639269407,0.324775495287576,0.0,0,14970.0,28.601999999999705,4.646250000000013,30.280821696472575,24.23234786347147,6.048473833001145,80.02539728403178,20.781615462196815,24.23234786347147,0.0,42.0566968006564,2.0,4,0.0,708,34.74576271186441,340,1497,,,8.448988623102196,1497,0.0056439469760201,0.0025741250719875,0.0192651577759534,0.1114143750164657,27.45490981963928,138.87241148964597,27.45490981963928,0.0,23.24315297261189,0,0,0,0.0,307.46714708392653,93.72367294284555,Full objective,2.0,1.5,1.5,0,0
final_c5_objective_ablation,C5,4010,2193,1973,82.20833333333333,89.96808025535795,23.806616950858103,385.6965877929659,22.433333051552086,33.62637362637363,18.181818181818176,66.37362637362637,0.2689619846300389,139.3389721124345,0,10950.0,28.343999999999756,4.709583333333341,43.87368553318598,35.12102782821661,8.752657704969371,80.05032493030733,19.63595817313136,17.549107649727997,17.571920178488618,60.93567435164721,2.0,4,696.6948605621726,541,28.09611829944547,247,1095,,,6.3879050217801705,1087,0.0058766375545355,0.0028100829804316,0.0190395374782383,0.0512471669353544,27.58509659613615,139.7571297148114,27.58509659613615,0.0,23.65041398344066,0,0,0,0.0,95.27473418266516,36.09607903701049,Full objective,2.0,1.5,1.5,0,0
final_c5_objective_ablation,C5,4011,2104,2100,87.5,99.80988593155894,0.4562039862155296,6.719175912656071,0.0218910411348198,7.017543859649122,0.8211143695014633,92.98245614035088,0.3287890988907223,0.0,0,15690.0,28.32399999999967,4.596944444444462,31.235924399339947,24.994298658502775,6.241625740837203,80.01779726112713,24.513552023642333,24.994298658502775,0.0,43.38322833241664,2.0,4,0.0,727,21.595598349381017,358,1569,,,8.823672421858646,1569,0.0056237555269972,0.0025373339885845,0.01924664163962,0.1028001660015434,27.351816443594647,138.31867431485023,27.351816443594647,0.0,23.10707456978967,0,0,0,0.0,31.052059048565628,11.964594862222008,Full objective,2.0,1.5,1.5,0,0
final_c5_objective_ablation,C5,4012,2188,2120,88.33333333333333,96.89213893967091,3.700477628234872,264.4058360098189,2.929145681448407,19.39953810623557,7.350427350427347,80.60046189376443,0.2706302705378715,72.35194841781252,0,13520.0,28.833999999999712,4.737361111111122,43.77310260636622,35.10240140995337,8.670701196412871,80.19171436307599,19.776417742235974,21.06781504404649,14.034586365906884,60.79597584217533,2.0,4,361.7597420890626,621,21.4170692431562,303,1352,,,8.498898529796861,1348,0.0063048208678018,0.0030488750198855,0.0205358729697763,0.1114620000589639,26.23887240356083,133.65504451038575,26.23887240356083,0.0,22.83902077151335,0,0,0,0.0,153.59359374358752,52.47415225228571,Full objective,2.0,1.5,1.5,0,0
final_c5_objective_ablation,C5,4013,2122,2020,84.16666666666667,95.19321394910462,7.861438333430514,270.50313952388825,6.72611395153268,26.340326340326335,14.648552864737152,73.65967365967366,0.2936341215697151,76.43989861245855,0,12070.0,28.09199999999976,4.603333333333344,42.091716234902535,33.76876641260824,8.322949822294326,80.2266323001748,19.625223240991367,19.718070925388027,14.050695487220208,58.46071699292021,2.0,4,382.1994930622927,594,23.56902356902357,266,1207,,,8.461748460191302,1203,0.0070338723692363,0.0039529170608147,0.0220697414595633,0.1292770419968292,27.86783042394015,140.88279301745635,27.86783042394015,0.0,23.708229426433917,0,0,0,0.0,28.11083634195448,10.627594972504856,Full objective,2.0,1.5,1.5,0,0
final_c5_objective_ablation,C5,4014,2203,2097,87.375,95.18837948252384,6.048971424971885,344.1571204258961,5.218795100709325,19.864559819413095,6.818181818181824,80.1354401805869,0.2572796333823809,128.09858124845488,0,12730.0,29.147999999999705,4.777916666666682,47.07933198234283,37.75408272847171,9.32524925387114,80.1924775454151,19.72213292336649,20.207360206606765,17.546722521864943,65.38796108658728,2.0,4,640.4929062422743,569,36.7311072056239,272,1273,,,6.390095498994924,1268,0.0050395074913209,0.0021256874897517,0.0155738794768694,0.0946791659807786,26.616719242902207,135.3493690851735,26.616719242902207,0.0,22.800473186119874,0,0,0,0.0,179.45121356431886,61.83086687220585,Full objective,2.0,1.5,1.5,0,0
final_c5_objective_ablation,C5,4015,2197,2047,85.29166666666667,93.17250796540736,11.064544911853393,303.4038982306845,9.916386648094727,31.57894736842105,13.238636363636369,68.42105263157895,0.2610089285198135,92.564051664456,0,12080.0,28.883999999999737,4.752083333333342,46.3367857328671,37.15002812033446,9.186757612532665,80.17394286799572,19.74644149855656,19.605740399908537,17.54428772042592,64.35664685120432,2.0,4,462.82025832228,578,32.17993079584775,269,1208,,,6.399432779056951,1203,0.0053195617448519,0.0023970409529283,0.0186668832902796,0.09551220794674,27.718204488778056,140.28262676641728,27.718204488778056,0.0,23.599334995843723,0,0,0,0.0,120.71070379739832,40.33643651371638,Full objective,2.0,1.5,1.5,0,0
final_c5_objective_ablation,C5,4016,2148,2142,89.25,99.72067039106145,0.5202606491009304,5.182828362374615,0.0214923292238804,12.389380530973447,0.0,87.61061946902655,0.3227164952401907,1.1842378929335005e-17,0,14080.0,28.611999999999703,4.671944444444457,29.022061713531308,23.209897006629465,5.812164706901876,79.9732880307674,19.784779214218805,23.209897006629465,0.0,40.308419046571295,2.0,4,5.9211894646675e-17,694,43.22766570605187,311,1408,,,8.55373081273865,1407,0.0060794106700345,0.0029235839610919,0.0184742457000538,0.0760173340095207,28.03837953091685,141.46481876332624,28.03837953091685,0.0,23.50319829424307,0,0,0,0.0,357.13107780781456,104.7708921190806,Full objective,2.0,1.5,1.5,0,0
