feature,std_mean,std_ci95
1-SOC,0.12516209531721242,0.008267824595315266
E_next,0.3540768625033203,0.0015080788417719095
T_idle,0.0648519096423945,0.0016546952589547757
eta_WPT,0.025225486293724377,0.0001511460717860303
D,0.03831953175840754,0.0008275551995053095
