workload,n_pads,wpt_power_kw,c4_vs_c3_delay_improvement_pct,c4_minus_c3_urgent_pp
75,1,1,4.472821327720685,-2.4803461357364753
75,1,3,-0.007847781810407285,0.0
75,1,5,0.006223802450517401,0.0
75,2,1,-92.45126918257452,-5.833967381908877
75,2,3,0.0008729138137526913,-0.0051948051947903195
75,2,5,-0.01144264565939895,0.0
90,1,1,9.6288265641757,-3.7290696598067328
90,1,3,-19.083793389655323,-0.4383957653912347
90,1,5,-0.020230651202764207,-0.004405286343626358
90,2,1,19.597969494247845,-5.803903466134834
90,2,3,-0.013785517914292075,-0.004750593824226712
90,2,5,-0.0013874420756820292,0.0008915145005374825
105,1,1,4.82189774380378,-1.5856883762107472
105,1,3,28.023052172648395,-4.028517484261791
105,1,5,41.37720339539661,-2.860586532246984
105,2,1,4.6161282107298165,-1.0671050995058025
105,2,3,40.06597593376625,-5.658743418459679
105,2,5,-6.716474069601386,-0.8536553649252028
