strategy,mean,std,count,ci95
C1,0.9192867635951018,0.3394676267773449,50,0.09409562546792531
C2,0.20416577570491637,0.03712249812506867,50,0.010289831502257811
C3,0.20419428231113637,0.037120028198101646,50,0.010289146873431704
C4,0.20421737709036109,0.037100874104950735,50,0.010283837629683145
C5,0.20401541513332005,0.03694040357775894,50,0.01023935746888365
