strategy,replication,mean_delay
C1,4007,3.9000820005441126
C2,4007,3.8553575120351287
C3,4007,37.80646643555712
C4,4007,33.00787198543275
C5,4007,35.170295669028256
C1,4010,2.922839412846779
C2,4010,19.852338730322604
C3,4010,23.770911423253
C4,4010,22.47943911179114
C5,4010,23.806616950858103
C1,4008,5.990411706636007
C2,4008,0.3907836517301231
C3,4008,0.3907836517301231
C4,4008,0.3907836517301231
C5,4008,0.3907836517301231
C1,4009,6.235170493833823
C2,4009,4.877551931863032
C3,4009,0.4317857975458027
C4,4009,1.5935120053115537
C5,4009,0.4317857975458027
C1,4011,2.4046259306364464
C2,4011,0.4562039862155296
C3,4011,0.4562039862155296
C4,4011,0.4562039862155296
C5,4011,0.4562039862155296
C1,4012,2.489658012128134
C2,4012,0.7813089963935573
C3,4012,0.443296563352446
C4,4012,0.4905494612332473
C5,4012,3.700477628234872
C1,4014,2.369607486677961
C2,4014,4.40317191342394
C3,4014,0.5534697334003977
C4,4014,4.352165446803838
C5,4014,6.048971424971885
C1,4013,2.111560974398171
C2,4013,3.395973954948569
C3,4013,0.5787986322424458
C4,4013,0.5787986322424458
C5,4013,7.861438333430514
C1,4015,3.873021810068696
C2,4015,3.2915431310852328
C3,4015,5.754537011264836
C4,4015,8.888630923187847
C5,4015,11.064544911853393
C1,4017,8.705732339354055
C2,4017,17.292361450202826
C3,4017,23.364848363219537
C4,4017,21.825291865929938
C5,4017,21.80593113154332
C1,4016,23.1099377508531
C2,4016,8.104371648483857
C3,4016,0.5202606491009304
C4,4016,5.371899993758068
C5,4016,0.5202606491009304
C1,4018,2.347177835337409
C2,4018,5.63621092889097
C3,4018,0.9188480107136192
C4,4018,1.0707808616244894
C5,4018,1.2240149358472776
C1,4019,17.86733522627068
C2,4019,1.3883291341074258
C3,4019,0.4892266771498108
C4,4019,0.4892266771498108
C5,4019,0.4892266771498108
C1,4021,6.43734361600015
C2,4021,1.965935626336062
C3,4021,0.4416798283375487
C4,4021,0.4416798283375487
C5,4021,3.338582774388035
C1,4020,1.7291862824550015
C2,4020,0.9633835675240532
C3,4020,0.4612432355305751
C4,4020,0.4612432355305751
C5,4020,0.4612432355305751
C1,4022,1.9114127151867533
C2,4022,0.7115731358034476
C3,4022,0.4635351874310756
C4,4022,0.4635351874310756
C5,4022,0.4635351874310756
C1,4023,3.342618577225411
C2,4023,2.549012171562485
C3,4023,0.5185383691174448
C4,4023,0.5607440799249203
C5,4023,0.5185383691174448
C1,4024,4.276408221852948
C2,4024,4.434919817536065
C3,4024,26.78701818697243
C4,4024,25.50585413943752
C5,4024,27.286938127786517
C1,4025,5.388072353322615
C2,4025,1.8275665285262468
C3,4025,0.4208781994056069
C4,4025,0.4208781994056069
C5,4025,0.4208781994056069
C1,4026,3.413908681984738
C2,4026,2.920855767912281
C3,4026,8.659404544960648
C4,4026,8.877816018690984
C5,4026,15.234244445274374
C1,4027,5.482561756065549
C2,4027,6.873521450702053
C3,4027,0.4186125319973206
C4,4027,0.6537826878109316
C5,4027,1.023123377218817
C1,4029,16.083559805493227
C2,4029,0.8742699201891362
C3,4029,0.4116580170351325
C4,4029,0.4116580170351325
C5,4029,0.4116580170351325
C1,4028,5.386284943130112
C2,4028,4.814801770077584
C3,4028,1.4096731611698865
C4,4028,4.2680889689463255
C5,4028,1.626243215571734
C1,4030,7.261669645623684
C2,4030,3.778355182246685
C3,4030,35.65003935528211
C4,4030,32.51443462673722
C5,4030,35.06507046253662
C1,4031,7.243173447830511
C2,4031,2.658595264864991
C3,4031,0.456350192402418
C4,4031,0.5004329034849089
C5,4031,0.9510285939159412
C1,4033,12.662974047864347
C2,4033,1.47037947391127
C3,4033,0.4644371695293487
C4,4033,0.4644371695293487
C5,4033,0.4644371695293487
C1,4032,8.948911789026047
C2,4032,1.572598821669726
C3,4032,0.5876140687543672
C4,4032,0.7352975494961899
C5,4032,3.011065540441274
C1,4034,3.154389395043942
C2,4034,2.129201224744507
C3,4034,16.992014402013368
C4,4034,19.042027987767835
C5,4034,18.81152625958836
C1,4036,5.076074187665519
C2,4036,24.26364877082503
C3,4036,44.89957036782695
C4,4036,36.61433462027569
C5,4036,36.19828479754416
C1,4037,8.827681710402935
C2,4037,5.253211141260117
C3,4037,0.5519335373240133
C4,4037,3.4397388387564485
C5,4037,3.934257902238555
C1,4035,4.921607844529223
C2,4035,1.3673992724018755
C3,4035,0.3915019193029505
C4,4035,0.3915019193029505
C5,4035,0.3915019193029505
C1,4039,18.882172006947677
C2,4039,2.2978113270391827
C3,4039,1.67818868750775
C4,4039,2.059732793028848
C5,4039,6.922594976533032
C1,4040,4.82031598093852
C2,4040,7.641734520266617
C3,4040,26.09035893226951
C4,4040,23.31347842309494
C5,4040,13.497829419612188
C1,4038,8.647404529244419
C2,4038,12.923776949665674
C3,4038,10.481200290601944
C4,4038,9.359943852553975
C5,4038,10.42288291629274
C1,4041,11.711248043277614
C2,4041,17.35423254761804
C3,4041,7.637325202499333
C4,4041,21.99276728770916
C5,4041,10.072447440528467
C1,4042,8.93322411786919
C2,4042,6.964398156218703
C3,4042,44.04125877148172
C4,4042,38.11519425348842
C5,4042,43.05890807222328
C1,4043,10.724936900533272
C2,4043,0.9805199516056324
C3,4043,0.4412717008335438
C4,4043,0.4412717008335438
C5,4043,0.4412717008335438
C1,4044,2.062705286731468
C2,4044,0.3789479853595772
C3,4044,0.3789479853595772
C4,4044,0.3789479853595772
C5,4044,0.3789479853595772
C1,4047,5.500859449608624
C2,4047,13.192026817082116
C3,4047,32.84448786965095
C4,4047,32.3469745090449
C5,4047,13.514917324241257
C1,4045,11.649686576620333
C2,4045,2.228817937034503
C3,4045,0.5041456482034102
C4,4045,0.5041456482034102
C5,4045,1.4358107394585335
C1,4046,1.552344448451322
C2,4046,0.4224231210830309
C3,4046,0.4224231210830309
C4,4046,0.4224231210830309
C5,4046,0.4224231210830309
C1,4048,5.885488266739574
C2,4048,2.449452464572792
C3,4048,0.339578410325313
C4,4048,0.339578410325313
C5,4048,0.339578410325313
C1,4050,3.3771531429916077
C2,4050,3.969637262536019
C3,4050,0.4185376377216137
C4,4050,0.4185376377216137
C5,4050,0.4185376377216137
C1,4049,2.1080127138145714
C2,4049,8.574683471444095
C3,4049,0.4662258039225184
C4,4049,0.5078663689099259
C5,4049,7.082301890677356
C1,4051,5.450035753872389
C2,4051,1.6633756272916729
C3,4051,0.4566414696498923
C4,4051,0.4566414696498923
C5,4051,0.4566414696498923
C1,4053,4.083160057076336
C2,4053,0.5876692752224045
C3,4053,0.4068590332993139
C4,4053,0.4068590332993139
C5,4053,0.4068590332993139
C1,4052,1.556776548296184
C2,4052,1.1348378254378857
C3,4052,0.4587612228231707
C4,4052,0.4587612228231707
C5,4052,0.4587612228231707
C1,4054,4.816404983268354
C2,4054,6.411675605247548
C3,4054,0.4769732594405644
C4,4054,0.4769732594405644
C5,4054,0.4769732594405644
C1,4055,3.2098155810734728
C2,4055,4.137546458462333
C3,4055,4.093823952103939
C4,4055,7.360745624728401
C5,4055,8.854846616874752
C1,4056,1.5066467751375454
C2,4056,1.6876481825515717
C3,4056,0.4048466911857249
C4,4056,0.4048466911857249
C5,4056,0.4048466911857249
