scenario,strategy,mean_delay_mean,mean_delay_std,urgent_on_time_rate_mean,urgent_on_time_rate_std,completion_rate_mean,completion_rate_std,battery_delivered_energy_mean,battery_delivered_energy_std,wpt_loss_mean,wpt_loss_std,fleet_min_soc_mean,fleet_min_soc_std,critical_soc_event_count_mean,critical_soc_event_count_std,low_soc_stops_mean,low_soc_stops_std,charging_wait_mean,charging_wait_std,priority_decisions_mean,priority_decisions_std,total_priority_computation_time_s_mean,total_priority_computation_time_s_std,mean_decision_latency_ms_mean,mean_decision_latency_ms_std,p95_decision_latency_ms_mean,p95_decision_latency_ms_std,max_decision_latency_ms_mean,max_decision_latency_ms_std,solver_calls_per_replication_mean,solver_calls_per_replication_std,solver_total_time_per_replication_s_mean,solver_total_time_per_replication_s_std,solver_mean_time_per_call_ms_mean,solver_mean_time_per_call_ms_std,solver_p95_time_per_call_ms_mean,solver_p95_time_per_call_ms_std,solver_max_time_per_call_ms_mean,solver_max_time_per_call_ms_std
base,C1,1.1481678954565688,0.506097004351662,100.0,0.0,99.79758341417396,0.10784994316417375,20.65439696842131,0.9829299472057298,5.161137879998763,0.27235417708802684,29.678696794482185,0.0006815314770710065,0.0,0.0,0.0,0.0,2.6736086902362732,3.9099099197214615,,,,,,,,,,,,,,,,,,,,
base,C2,0.20278737841658756,0.03357643904096129,100.0,0.0,99.82046294168566,0.09925383595147097,36.80380365609811,1.3741712116090758,9.20877362963822,0.34535075996938297,53.368377760827215,4.496224599214125,0.0,0.0,0.0,0.0,7.933209644761518e-16,4.142646644824175e-15,,,,,,,,,,,,,,,,,,,,
base,C3,0.20279645600168028,0.033600323944382456,100.0,0.0,99.82046294168566,0.09925383595147097,36.71819299365246,1.3723305194087903,9.186802825393197,0.3460528612346151,55.16761338013355,4.076536627067369,0.0,0.0,0.0,0.0,7.037925797703793e-16,2.9036034844955904e-15,,,,,,,,,,,,,,,,,,,,
base,C4,0.20279645600168028,0.033600323944382456,100.0,0.0,99.82046294168566,0.09925383595147097,36.71819299365246,1.3723305194087903,9.186802825393197,0.3460528612346151,55.16761338013355,4.076536627067369,0.0,0.0,0.0,0.0,7.037925797703793e-16,2.9036034844955904e-15,2180.76,50.77945912854681,0.062489231023937414,0.017440906463617564,0.028647142723709322,0.007935385754136168,0.04882863652892405,0.005456761925420004,4.717100551351905,15.538272024548323,,,,,,,,,,
base,C5,0.20300415533005103,0.033505983846006435,100.0,0.0,99.82046294168566,0.09925383595147097,35.91202263770511,1.4080307154543752,8.990134048067093,0.35343274379015954,54.61292990222089,4.250802795503289,0.0,0.0,0.0,0.0,8.93152218850446e-16,3.883267177973437e-15,,,,,,,,,,,2419.86,56.20298851811492,25.683957586232573,2.0609615433711506,10.612898699271668,0.8010841087020171,28.145373196108256,2.9314102681083876,173.34030925761908,49.281809205306494
primary,C1,87.38241958447863,20.248250097051088,5.573394708782205,1.8530720181511617,90.92315710469244,2.2294000519841677,54.26835584480877,1.9404757705419189,13.530610851345836,0.48018774064198233,29.336553821386858,0.06409237171498824,0.0,0.0,0.0,0.0,69.92334674719822,14.635255665478862,,,,,,,,,,,,,,,,,,,,
primary,C2,134.95256868723308,28.066481638972093,8.810742897553682,2.5789600228886007,85.58548683412019,2.716548164035352,56.728609178142094,2.2708242423026213,14.256633332774715,0.6286866448967295,19.37447885012575,0.08255618259780671,15.66,1.1536985776897122,0.0,0.0,138.76304141550926,27.826842328665396,,,,,,,,,,,,,,,,,,,,
primary,C3,187.37159812870902,17.41303912891747,11.208964608501043,3.1498811841325187,80.15738961122766,1.7225144446999185,57.14642640036433,1.9780092064356694,14.249202913841513,0.5401903016825572,19.37819297372233,0.07720262465163494,15.3,0.9741558354989894,0.0,0.0,210.62100622817147,9.0030785594461,,,,,,,,,,,,,,,,,,,,
primary,C4,184.70533808503697,15.677357165514014,11.112718661732051,3.1547018917021905,80.4469619434686,1.567283084266271,56.88884640036433,2.0902460000427476,14.19393140186244,0.5533240147827968,19.343188269773332,0.07304006052171776,15.32,1.0190031142929723,0.0,0.0,206.9163302228982,9.703683245425458,253.44,77.53634039360287,0.01535033527761693,0.007489945414016518,0.05988930611706279,0.019652173135454754,0.1160064719151705,0.028107395979610632,0.6254511000588536,1.200097868034708,,,,,,,,,,
primary,C5,156.4451660723413,24.7633676386177,9.898377474465526,3.0047322363550313,83.37516304187251,2.4985724173518613,56.86249473369766,2.174025865019663,14.213525708294366,0.5477756644042756,19.340891486942056,0.06731045135056253,15.44,1.1633870326572762,0.0,0.0,167.84655291753057,24.162507100849037,,,,,,,,,,,219.82,74.05780698555827,0.9912396420352161,0.46869870216393705,4.383949836893111,1.1845295828705829,12.151884730206797,4.1794252567855,23.19586673285812,9.500064225422015
stress_near_transition,C1,6.639758108846082,4.869477170803414,45.926383055720045,7.959240501679805,99.69239557690666,0.1286118700127455,43.889344241653205,1.9404654552634446,11.000702981467262,0.5062884816897442,29.30855772214571,0.06694164490251393,0.0,0.0,0.0,0.0,111.02222687348323,34.97602860946911,,,,,,,,,,,,,,,,,,,,
stress_near_transition,C2,4.17706190421365,5.49429729581423,54.284404093520855,9.411606069526172,99.2720399468547,1.349241750589243,49.13044612116911,2.2294626437347786,12.287383273239666,0.6039372582463189,19.331653183687912,0.08410480240434903,13.32,4.088011342290268,0.0,0.0,84.01317597801447,48.17034836420309,,,,,,,,,,,,,,,,,,,,
stress_near_transition,C3,16.376992005871845,18.744370776302077,64.85088775828305,7.808712062005562,93.83393593428599,5.846888229312906,48.67619962885667,9.393196217473486,12.2211583617513,2.396045881373254,21.404862750849453,3.6237432884676606,6.32,5.527076209766917,0.0,0.0,159.1132440053789,127.50118914658324,,,,,,,,,,,,,,,,,,,,
stress_near_transition,C4,16.55739125917447,18.614342697336802,64.65608958797063,7.872882848490471,93.73629882528307,5.815008872320098,49.131394496232105,9.409996630776332,12.267357916153102,2.343550261850276,21.250650035377518,3.373896686705818,6.1,5.234305988731789,0.0,0.0,163.68006694216368,124.63035052314174,1684.72,195.65161040242225,0.10036792650818821,0.01429375222265906,0.05966138716606598,0.006601282823114726,0.1138048856519162,0.01008568279205201,0.3717881627380848,0.6015818977665087,,,,,,,,,,
stress_near_transition,C5,17.784089062784265,18.83434806370124,63.59981107235428,8.62324184404429,93.43317233058917,5.861082736724283,48.17234144906501,8.742616314520403,12.051050219500578,2.1881584253721083,20.502096176812394,2.0804884695368453,6.06,4.437364542341845,0.0,0.0,152.7869518782133,121.17783330101473,,,,,,,,,,,1647.6,221.0954175768222,6.946710971929133,1.1308681630771236,4.222291205136895,0.43662922258394515,8.994118149625136,0.764795076274021,21.819021701812744,5.741035361372418
stress_non_binding,C1,1.1481678954565688,0.506097004351662,86.12844010102349,4.14442826529067,99.79758341417396,0.10784994316417375,20.65439696842131,0.9829299472057298,5.161137879998763,0.27235417708802684,29.678696794482185,0.0006815314770710065,0.0,0.0,0.0,0.0,2.6736086902362732,3.9099099197214615,,,,,,,,,,,,,,,,,,,,
stress_non_binding,C2,0.20278737841658756,0.03357643904096129,97.06433336968672,1.1380454888420592,99.82046294168566,0.09925383595147097,36.80380365609811,1.3741712116090758,9.20877362963822,0.34535075996938297,53.368377760827215,4.496224599214125,0.0,0.0,0.0,0.0,7.933209644761518e-16,4.142646644824175e-15,,,,,,,,,,,,,,,,,,,,
