scenario,strategy,replication,one_minus_soc_mean,one_minus_soc_std,one_minus_soc_min,one_minus_soc_max,E_next_mean,E_next_std,E_next_min,E_next_max,T_idle_mean,T_idle_std,T_idle_min,T_idle_max,eta_WPT_mean,eta_WPT_std,eta_WPT_min,eta_WPT_max,D_mean,D_std,D_min,D_max,score_mean,score_std,score_min,score_max,raw_E_next_kwh_mean,raw_E_next_kwh_std,raw_E_next_kwh_min,raw_E_next_kwh_max,raw_D_s_mean,raw_D_s_std,raw_D_s_min,raw_D_s_max
v3_primary_challenge,C4,1007,0.6081925721741276,0.14528644918431186,0.1827735854985527,0.8429441146606268,0.5110465116279069,0.3401013547915686,0.0,1.0,0.05464011177095724,0.060987046703166126,0.0,0.450933261673579,0.943390180878553,0.02495329743228278,0.8816666666666667,0.9633333333333333,0.012032894596629873,0.044121571779345704,0.0,0.3616483620308615,0.4103478554933879,0.09542988122811182,0.1545903258250082,0.6049573790042153,0.014177842377260982,0.0029097560354389737,0.009805555555555555,0.018361111111111113,7.219736757977923,26.47294306760741,0.0,216.9890172185169
v3_primary_challenge,C4,1008,0.453087844124181,0.1271311846907139,0.12677764768476965,0.7262720811793809,0.5013059701492536,0.36151170983946807,0.0,1.0,0.054683190431689364,0.06047708239365871,0.0,0.4214969762800562,0.94225,0.02571138943019397,0.8816666666666667,0.9633333333333333,0.009699595260159769,0.037753049478763165,0.0,0.32944699779999004,0.3617404052872892,0.09919719830504928,0.11586192095680417,0.5972539150729994,0.014094506633499171,0.0030929335175154493,0.009805555555555555,0.018361111111111113,5.819757156095862,22.651829687257894,0.0,197.66819867999402
v3_primary_challenge,C4,1009,0.5646731300535867,0.09735471542611068,0.20299498434236574,0.7716162216187469,0.5031015037593984,0.36353737850634005,0.0,1.0,0.05796500523431209,0.0662650261355083,0.0,0.4281850516822912,0.9432788220551379,0.02555955539924047,0.8816666666666667,0.9633333333333333,0.008319849519749215,0.03806771819075364,0.0,0.3783183422705527,0.3965359780426364,0.09537857908588279,0.16792807517981914,0.5835824208929081,0.014109868421052631,0.0031102642383320184,0.009805555555555555,0.018361111111111113,4.991909711849529,22.840630914452216,0.0,226.99100536233163
v3_primary_challenge,C4,1010,0.4315950652637006,0.12286050659990885,0.12891569526164304,0.6792491210913978,0.4944901008591706,0.3543353264042328,0.0,1.0,0.05269099294086854,0.06550382394857414,0.0,0.6217751611924218,0.9417426223384385,0.025573931080013095,0.8816666666666667,0.9633333333333333,0.011702175392633605,0.04360058372853916,0.0,0.37860953978796413,0.3528385208903503,0.09700917252861828,0.10426007671378429,0.5676788145497704,0.014036193085128462,0.0030315355703473294,0.009805555555555555,0.018361111111111113,7.021305235580163,26.160350237123442,0.0,227.16572387277847
v3_primary_challenge,C4,1011,0.6361134195774657,0.12299380264315538,0.2577739933731141,0.9116435962954301,0.5137547249055018,0.35183315418857186,0.0,1.0,0.05277250976513381,0.060734527608942546,0.0,0.3995062983811618,0.9434103317933642,0.025455626752421318,0.8816666666666667,0.9633333333333333,0.00655142213940266,0.03266708530548398,0.0,0.36966519566873707,0.42021933231584113,0.09628469293683295,0.14897162337674225,0.619192278700461,0.014201012646413737,0.003010128096946672,0.009805555555555555,0.018361111111111113,3.9308532836415955,19.60025118329038,0.0,221.79911740124226
v3_primary_challenge,C4,1012,0.48496297299819247,0.13671482620435343,0.17727756874106046,0.7765905522886412,0.5028037383177569,0.3461261048587692,0.0,1.0,0.05462367415481794,0.0641841189918678,0.0,0.4272497972839281,0.943416199376947,0.024855904585831916,0.8816666666666667,0.9633333333333333,0.010715544801166694,0.0392685778379733,0.0,0.37918694442108974,0.371581888579581,0.0974930777792624,0.12800764810365473,0.5860704990199257,0.014107320872274143,0.0029613011193472417,0.009805555555555555,0.018361111111111113,6.429326880700017,23.561146702783976,0.0,227.51216665265383
v3_primary_challenge,C4,1013,0.4717918883509351,0.1092818050837745,0.18724880316536105,0.7454713368368958,0.487284894837476,0.34700859733343115,0.0,1.0,0.055008102575235314,0.06757285544921329,0.0,0.6117440895838647,0.9425666029318038,0.02590271868437846,0.8816666666666667,0.9633333333333333,0.010488955776968525,0.04005397196473577,0.0,0.3869427637069202,0.3637688747387215,0.0954769583179939,0.15639881476169537,0.5954201508849797,0.01397454854472063,0.002968851332741577,0.009805555555555555,0.018361111111111113,6.293373466181115,24.032383178841453,0.0,232.16565822415214
v3_primary_challenge,C4,1014,0.5429036645125713,0.1672976474049267,0.11394607154351455,0.8639363825433444,0.4830368225072403,0.3527062531969118,0.0,1.0,0.05145957743526094,0.05986355561233986,0.0,0.4132375358011187,0.9428051303268515,0.025417395809263697,0.8816666666666667,0.9633333333333333,0.00896589845256156,0.038134794861673024,0.0,0.36448596283873486,0.38383657493804346,0.10293389353403894,0.13322726112131714,0.61499536214942,0.013938203925895279,0.0030175979440180242,0.009805555555555555,0.018361111111111113,5.379539071536936,22.880876917003793,0.0,218.6915777032409
v3_primary_challenge,C4,1015,0.6090475041990493,0.15368661934249336,0.0026148148148147734,0.9312371010984998,0.4825774336283185,0.36326258578462317,0.0,1.0,0.05495720646595367,0.06533073718184168,0.0,0.49747818786657766,0.9421570796460177,0.0259942034041163,0.8816666666666667,0.9633333333333333,0.00803176736446724,0.03356968754833619,0.0,0.30057362807814797,0.4042115451283958,0.1016077109184586,0.09244501588045743,0.6303349675294595,0.013934273598820058,0.003107913233935112,0.009805555555555555,0.018361111111111113,4.819060418680344,20.141812529001722,0.0,180.3441768468888
v3_primary_challenge,C4,1016,0.5139168170023579,0.10326682764614759,0.2623429969528967,0.7388268291674457,0.5117085050580741,0.35412095762611323,0.0,1.0,0.05853883982131201,0.07943903856071614,0.0,0.8028586485523435,0.942913700512052,0.025036014456614217,0.8816666666666667,0.9633333333333333,0.008885901193025453,0.03632878057438104,0.0,0.35370200891737114,0.3833971871510228,0.09466794528759195,0.16329311696791846,0.5987112552332079,0.01418350609883019,0.0030297015263567504,0.009805555555555555,0.018361111111111113,5.3315407158152714,21.797268344628634,0.0,212.22120535042268
