metric,C3,C4,C4_minus_C3
mean_delay,0.5009,0.5965,0.09560000000000002
urgent_on_time_rate,88.2195,87.7811,-0.43840000000000146
completion_rate,99.7802,99.7227,-0.05749999999999034
wpt_loss,2.4571,2.4976,0.04049999999999976
fleet_min_soc,36.1682,31.2999,-4.868299999999998
charging_wait,0.8133,3.2504,2.4371
mean_efficiency,91.595,91.5898,-0.005200000000002092
