strategy,mean_delay,urgent_on_time_rate,completion_rate,wpt_loss,fleet_min_soc,charging_wait,mean_efficiency
C1,3.8604,61.3884,99.6153,2.581,29.6463,22.0618,91.4777
C2,0.9569,82.8817,99.7145,2.8,20.8417,2.9537,91.6338
C3,0.5009,88.2195,99.7802,2.4571,36.1682,0.8133,91.595
C4,0.5965,87.7811,99.7227,2.4976,31.2999,3.2504,91.5898
C5,0.7114,87.537,99.601,2.5501,24.628,6.9453,91.6001
