scenario,strategy,replication,time_s,candidate_count,available_pads,c3_agv,c4_agv,c4_preview_task_id,different
v3_primary_challenge,C2,1007,8219.457623993356,2,1,4,4,200,0
v3_primary_challenge,C2,1007,8576.406488037774,3,1,4,5,210,1
v3_primary_challenge,C2,1007,8639.190203870532,4,1,1,3,210,1
v3_primary_challenge,C2,1007,8693.925760572223,3,1,1,3,210,1
v3_primary_challenge,C2,1007,8762.23924147186,2,1,1,5,212,1
v3_primary_challenge,C2,1007,8787.316096498997,2,1,4,4,212,0
v3_primary_challenge,C2,1007,9748.016306943295,2,1,4,4,243,0
v3_primary_challenge,C2,1007,9818.016306943295,2,1,4,4,243,0
v3_primary_challenge,C2,1007,9898.016306943295,4,1,1,1,245,0
v3_primary_challenge,C2,1007,9936.525058162613,3,1,1,1,245,0
v3_primary_challenge,C2,1007,10006.525058162613,4,1,4,1,245,1
v3_primary_challenge,C2,1007,10016.525058162613,3,1,4,5,248,1
v3_primary_challenge,C2,1007,10086.525058162613,4,1,4,5,249,1
v3_primary_challenge,C2,1007,10102.423328890221,3,1,4,5,249,1
v3_primary_challenge,C2,1007,10172.423328890221,3,1,4,5,249,1
v3_primary_challenge,C2,1007,10242.423328890221,4,1,4,1,249,1
v3_primary_challenge,C2,1007,10276.774056765758,4,1,1,1,249,0
v3_primary_challenge,C2,1007,10330.847636317134,3,1,1,1,249,0
v3_primary_challenge,C2,1007,10400.847636317134,3,1,1,1,249,0
v3_primary_challenge,C2,1007,10414.527085604712,3,1,4,4,251,0
v3_primary_challenge,C2,1007,10440.784605128902,2,1,4,4,251,0
v3_primary_challenge,C2,1007,10873.16583601183,2,1,1,3,262,1
v3_primary_challenge,C2,1007,10887.559890742205,2,1,1,1,264,0
v3_primary_challenge,C2,1007,10897.559890742205,2,1,4,1,265,1
v3_primary_challenge,C2,1007,11323.16583601183,2,1,4,4,276,0
v3_primary_challenge,C2,1007,11362.124226074924,3,1,1,1,278,0
v3_primary_challenge,C2,1007,11397.295674623969,3,1,1,5,280,1
v3_primary_challenge,C2,1007,11467.295674623969,3,1,1,5,280,1
v3_primary_challenge,C2,1007,11506.97149356078,3,1,4,4,280,0
v3_primary_challenge,C2,1007,11520.238528798294,2,1,4,4,280,0
v3_primary_challenge,C2,1007,11705.409846356639,5,1,4,1,282,1
v3_primary_challenge,C2,1007,11716.676824587206,4,1,4,4,285,0
v3_primary_challenge,C2,1007,11726.676824587206,3,1,4,4,285,0
v3_primary_challenge,C2,1007,11741.535219458483,2,1,4,4,285,0
v3_primary_challenge,C2,1007,11811.535219458483,2,1,4,4,285,0
v3_primary_challenge,C2,1007,11920.409339821015,4,1,1,1,288,0
v3_primary_challenge,C2,1007,11930.409339821015,3,1,1,1,288,0
v3_primary_challenge,C2,1007,11971.069830203147,2,1,1,1,288,0
v3_primary_challenge,C2,1007,12658.177189367834,3,1,4,4,310,0
v3_primary_challenge,C2,1007,12693.594022600542,3,1,4,4,311,0
v3_primary_challenge,C2,1007,12736.379564545194,2,1,4,4,311,0
v3_primary_challenge,C2,1007,12792.593901547121,2,1,1,4,312,1
v3_primary_challenge,C2,1007,13800.65408817546,2,1,3,3,343,0
v3_primary_challenge,C2,1007,13878.228734769622,3,1,1,1,344,0
v3_primary_challenge,C2,1007,13948.228734769622,3,1,1,1,344,0
v3_primary_challenge,C2,1007,14014.617830454596,3,1,3,2,345,1
v3_primary_challenge,C2,1007,14027.270491713725,2,1,3,3,347,0
v3_primary_challenge,C2,1007,14082.984381176584,2,1,4,4,347,0
v3_primary_challenge,C2,1007,14844.520793223686,3,1,4,4,370,0
v3_primary_challenge,C2,1007,14854.520793223686,2,1,1,4,371,1
v3_primary_challenge,C2,1007,15080.62594868332,4,1,1,4,375,1
v3_primary_challenge,C2,1007,15126.754220312449,4,1,4,4,375,0
v3_primary_challenge,C2,1007,15149.176979084583,3,1,2,2,377,0
v3_primary_challenge,C2,1007,15174.306321911128,2,1,2,2,377,0
v3_primary_challenge,C2,1007,15244.306321911128,2,1,2,2,377,0
v3_primary_challenge,C2,1007,15546.68111974845,2,1,4,4,386,0
v3_primary_challenge,C2,1007,15566.39106771406,2,1,4,5,386,1
v3_primary_challenge,C2,1007,15581.186096334519,2,1,4,4,388,0
v3_primary_challenge,C2,1007,17592.874498789904,2,1,4,4,453,0
v3_primary_challenge,C2,1007,18091.186096334517,3,1,2,5,469,1
v3_primary_challenge,C2,1007,18161.186096334517,5,1,1,1,470,0
v3_primary_challenge,C2,1007,18171.186096334517,4,1,1,1,470,0
v3_primary_challenge,C2,1007,18181.186096334517,3,1,1,1,470,0
v3_primary_challenge,C2,1007,18224.733278606647,2,1,1,1,470,0
v3_primary_challenge,C2,1007,18294.733278606647,2,1,1,1,470,0
v3_primary_challenge,C2,1007,18317.200671460185,2,1,3,3,471,0
v3_primary_challenge,C2,1007,18327.200671460185,2,1,2,2,472,0
v3_primary_challenge,C2,1007,18913.52775061174,2,1,1,4,488,1
v3_primary_challenge,C2,1007,18923.52775061174,2,1,4,5,488,1
v3_primary_challenge,C2,1007,20927.73951592575,2,1,1,1,554,0
v3_primary_challenge,C2,1007,20937.73951592575,2,1,1,1,555,0
v3_primary_challenge,C2,1007,21597.960417040103,2,1,1,1,576,0
v3_primary_challenge,C2,1007,21667.960417040103,3,1,1,2,575,1
v3_primary_challenge,C2,1007,21706.639690144755,3,1,1,1,578,0
v3_primary_challenge,C2,1007,21727.70185083939,2,1,1,1,578,0
v3_primary_challenge,C2,1007,21760.17093570583,2,1,1,4,578,1
v3_primary_challenge,C2,1007,21830.17093570583,2,1,1,4,578,1
v3_primary_challenge,C2,1007,21936.639690144755,3,1,3,3,580,0
v3_primary_challenge,C2,1007,21946.639690144755,2,1,2,2,582,0
v3_primary_challenge,C2,1007,22443.055873006033,4,1,4,3,595,1
v3_primary_challenge,C2,1007,22456.36514088354,3,1,4,3,595,1
v3_primary_challenge,C2,1007,22470.07706026959,3,1,1,4,598,1
v3_primary_challenge,C2,1007,22483.366029344794,2,1,1,4,598,1
v3_primary_challenge,C2,1007,22718.463407629228,2,1,1,4,602,1
v3_primary_challenge,C2,1007,22804.977186242704,4,1,1,1,606,0
v3_primary_challenge,C2,1007,22814.977186242704,3,1,1,1,606,0
v3_primary_challenge,C2,1007,22857.322313765395,2,1,1,1,606,0
v3_primary_challenge,C2,1007,23700.550856459737,2,1,4,2,631,1
v3_primary_challenge,C2,1007,23757.531836113354,2,1,1,2,632,1
v3_primary_challenge,C2,1007,23813.195496048087,2,1,3,2,633,1
v3_primary_challenge,C2,1007,23900.89041587663,3,1,4,4,634,0
v3_primary_challenge,C2,1007,23930.507806372065,2,1,4,4,634,0
v3_primary_challenge,C2,1007,24033.195496048087,2,1,1,1,637,0
v3_primary_challenge,C2,1007,24160.507806372065,3,1,4,4,638,0
v3_primary_challenge,C2,1007,24176.605229621215,2,1,2,5,640,1
v3_primary_challenge,C2,1007,24272.733366278546,3,1,1,3,640,1
v3_primary_challenge,C2,1007,24290.99701565602,2,1,1,5,642,1
v3_primary_challenge,C2,1007,24360.657882331318,3,1,4,4,642,0
v3_primary_challenge,C2,1007,24373.636334629406,2,1,2,2,643,0
v3_primary_challenge,C2,1007,24481.33780873568,2,1,3,3,644,0
v3_primary_challenge,C2,1007,24546.67724863252,2,1,4,4,646,0
v3_primary_challenge,C2,1007,24756.67724863252,3,1,1,2,651,1
v3_primary_challenge,C2,1007,24781.772499523282,2,1,1,1,653,0
v3_primary_challenge,C2,1007,24842.11610199222,2,1,4,4,654,0
v3_primary_challenge,C2,1007,25035.653765388684,2,1,1,3,657,1
v3_primary_challenge,C2,1007,25125.078410570502,2,1,1,5,660,1
v3_primary_challenge,C2,1007,25635.078410570502,2,1,1,1,676,0
v3_primary_challenge,C2,1007,25715.078410570502,4,1,4,2,679,1
v3_primary_challenge,C2,1007,25741.649078399,3,1,4,1,679,1
v3_primary_challenge,C2,1007,25751.649078399,2,1,1,1,679,0
v3_primary_challenge,C2,1007,26939.538513836025,2,1,4,4,717,0
v3_primary_challenge,C2,1007,27009.538513836025,5,1,4,3,716,1
v3_primary_challenge,C2,1007,27079.538513836025,5,1,4,3,716,1
v3_primary_challenge,C2,1007,27089.538513836025,4,1,4,1,717,1
v3_primary_challenge,C2,1007,27110.52106629914,3,1,4,2,718,1
v3_primary_challenge,C2,1007,27120.52106629914,2,1,4,4,720,0
v3_primary_challenge,C2,1007,27299.352638586828,4,1,4,4,724,0
v3_primary_challenge,C2,1007,27343.59165631016,3,1,4,4,724,0
v3_primary_challenge,C2,1007,27404.07404454365,2,1,4,4,724,0
v3_primary_challenge,C2,1007,27529.352638586828,2,1,2,2,727,0
v3_primary_challenge,C2,1007,27573.569376768635,3,1,4,1,727,1
v3_primary_challenge,C2,1007,27600.14082115779,2,1,4,2,729,1
v3_primary_challenge,C2,1007,27664.835550244512,2,1,3,3,729,0
v3_primary_challenge,C2,1007,27744.835550244512,2,1,2,2,731,0
v3_primary_challenge,C2,1007,27766.342276277446,2,1,1,1,731,0
v3_primary_challenge,C2,1007,28015.765033908985,3,1,4,3,737,1
v3_primary_challenge,C2,1007,28085.765033908985,5,1,4,3,737,1
v3_primary_challenge,C2,1007,28110.769071451636,4,1,4,4,741,0
v3_primary_challenge,C2,1007,28122.388097794388,3,1,4,4,741,0
v3_primary_challenge,C2,1007,28132.388097794388,2,1,4,4,741,0
v3_primary_challenge,C2,1007,28292.37366204167,2,1,1,1,744,0
v3_primary_challenge,C2,1007,28331.995724543536,2,1,4,4,745,0
v3_primary_challenge,C2,1007,28961.913037319384,2,1,1,2,762,1
v3_primary_challenge,C2,1007,28984.242323986862,2,1,4,1,764,1
v3_primary_challenge,C2,1007,29038.164733331883,2,1,1,1,765,0
v3_primary_challenge,C2,1007,29149.974890709607,2,1,1,2,766,1
v3_primary_challenge,C2,1007,29189.163249277586,2,1,4,1,768,1
v3_primary_challenge,C2,1007,29208.9566907503,2,1,1,1,769,0
v3_primary_challenge,C2,1007,29446.6818284209,2,1,1,1,774,0
v3_primary_challenge,C2,1007,29676.6818284209,3,1,4,4,780,0
v3_primary_challenge,C2,1007,29686.6818284209,2,1,4,4,780,0
v3_primary_challenge,C2,1007,29793.565964272824,2,1,1,1,782,0
v3_primary_challenge,C2,1007,29821.822443777954,2,1,2,2,783,0
v3_primary_challenge,C2,1007,30015.734159476666,2,1,2,2,789,0
v3_primary_challenge,C2,1007,30080.72345569119,2,1,4,2,791,1
v3_primary_challenge,C2,1007,30315.49401538861,3,1,4,3,794,1
v3_primary_challenge,C2,1007,30325.49401538861,2,1,4,2,795,1
v3_primary_challenge,C2,1007,31800.45860131418,2,1,1,2,841,1
v3_primary_challenge,C2,1007,31880.45860131418,3,1,4,4,843,0
v3_primary_challenge,C2,1007,31950.45860131418,5,1,4,4,843,0
v3_primary_challenge,C2,1007,31966.121469829268,4,1,4,4,843,0
v3_primary_challenge,C2,1007,31991.703067071805,3,1,1,1,846,0
v3_primary_challenge,C2,1007,32029.22849507937,2,1,1,1,846,0
v3_primary_challenge,C2,1007,32136.728164178905,2,1,3,3,846,0
v3_primary_challenge,C2,1007,32229.33747327099,3,1,1,1,850,0
v3_primary_challenge,C2,1007,32299.33747327099,4,1,4,1,850,1
v3_primary_challenge,C2,1007,32309.33747327099,4,1,4,4,850,0
v3_primary_challenge,C2,1007,32348.732800842972,3,1,4,4,850,0
v3_primary_challenge,C2,1007,32418.732800842972,3,1,4,4,850,0
v3_primary_challenge,C2,1007,32488.732800842972,4,1,4,4,850,0
v3_primary_challenge,C2,1007,32530.23620510707,4,1,3,2,853,1
v3_primary_challenge,C2,1007,32567.791460116037,3,1,2,2,853,0
v3_primary_challenge,C2,1007,32630.684868641798,2,1,2,2,853,0
v3_primary_challenge,C2,1007,32710.684868641798,2,1,4,1,855,1
v3_primary_challenge,C2,1007,32999.7180555326,2,1,4,4,863,0
v3_primary_challenge,C2,1007,33175.591991304726,3,1,4,1,868,1
v3_primary_challenge,C2,1007,33199.65925749098,3,1,3,5,870,1
v3_primary_challenge,C2,1007,33209.65925749098,2,1,3,5,870,1
v3_primary_challenge,C2,1007,33369.58421346165,2,1,4,1,872,1
v3_primary_challenge,C2,1007,33549.84381872818,3,1,3,2,876,1
v3_primary_challenge,C2,1007,33572.11430256016,2,1,3,1,877,1
v3_primary_challenge,C2,1007,33772.67810822331,2,1,3,3,882,0
v3_primary_challenge,C2,1007,33891.582838254995,2,1,4,4,884,0
v3_primary_challenge,C2,1007,33940.12057019019,3,1,3,1,885,1
v3_primary_challenge,C2,1007,33989.290740745695,3,1,3,3,886,0
v3_primary_challenge,C2,1007,33999.290740745695,2,1,2,2,888,0
v3_primary_challenge,C2,1007,34149.290740745695,4,1,4,2,891,1
v3_primary_challenge,C2,1007,34168.72602446744,4,1,3,2,892,1
v3_primary_challenge,C2,1007,34195.40716060002,3,1,2,2,892,0
v3_primary_challenge,C2,1007,34265.40716060002,3,1,1,2,892,1
v3_primary_challenge,C2,1007,34275.40716060002,2,1,2,2,892,0
v3_primary_challenge,C2,1007,34430.72584707481,2,1,1,2,895,1
v3_primary_challenge,C2,1007,34466.04132389167,2,1,2,5,895,1
v3_primary_challenge,C2,1007,34534.32251043268,3,1,4,2,898,1
v3_primary_challenge,C2,1007,34604.32251043268,3,1,4,2,898,1
v3_primary_challenge,C2,1007,34614.32251043268,2,1,3,2,898,1
v3_primary_challenge,C2,1007,34814.223806064976,2,1,3,3,903,0
v3_primary_challenge,C2,1007,34862.19025910152,2,1,3,2,903,1
v3_primary_challenge,C2,1007,34922.424527337695,2,1,3,3,905,0
v3_primary_challenge,C2,1007,35066.88284213391,2,1,3,1,906,1
v3_primary_challenge,C2,1007,35136.88284213391,4,1,3,3,909,0
v3_primary_challenge,C2,1007,35206.88284213391,5,1,4,4,909,0
v3_primary_challenge,C2,1007,35231.017102869046,4,1,4,4,909,0
v3_primary_challenge,C2,1007,35291.328399365615,3,1,4,4,909,0
v3_primary_challenge,C2,1007,35321.696367732635,2,1,4,4,909,0
v3_primary_challenge,C2,1007,35911.903261348954,2,1,2,2,926,0
v3_primary_challenge,C2,1007,36834.60734107829,3,1,3,2,955,1
v3_primary_challenge,C2,1007,36898.6409496556,3,1,4,4,957,0
v3_primary_challenge,C2,1007,36908.6409496556,3,1,4,4,957,0
v3_primary_challenge,C2,1007,36918.68033764196,2,1,1,1,958,0
