scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,workload,n_pads,wpt_power_kw
v3_stress_w75_p1_kw1,C1,1007,1826,1550,64.58333333333333,84.88499452354874,123.08704167037403,547.5305016424863,119.55045602316447,76.14213197969544,72.83519553072625,23.85786802030457,0.27285397704558056,403.5334599846675,0,120.0,22.001999999999924,3.810416666666665,26.390856087863668,24.1106226935918,2.280233394271872,91.35975965811706,29.593333333333216,0.0,24.1106226935918,109.96190036609863,0.0,0,2017.6672999233376,0,0.0,0,12,0.3,0.7,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C2,1007,1826,1469,61.208333333333336,80.44906900328587,125.94129287232795,959.0437689129329,123.46928494120816,55.83756345177665,48.74301675977654,44.16243654822335,0.2255567486798466,456.0036295342767,0,6900.0,23.357999999999905,3.904583333333333,32.06652349175174,29.219483804702982,2.84703968704876,91.12145821550914,19.59229146608064,4.643547477318429,24.57593632738455,133.61051454896554,2.0,4,2280.018147671383,409,43.03178484107579,128,690,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C3,1007,1826,1303,54.291666666666664,71.35815991237678,174.06645278888135,1140.362959670096,172.129184355143,41.370558375634516,39.036312849162016,58.629441624365484,0.24825875563946148,516.3088624281917,0,9880.0,23.95399999999984,3.945972222222229,30.23372097093622,27.777178249147447,2.4565427217887708,91.87482505328983,19.684993098830237,6.710763395048117,21.066414854099328,125.97383737890091,2.0,4,2581.544312140958,571,54.81611208406305,182,988,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C4,1007,1826,1318,54.916666666666664,72.17962760131435,167.63487266896306,1115.122613832334,165.63329510740942,42.639593908629436,40.1536312849162,57.360406091370564,0.22001916915346448,557.4268339017508,0,9410.0,23.85999999999985,3.939444444444449,33.73765369051074,30.93881713803635,2.798836552474392,91.70411618380679,19.61888888888877,6.360133391295619,24.57868374674073,140.57355704379475,2.0,4,2787.134169508754,546,47.61904761904761,169,941,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C1,1008,1782,1588,66.16666666666667,89.11335578002245,69.02618553878865,466.5903665918231,65.80941443489834,72.29916897506925,64.10978184377198,27.70083102493075,0.3032090349760813,334.9412602335224,0,110.0,21.367999999999935,3.711388888888887,24.214915802870237,22.100847806854382,2.114067996015854,91.26956288749403,29.693333333333214,0.0,22.100847806854382,100.89548251195933,0.0,0,1674.706301167612,0,0.0,0,11,0.3,0.7,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C2,1008,1782,1466,61.083333333333336,82.26711560044893,81.42855394199302,937.3332559393278,79.30997671780071,47.09141274238227,40.11259676284307,52.90858725761773,0.25834090678956684,389.402302145509,0,8790.0,23.103999999999886,3.831944444444446,29.59909118525198,27.089847806854486,2.5092433783974943,91.52256613997749,19.707446151746126,6.032997652876786,21.0568501539777,123.32954660521658,2.0,4,1947.011510727545,527,38.51992409867172,166,879,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C3,1008,1782,1373,57.208333333333336,77.0482603815937,110.29715364282922,1127.441915503722,108.90982974446553,30.193905817174517,26.60098522167488,69.80609418282549,0.25518054775102067,507.48753325835395,0,12670.0,23.879999999999807,3.885833333333345,32.301524560257135,29.808320029076736,2.4932045311803988,92.28146483758242,19.788598321181407,8.767349266981933,21.04097076209481,134.5896856677381,2.0,4,2537.43766629177,755,61.19205298013245,244,1267,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C4,1008,1782,1376,57.333333333333336,77.21661054994388,106.90077282064024,1110.2738309671408,105.47385096300931,32.13296398891967,27.234342012667135,67.86703601108033,0.25713178693186556,492.5572219574318,0,12270.0,23.79999999999981,3.8802777777777884,32.10017771564006,29.589958917965625,2.5102187976744377,92.18004703926799,19.576200383899284,8.534406940102048,21.055551977863573,133.7507404818336,2.0,4,2462.7861097871596,733,48.70395634379263,229,1227,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C1,1009,1761,1494,62.25,84.8381601362862,134.05883752693828,528.2952635207824,130.45187663620214,79.28994082840237,73.78777231201687,20.710059171597635,0.28957526808353107,434.43111012363164,0,120.0,21.179999999999936,3.672083333333331,26.550967829976276,24.109368073722962,2.4415997562533125,90.80410261543564,29.60388888888876,0.0,24.109368073722962,110.62903262490113,0.0,0,2172.1555506181585,0,0.0,0,12,0.3,0.7,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C2,1009,1761,1434,59.75,81.43100511073254,116.18519630169149,933.5979366777644,113.71837106267273,55.62130177514793,48.559381588193965,44.37869822485207,0.24411030609785386,418.1871147416058,0,6780.0,22.511999999999926,3.7645833333333307,32.00676326825754,29.338923629278604,2.6678396389789354,91.66476279835287,19.74892424776389,4.777678675519927,24.56124495375867,133.36151361773975,2.0,4,2090.9355737080286,389,52.95629820051414,132,678,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C3,1009,1761,1257,52.375,71.37989778534923,169.60546855789707,1146.8117237456293,167.65793026116464,40.828402366863905,39.212930428671825,59.171597633136095,0.2571633100437505,514.6655828811923,0,10540.0,23.26399999999985,3.8168055555555602,31.262169521190714,28.51500696261197,2.7471625585787476,91.21250188117426,19.772222222222126,7.469054850668023,21.045952111943947,130.259039671628,2.0,4,2573.3279144059616,620,60.64516129032258,195,1054,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C4,1009,1761,1283,53.458333333333336,72.85633162975583,158.8440197104674,1097.120605419074,156.72971449393944,45.26627218934911,42.09416725228391,54.73372781065089,0.2245443502793532,545.0718117037476,0,9700.0,23.095999999999872,3.8051388888888926,34.354677966477624,31.487145851500856,2.867532114976763,91.6531538506202,19.650780706746215,6.902640471021969,24.584505380478888,143.1444915269901,2.0,4,2725.359058518738,574,54.52961672473867,183,970,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C1,1010,1793,1651,68.79166666666667,92.0803123257111,42.16161348707582,399.09657891918226,39.36747799365924,62.43093922651934,55.6953179594689,37.569060773480665,0.3015964412356317,266.95861729975655,0,110.0,21.56599999999993,3.7388888888888863,24.041760385057536,22.139304241424934,1.9024561436325995,92.08686837751274,29.611111111111033,0.0,22.139304241424934,100.1740016044064,0.0,0,1334.7930864987827,0,0.0,0,11,0.3,0.7,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C2,1010,1793,1494,62.25,83.32403792526492,66.47365616284392,901.3242507750998,64.58251407518432,41.988950276243095,34.80083857442347,58.011049723756905,0.2521579744468917,358.3075301283581,0,9080.0,23.35999999999987,3.8634722222222244,29.97437639970633,27.449165352536152,2.525211047170181,91.57543425258743,19.733344679437863,6.397863904311505,21.051301448224645,124.89323499877636,2.0,4,1791.5376506417904,551,46.82395644283122,155,908,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C3,1010,1793,1409,58.708333333333336,78.58337981037367,100.66835758040493,1156.9048678475374,99.42857431067054,27.071823204419886,23.27044025157232,72.92817679558011,0.25252834329847085,465.08239627078467,0,13500.0,24.24399999999978,3.924861111111124,29.929932137516825,27.248637574758412,2.681294562758426,91.04142785744094,19.652883385472993,9.680996843515613,17.567640731242797,124.70805057298679,2.0,4,2325.4119813539232,838,60.023866348448685,232,1350,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C4,1010,1793,1408,58.666666666666664,78.52760736196319,92.59157909240687,1054.589598542322,91.06977334973931,33.149171270718234,28.301886792452834,66.85082872928176,0.25072261217594044,454.2314415819452,0,11470.0,23.837999999999813,3.8966666666666745,31.88032538818751,29.160304241425077,2.720021146762436,91.46802576936598,19.75356846243412,8.110248737153102,21.050055504271977,132.83468911744797,2.0,4,2271.157207909726,696,52.44252873563219,195,1147,,,0.0,0,75,1,1
