scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,solver_mean_time_s,solver_median_time_s,solver_p95_time_s,solver_max_time_s,solver_mean_binary_variables,solver_mean_constraints,solver_mean_available_agv_slot_pairs,solver_mean_actual_busy_agv_slot_pairs,solver_mean_forecast_busy_agv_slot_pairs,solver_infeasible_calls,solver_time_limit_calls,solver_fallback_calls,solver_safety_slack_total,solver_reserve_slack_total,solver_task_slack_total
C5_no_prior_20rep,C5,1007,2167,2148,89.5,99.12321181356715,52.429302432938115,384.21561514481584,49.23728689472992,72.63157894736842,62.88416075650118,27.368421052631582,0.28606011658099517,122.22173152960681,0,240.0,26.08599999999989,4.520277777777772,40.31835803084172,28.540706026925108,11.777652003916616,70.78836396336567,19.662300983653875,0.45354917877297624,28.087156848152134,55.997719487280165,2.0,4,611.1086576480341,177,40.11299435028249,1,24,,,0.759304943610914,349,0.0021756588642146534,0.0014673779951408505,0.0063427272485569106,0.009133530082181096,27.808022922636102,141.189111747851,27.808022922636102,0.0,24.492836676217767,0,0,0,0.0,34.937546012572554,12.356698365088558
C5_no_prior_20rep,C5,1008,2146,2136,89.0,99.53401677539608,14.188234857439694,272.4221039450993,12.257638790602185,43.735763097949885,31.985940246045697,56.264236902050115,0.33727044993592065,67.46988449671677,0,1170.0,25.847999999999885,4.477499999999996,23.982638023068542,20.621016769171963,3.3616212538965855,85.98310473325293,19.712030278965383,3.062693092961333,17.55832367621063,33.3092194764841,2.0,4,337.34942248358385,459,37.690631808278866,9,117,,,3.1564432877348736,914,0.0034534390456617873,0.001920216076541692,0.008044699439778922,0.011635715956799686,27.99781181619256,141.6378555798687,27.99781181619256,0.0,23.838074398249454,0,0,0,0.0,145.6664925282908,46.72571693183373
C5_no_prior_20rep,C5,1009,2120,2028,84.5,95.66037735849056,51.43127038463681,409.4137407195301,48.59268763689219,62.16216216216216,56.21716287215411,37.83783783783784,0.28406388911476427,152.07448643255475,0,1420.0,25.781999999999904,4.440416666666664,45.73699991868485,31.685145851500753,14.051854067184104,69.2768347461209,19.694366014981963,3.5972786047390106,28.08786724676174,63.52361099817342,2.0,4,760.3724321627737,288,47.91666666666667,15,142,,,2.511241741362028,611,0.004110051949856019,0.0031371270306408405,0.008915506477933377,0.03226608200930059,26.98036006546645,136.86906710310964,26.98036006546645,0.0,23.224222585924714,0,0,0,0.0,160.7267562845125,46.441298628461986
C5_no_prior_20rep,C5,1010,2162,2037,84.875,94.21831637372803,61.855223094783895,408.7297060760975,59.29983108723198,55.35307517084283,50.78351712130006,44.64692482915717,0.30570017262215393,150.88337785920754,0,1070.0,26.22199999999988,4.523472222222219,33.74793785602459,27.5854709080916,6.162466947932991,81.73972295959742,19.66961173232561,2.999084532310963,24.586386375780638,46.87213591114527,2.0,4,754.4168892960377,371,46.091644204851754,9,107,,,2.972086579538882,802,0.0037058436153851394,0.002487008925527334,0.007960784283932298,0.011043413076549768,26.278054862842893,133.78054862842893,26.278054862842893,0.0,23.05361596009975,0,0,0,0.0,216.75653493935437,71.03735080907475
C5_no_prior_20rep,C5,1011,2201,2082,86.75,94.59336665152203,46.895541028558576,340.2130655539894,43.75579974027266,69.6969696969697,63.036117381489845,30.303030303030305,0.25607256676059753,182.71307434236172,0,1050.0,26.7079999999999,4.605972222222218,47.71387596618489,37.54823960092186,10.165636365263026,78.69459112383267,19.714999999999876,2.4484934657677258,35.099746135154135,66.26927217525679,2.0,4,913.5653717118088,240,61.25000000000001,9,105,,,1.7829213046934456,493,0.0036164732346723035,0.0019360620062798262,0.008476768457330763,0.01045192894525826,27.200811359026368,138.10141987829616,27.200811359026368,0.0,23.6105476673428,0,0,0,0.0,159.89715430653948,46.72518974324901
C5_no_prior_20rep,C5,1012,2155,2048,85.33333333333333,95.03480278422273,66.67232456846426,383.8211248926936,63.84989724799855,58.64485981308412,56.74580196873191,41.35514018691589,0.28961802348327276,145.1770295482543,0,870.0,25.9959999999999,4.4990277777777745,40.2375115460218,30.01345398131971,10.224057564702088,74.59073095758349,19.619327827618026,1.950740583490987,28.062713397828723,55.885432702808046,2.0,4,725.8851477412715,326,50.306748466257666,9,87,,,2.1997360691893846,669,0.003288095768593998,0.001860390999354422,0.008070308412425222,0.010617729043588042,27.08520179372197,137.2899850523169,27.08520179372197,0.0,23.22421524663677,0,0,0,0.0,130.2375000361783,42.70064035736932
C5_no_prior_20rep,C5,1013,2173,1980,82.5,91.11826967326277,79.23071857133606,442.32951619652573,76.58840572037886,58.09312638580931,52.26480836236933,41.90687361419069,0.2867785460079298,172.2923281012872,0,1350.0,26.16399999999989,4.533194444444441,39.45972343714528,27.87544569771956,11.584277739425719,70.64278020630805,19.680835175631824,3.3231576270555196,24.55228807066404,54.80517144047956,2.0,4,861.461640506436,379,49.340369393139845,14,135,,,2.9734712674980983,759,0.003917616953225426,0.0026057540671899915,0.008692448819056153,0.012091482989490032,27.58893280632411,139.62055335968378,27.58893280632411,0.0,23.54281949934124,0,0,0,0.0,193.06733280821402,61.00090043951781
C5_no_prior_20rep,C5,1014,2235,2079,86.625,93.02013422818793,72.9237467670448,405.769836270339,70.30460481124861,53.58744394618834,49.580771380659584,46.41255605381166,0.28827307030186367,154.35771954119733,0,1450.0,26.921999999999873,4.663333333333331,32.7216946913291,28.038196226881748,4.6834984644473465,85.68687071795085,19.77611111111099,3.4942250017209124,24.543971225160835,45.44679818240152,2.0,4,771.7885977059867,352,54.26136363636363,15,145,,,2.79512398946099,713,0.003920229999244025,0.0022948109544813633,0.00893497997894883,0.014420496998354793,27.79102384291725,141.0140252454418,27.79102384291725,0.0,23.956521739130434,0,0,0,0.0,349.4605977456747,107.46255853602595
C5_no_prior_20rep,C5,1015,2188,2143,89.29166666666667,97.94332723948813,56.844383621302796,355.1131551988675,53.698475020172474,69.7459584295612,60.22792022792023,30.2540415704388,0.2912664991875105,126.55660288282144,0,1230.0,26.473999999999904,4.5734722222222155,36.34406029249621,31.005198990326445,5.338861302169774,85.31022329590385,19.66166666666655,2.922764364368141,28.0824346259583,50.47786151735585,2.0,4,632.7830144141072,250,55.2,9,123,,,2.0163657835219055,509,0.003961425900828891,0.0022297209361568093,0.009130030660890036,0.016176732955500484,27.524557956777997,139.7229862475442,27.524557956777997,0.0,23.652259332023576,0,0,0,0.0,150.36161883716423,44.05344982002844
C5_no_prior_20rep,C5,1016,2129,1979,82.45833333333333,92.95443870361673,87.32671821603067,443.0830897003947,84.41504281082344,59.49656750572083,58.80614657210401,40.503432494279174,0.29733275306522533,183.99955593237615,0,970.0,25.847999999999907,4.456249999999996,40.06020889651888,30.30436546590648,9.755843430612398,75.64704803259237,19.675413346879658,2.2178079143477283,28.086557551558748,55.63917902294288,2.0,4,919.9977796618808,298,47.31543624161073,11,97,,,2.038650063681416,596,0.0034205537981231815,0.0019223620183765888,0.008292817714391276,0.014666301081888378,27.961409395973153,141.34563758389262,27.961409395973153,0.0,23.753355704697988,0,0,0,0.0,174.13434876318766,54.100028564395124
