scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions
base_original,C1,1007,1826,1816,75.66666666666667,99.45235487404163,0.8850941477309462,100.2530380521565,0.29513712831886707,0,2.573932092004383,100,0.4231686356601944,3.1364518683634617,0,60.0,21.923999999999943,3.8049999999999904,25.059291162330027,21.059428249147395,3.9998629131826333,84.03840361137046,19.702303679381917,0.0,21.059428249147395,17.402285529395854,0.0,0,15.68225934181731,0,0.0,0,6
base_original,C2,1007,1826,1818,75.75,99.5618838992333,0.1807050623097497,2.9321529450288533,0.0,0,0.0,100,0.3608142592671443,0.0,0,26080.0,27.127999999999453,4.166388888888913,47.50686666382808,37.57674891109768,9.930117752730453,79.09751063357074,52.09397034604879,37.57674891109768,0.0,32.9908796276584,1.5,3,0.0,307,36.156351791530945,466,2608
base_original,C3,1007,1826,1818,75.75,99.5618838992333,0.18080886423823375,2.9321529450288533,0.0,0,0.0,100,0.36086422874026913,0.0,0,25820.0,27.07599999999946,4.162777777777802,47.488877653503124,37.52133044531608,9.967547208187122,79.01077536320389,52.09397034604879,37.52133044531608,0.0,32.97838725937721,1.5,3,0.0,345,56.231884057971016,457,2582
base_original,C4,1007,1826,1818,75.75,99.5618838992333,0.18067651520203354,2.9321529450288533,0.0,0,0.0,100,0.3612962799861738,0.0,0,25950.0,27.101999999999453,4.164583333333358,47.33333920497742,37.54913600087164,9.78420320410585,79.32915072453433,52.09397034604879,37.54913600087164,0.0,32.87037444790101,1.5,3,0.0,302,55.960264900662246,462,2595
base_original,C1,1008,1782,1778,74.08333333333333,99.77553310886644,0.867299579182688,110.42745333128939,0.24454758074986307,0,2.413019079685741,100,0.44800556369434874,2.391521768865908,0,50.0,21.393999999999963,3.7131944444444347,20.51799707003447,17.55840336240997,2.9595937076245002,85.57562077076791,19.705411320751875,0.0,17.55840336240997,14.248609076412828,0.0,0,11.95760884432954,0,0.0,0,5
base_original,C2,1008,1782,1778,74.08333333333333,99.77553310886644,0.1929784441178385,3.258089424490754,0.0,0,0.0,100,0.3785496103057461,0.0,0,25450.0,26.473999999999485,4.065972222222245,45.5221402899314,35.71207859346897,9.810061696462494,78.44991111142413,53.777116231463,35.71207859346897,0.0,31.61259742356352,1.5,3,0.0,249,34.53815261044177,496,2545
base_original,C3,1008,1782,1778,74.08333333333333,99.77553310886644,0.1930971364214455,3.258089424490754,0.0,0,0.0,100,0.37872880827659916,0.0,0,25110.0,26.405999999999494,4.0612500000000225,45.4576290204243,35.6462647211552,9.811364299269178,78.41646273530716,54.974804693860776,35.6462647211552,0.0,31.567797930850237,1.5,3,0.0,248,42.33870967741936,473,2511
base_original,C4,1008,1782,1778,74.08333333333333,99.77553310886644,0.19328025363653928,3.258089424490754,0.0,0,0.0,100,0.37970692792972455,0.0,0,25310.0,26.445999999999486,4.064027777777801,45.105505945299164,35.67034697652803,9.435158968771185,79.08202386597006,54.974804693860776,35.67034697652803,0.0,31.32326801756889,1.5,3,0.0,235,42.12765957446808,497,2531
base_original,C1,1009,1761,1753,73.04166666666667,99.54571266325951,1.2453380352313552,95.863629433669,0.5878805108251565,0,5.678591709256109,100,0.4532322442890978,3.1722267504379245,0,50.0,21.141999999999978,3.669444444444435,20.736392055924806,17.544284740389646,3.192107315535161,84.60625499881445,19.768023185741136,0.0,17.544284740389646,14.400272261058895,0.0,0,15.861133752189623,0,0.0,0,5
base_original,C2,1009,1761,1753,73.04166666666667,99.54571266325951,0.16544240775735453,2.9143122111023634,0.0,0,0.0,100,0.3788087781113879,0.0,0,26230.0,26.37799999999949,4.0330555555555785,47.52883987990035,37.85760533703971,9.671234542860727,79.65186070752266,48.853876393560355,37.85760533703971,0.0,33.006138805486394,1.5,3,0.0,339,27.43362831858407,518,2623
base_original,C3,1009,1761,1753,73.04166666666667,99.54571266325951,0.16553910031777674,2.9143122111023634,0.0,0,0.0,100,0.3790809617791285,0.0,0,25770.0,26.2859999999995,4.0266666666666895,47.43085375951375,37.75915189767761,9.671701861836217,79.60883877217543,51.188346144953954,37.75915189767761,0.0,32.93809288855125,1.5,3,0.0,336,57.44047619047619,504,2577
base_original,C4,1009,1761,1753,73.04166666666667,99.54571266325951,0.16561550020090943,2.9143122111023634,0.0,0,0.0,100,0.3805223716653836,0.0,0,26020.0,26.33599999999949,4.030138888888913,46.91194620046187,37.81272733613128,9.099218864330657,80.6036210362106,49.94704085085343,37.81272733613128,0.0,32.57774041698747,1.5,3,0.0,319,55.79937304075236,513,2602
base_original,C1,1010,1793,1787,74.45833333333333,99.6653653095371,2.196153890476479,138.5020275489078,1.4295334650916534,0,10.150585610708307,100,0.4335274931364391,9.283260259313101,0,60.0,21.52799999999996,3.7362499999999903,24.630102470881937,21.05602646364722,3.574076007234717,85.48899253886563,19.687864355552552,0.0,21.05602646364722,17.104237827001345,0.0,0,46.41630129656551,0,0.0,0,6
base_original,C2,1010,1793,1789,74.54166666666667,99.77691020635805,0.17316355692798036,3.7345489438534667,0.0,0,0.0,100,0.3769236316311539,4.7369515717340015e-17,0,25700.0,26.65599999999948,4.092361111111134,45.007492612784596,35.458457977878034,9.549034634906615,78.78345564135223,50.07656353494302,35.458457977878034,0.0,31.255203203322676,1.5,3,2.3684757858670006e-16,225,28.444444444444443,454,2570
base_original,C3,1010,1793,1789,74.54166666666667,99.77691020635805,0.1730960613272377,3.7345489438534667,0.0,0,0.0,100,0.3770805677193791,4.7369515717340015e-17,0,25310.0,26.577999999999484,4.086944444444467,44.95099562102352,35.419683013921016,9.531312607102544,78.7962146879685,52.80699071106939,35.419683013921016,0.0,31.215969181266367,1.5,3,2.3684757858670006e-16,242,41.32231404958678,437,2531
base_original,C4,1010,1793,1789,74.54166666666667,99.77691020635805,0.17320062385075563,3.7345489438534667,0.0,0,0.0,100,0.3770256297357464,4.7369515717340015e-17,0,25610.0,26.63799999999948,4.091111111111134,44.970773295131295,35.466051404645384,9.50472189048594,78.86466877474192,52.80699071106939,35.466051404645384,0.0,31.229703677174513,1.5,3,2.3684757858670006e-16,236,41.94915254237288,461,2561
base_original,C1,1011,1818,1812,75.5,99.66996699669967,10.61970938565317,198.9955655591435,9.267735722060907,0,20.187018701870187,100,0.4104060610498447,41.347508004228416,0,60.0,21.82799999999995,3.7883333333333233,30.453818022055934,21.05990626758854,9.393911754467387,69.1535828195206,19.718559595175,0.0,21.05990626758854,21.14848473753884,0.0,0,206.73754002114208,0,0.0,0,6
base_original,C2,1011,1818,1814,75.58333333333333,99.77997799779979,0.19749067811627297,3.089745526911429,0.0,0,0.0,100,0.357779899169435,2.3684757858670008e-17,0,26510.0,27.117999999999448,4.155694444444469,49.399236299003405,39.19949423450589,10.199742064497604,79.35242965546962,50.85704332816915,39.19949423450589,0.0,34.30502520764128,1.5,3,1.1842378929335003e-16,358,27.6536312849162,551,2651
base_original,C3,1011,1818,1814,75.58333333333333,99.77997799779979,0.19775702358305153,3.089745526911429,0.0,0,0.0,100,0.35841014853918857,0.0,0,26040.0,27.02399999999946,4.149166666666691,49.1723465258921,39.140630027592785,10.031716498299385,79.59886560830073,52.418391646872244,39.140630027592785,0.0,34.14746286520288,1.5,3,0.0,365,57.80821917808219,540,2604
base_original,C4,1011,1818,1814,75.58333333333333,99.77997799779979,0.19747874550878275,3.089745526911429,0.0,0,0.0,100,0.3598443644541313,0.0,0,26280.0,27.071999999999456,4.152500000000024,48.65602879651275,39.15965478956774,9.496374006945073,80.48263649575604,52.418391646872244,39.15965478956774,0.0,33.78890888646721,1.5,3,0.0,342,56.72514619883041,547,2628
base_original,C1,1012,1800,1795,74.79166666666667,99.72222222222223,2.857986161999569,125.77024349665068,1.6819874891498352,0,16.94444444444444,100,0.4327787822721869,6.374716963178313,0,50.0,21.609999999999957,3.750694444444435,24.199638382012694,17.553815092430845,6.645823289581852,72.53750992195978,19.702347959081823,0.0,17.553815092430845,16.80530443195326,0.0,0,31.873584815891565,0,0.0,0,5
base_original,C2,1012,1800,1795,74.79166666666667,99.72222222222223,0.19094491436049887,3.2487855327953485,0.0,0,0.0,100,0.37233916769009945,0.0,0,25960.0,26.791999999999476,4.110555555555579,45.9578996315642,36.60797258351243,9.349927048051832,79.65545178737851,53.38457305892901,36.60797258351243,0.0,31.91520807747517,1.5,3,0.0,246,31.70731707317073,470,2596
base_original,C3,1012,1800,1795,74.79166666666667,99.72222222222223,0.19134304401084035,3.2487855327953485,0.0,0,0.0,100,0.37226537900501044,2.3684757858670008e-17,0,25580.0,26.715999999999486,4.1052777777778005,45.98446355819625,36.55677702779468,9.427686530401612,79.49810479256708,57.1103148088325,36.55677702779468,0.0,31.933655248747428,1.5,3,1.1842378929335003e-16,286,59.79020979020979,477,2558
base_original,C4,1012,1800,1795,74.79166666666667,99.72222222222223,0.1911895157924834,3.2487855327953485,0.0,0,0.0,100,0.37357134814691795,2.3684757858670008e-17,0,25710.0,26.74199999999948,4.107083333333357,45.51431466710955,36.570179980594695,8.944134686514872,80.34874357236397,57.1103148088325,36.570179980594695,0.0,31.607162963270525,1.5,3,1.1842378929335003e-16,261,54.78927203065134,475,2571
base_original,C1,1013,1796,1788,74.5,99.55456570155901,1.8389394321437427,169.57793709193453,0.9618048839529598,0,9.187082405345215,100,0.4215855584483103,7.932285310672159,0,60.0,21.563999999999957,3.7424999999999904,28.629198958608285,21.06552903105294,7.563669927555347,73.58057436922772,19.712009681407473,0.0,21.06552903105294,19.881388165700198,0.0,0,39.6614265533608,0,0.0,0,6
base_original,C2,1013,1796,1792,74.66666666666667,99.77728285077951,0.2141034877029109,4.4009231719457,0.0,0,0.0,100,0.37344267792477953,0.0,0,25760.0,26.703999999999482,4.099444444444465,45.96063594707935,36.460917919942304,9.499718027137105,79.33075156297804,49.94036620838387,36.460917919942304,0.0,31.917108296582917,1.5,3,0.0,284,36.61971830985916,494,2576
base_original,C3,1013,1796,1792,74.66666666666667,99.77728285077951,0.21427377292595745,4.4009231719457,0.0,0,0.0,100,0.37393305254134523,0.0,0,25490.0,26.649999999999494,4.095694444444465,45.784101085115694,36.40316791994231,9.38093316517344,79.51050049506574,52.326606369449905,36.40316791994231,0.0,31.79451464244147,1.5,3,0.0,305,51.80327868852459,492,2549
base_original,C4,1013,1796,1792,74.66666666666667,99.77728285077951,0.2137100672368762,4.4009231719457,0.0,0,0.0,100,0.3758482639962816,0.0,0,25530.0,26.657999999999486,4.096250000000022,45.094624961338646,36.411723475497865,8.682901485840823,80.74515201471358,52.326606369449905,36.411723475497865,0.0,31.31571177870742,1.5,3,0.0,290,50.689655172413794,491,2553
base_original,C1,1014,1880,1877,78.20833333333333,99.84042553191489,3.5669277165059916,116.71312165864401,2.5348363605567767,0,14.308510638297879,100,0.41752926994659567,6.421336103139135,0,50.0,22.569999999999926,3.917361111111101,21.68946281922556,17.536862893548452,4.152599925677106,80.85429795893221,19.717833098439684,0.0,17.536862893548452,15.062126957795527,0.0,0,32.10668051569567,0,0.0,0,5
base_original,C2,1014,1880,1877,78.20833333333333,99.84042553191489,0.250904099993229,3.522208682511761,0.0,0,0.0,100,0.34902502282522896,1.8947806286936006e-16,0,25920.0,27.743999999999428,4.276666666666691,46.35099178291758,36.83719549590624,9.513796287011388,79.47444936762368,59.41009044529263,36.83719549590624,0.0,32.18818873813724,1.5,3,9.473903143468002e-16,286,31.818181818181817,527,2592
