scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions
stress_w75_p1_kw1,C1,1007,1826,1230,51.25,67.36035049288061,294.0995566399761,1342.9108208075183,291.0686587454355,66.49746192893402,62.290502793296085,33.50253807106599,0.1827057467558634,783.2939852448669,0,80.0,21.99399999999992,3.8098611111111076,37.285787531633616,28.081122693591777,9.204664838041845,75.31320793416924,19.621744276448556,0.0,28.081122693591777,155.35744804847343,0.0,0,3916.4699262243353,0,0.0,0,8
stress_w75_p1_kw1,C2,1007,1826,1369,57.041666666666664,74.97261774370209,174.32055421885522,1109.1675854637497,171.70833114334133,58.88324873096447,51.885474860335194,41.11675126903553,0.20746710701720236,566.2024902374636,0,6800.0,23.33799999999991,3.9031944444444444,34.237280491269054,28.662761582480762,5.574518908788282,83.71798569045265,19.66125732381724,4.093963331070795,24.56879825140997,142.6553353802877,2.0,4,2831.0124511873178,403,20.595533498759306,125,680
stress_w75_p1_kw1,C3,1007,1826,1261,52.541666666666664,69.05805038335158,206.57778219379009,1328.9568018520106,204.463036300121,45.17766497461929,43.01675977653632,54.82233502538071,0.20601584003779702,648.8480590378424,0,9280.0,23.83399999999986,3.9376388888888925,38.569629692948496,30.091678249147442,8.477951443801054,78.01910075026974,19.640555555555384,5.506235121595696,24.585443127551745,160.7067903872854,2.0,4,3244.2402951892122,543,51.74953959484346,167,928
stress_w75_p1_kw1,C4,1007,1826,1110,46.25,60.788608981380065,372.79886466252543,1954.1558319794722,370.67193141052707,45.685279187817265,42.667597765363126,54.314720812182735,0.20772088240566705,1046.842420906387,0,8970.0,23.771999999999856,3.9333333333333367,49.32798247010798,30.111844915814107,19.21613755429387,61.044144536139164,19.686666666666554,5.552916332376697,24.55892858343741,205.53326029211658,2.0,4,5234.2121045319345,528,46.02272727272727,162,897
stress_w75_p1_kw1,C1,1008,1782,1415,58.958333333333336,79.40516273849607,160.9924505276788,1375.246614612017,158.00093445849478,65.09695290858726,59.183673469387756,34.903047091412745,0.19667641948697412,785.5478106075669,0,80.0,21.361999999999934,3.71097222222222,36.99882966156311,28.07776447352103,8.921065188042073,75.88825033211825,19.751111111111012,0.0,28.07776447352103,154.16179025651294,0.0,0,3927.7390530378348,0,0.0,0,8
stress_w75_p1_kw1,C2,1008,1782,1448,60.333333333333336,81.25701459034792,99.13078343594928,997.8468600363439,96.84150597883826,49.58448753462604,44.12385643912737,50.41551246537396,0.25486746211593164,411.53788118401656,0,8060.0,22.9579999999999,3.8218055555555557,30.015904546088205,25.9104311401878,4.105473405900405,86.32233987952415,19.687746020339716,4.8453196598262105,21.065111480361587,125.06626894203417,2.0,4,2057.689405920083,486,21.604938271604937,152,806
stress_w75_p1_kw1,C3,1008,1782,1304,54.333333333333336,73.17620650953984,143.7454497700848,1528.6952984766583,142.06779623721707,36.56509695290858,32.93455313159747,63.43490304709142,0.2031143688874487,623.1714547868925,0,11380.0,23.621999999999836,3.867916666666674,37.86606194864451,27.949014473521167,9.91704747512334,73.81019581974687,19.718888888888785,6.898045952453735,21.050968521067432,157.77525811935212,2.0,4,3115.8572739344622,670,58.656716417910445,208,1138
stress_w75_p1_kw1,C4,1008,1782,1224,51.0,68.68686868686868,209.22787342756882,1459.4963949805194,207.50268143422818,38.227146814404435,33.286418015482056,61.772853185595565,0.23718611104670023,741.5547215804028,0,10940.0,23.533999999999843,3.8618055555555624,38.545467580645045,28.105903362410068,10.439564218234976,72.9162340646322,19.659720151441675,7.05000719507262,21.055896167337448,160.60611491935438,2.0,4,3707.7736079020133,656,49.69512195121951,200,1094
stress_w75_p1_kw1,C1,1009,1761,1123,46.791666666666664,63.77058489494606,373.2999198732974,2034.6323960393943,370.156799658624,68.63905325443787,62.96556570625439,31.360946745562128,0.11481017593509646,1312.0500430712193,0,90.0,21.173999999999943,3.6716666666666633,50.41958954330866,31.594812518167394,18.824777025141262,62.663763835341335,19.646912074630222,0.0,31.594812518167394,210.08162309711946,0.0,0,6560.250215356096,0,0.0,0,9
stress_w75_p1_kw1,C2,1009,1761,1358,56.583333333333336,77.11527541169791,155.5188092042809,1064.0813761384425,152.98217498496263,57.692307692307686,50.105411103302885,42.30769230769231,0.2266263024240199,507.82601092645444,0,6600.0,22.475999999999928,3.7620833333333317,34.295911950994,28.70464585150082,5.591266099493173,83.69698957857534,19.722222222222076,4.1373991669591,24.567246684541722,142.89963312914165,2.0,4,2539.1300546322723,378,29.894179894179896,130,660
