scenario,metric,comparison,mean_diff,ci95_low,ci95_high,cohens_d,n
ablation_equal_distance,mean_delay,C4-C2,0.491392698095579,-1.5117499403161543,2.494535336507312,0.069716582800641,50
ablation_equal_distance,mean_delay,C4-C3,-1.281164150972582,-2.2160573042711555,-0.3462709976740085,-0.3894592893269185,50
ablation_equal_distance,urgent_on_time_rate,C4-C2,10.64667352734813,8.379124650625347,12.914222404070912,1.3343708570176407,50
ablation_equal_distance,urgent_on_time_rate,C4-C3,-0.3294094563937408,-0.6548789700812381,-0.003939942706243538,-0.287637175651254,50
ablation_equal_distance,completion_rate,C4-C2,-0.8491220394087364,-1.836086257907132,0.13784217908965923,-0.24450512896935014,50
ablation_equal_distance,completion_rate,C4-C3,0.4070630171233063,0.08734495238147694,0.7267810818651357,0.36183763825939563,50
ablation_equal_distance,wpt_loss,C4-C2,-1.6705379197647985,-2.572682367507568,-0.7683934720220293,-0.5262589876503941,50
ablation_equal_distance,wpt_loss,C4-C3,-0.5350027679676169,-1.0430460715475964,-0.02695946438763741,-0.2992778435745531,50
ablation_equal_distance,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
ablation_equal_distance,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
ablation_fixed_eta,mean_delay,C4-C2,-0.4737807375350788,-0.72428271109817,-0.22327876397198765,-0.5375087225330983,50
ablation_fixed_eta,mean_delay,C4-C3,0.04707320972643643,-0.018370342183582355,0.11251676163645521,0.20442133398777496,50
ablation_fixed_eta,urgent_on_time_rate,C4-C2,5.983639070672752,4.372422806438148,7.594855334907357,1.05543336798081,50
ablation_fixed_eta,urgent_on_time_rate,C4-C3,-0.08733419047320382,-0.2151185391292741,0.04045015818286646,-0.1942342905902553,50
ablation_fixed_eta,completion_rate,C4-C2,0.028673351035472194,-0.0895666845613801,0.1469133866323245,0.06891807973223717,50
ablation_fixed_eta,completion_rate,C4-C3,-0.060057622012977846,-0.14321290669955386,0.02309766267359817,-0.20525679623335827,50
ablation_fixed_eta,wpt_loss,C4-C2,-0.421115053541869,-0.5329415616497353,-0.30928854543400275,-1.0702254415659107,50
ablation_fixed_eta,wpt_loss,C4-C3,0.036253746234611,-0.02448357696930309,0.09699106943852509,0.1696354092725745,50
ablation_fixed_eta,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
ablation_fixed_eta,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
ablation_urgent_0pct,mean_delay,C4-C2,1.1565172370028884,-1.5878442296439004,3.9008787036496773,0.11976504045745406,50
ablation_urgent_0pct,mean_delay,C4-C3,-0.9048790741613214,-1.6803174008977437,-0.12944074742489908,-0.3316366738833466,50
ablation_urgent_0pct,urgent_on_time_rate,C4-C2,0.0,0.0,0.0,0.0,50
ablation_urgent_0pct,urgent_on_time_rate,C4-C3,0.0,0.0,0.0,0.0,50
ablation_urgent_0pct,completion_rate,C4-C2,-1.2999583323858133,-2.480984755663561,-0.11893190910806561,-0.31281609205168226,50
ablation_urgent_0pct,completion_rate,C4-C3,0.31839479925890063,0.08028456570900436,0.5565050328087969,0.3800206291285338,50
ablation_urgent_0pct,wpt_loss,C4-C2,-2.4207711965467773,-3.488707275263119,-1.3528351178304354,-0.6442104313585654,50
ablation_urgent_0pct,wpt_loss,C4-C3,-0.7636082864780956,-1.3405625114501336,-0.18665406150605757,-0.3761391536010934,50
ablation_urgent_0pct,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
ablation_urgent_0pct,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
ablation_urgent_20pct,mean_delay,C4-C2,1.1565172370028884,-1.5878442296439004,3.9008787036496773,0.11976504045745406,50
ablation_urgent_20pct,mean_delay,C4-C3,-0.9048790741613214,-1.6803174008977437,-0.12944074742489908,-0.3316366738833466,50
ablation_urgent_20pct,urgent_on_time_rate,C4-C2,12.378497882047734,9.886207610498301,14.870788153597166,1.4115250594993713,50
ablation_urgent_20pct,urgent_on_time_rate,C4-C3,-0.31823999587148677,-0.6177911501709791,-0.018688841571994463,-0.3019277503074669,50
ablation_urgent_20pct,completion_rate,C4-C2,-1.2999583323858133,-2.480984755663561,-0.11893190910806561,-0.31281609205168226,50
ablation_urgent_20pct,completion_rate,C4-C3,0.31839479925890063,0.08028456570900436,0.5565050328087969,0.3800206291285338,50
ablation_urgent_20pct,wpt_loss,C4-C2,-2.4207711965467773,-3.488707275263119,-1.3528351178304354,-0.6442104313585654,50
ablation_urgent_20pct,wpt_loss,C4-C3,-0.7636082864780956,-1.3405625114501336,-0.18665406150605757,-0.3761391536010934,50
ablation_urgent_20pct,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
ablation_urgent_20pct,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
ablation_variable_distance,mean_delay,C4-C2,1.1565172370028884,-1.5878442296439004,3.9008787036496773,0.11976504045745406,50
ablation_variable_distance,mean_delay,C4-C3,-0.9048790741613214,-1.6803174008977437,-0.12944074742489908,-0.3316366738833466,50
ablation_variable_distance,urgent_on_time_rate,C4-C2,12.378497882047734,9.886207610498301,14.870788153597166,1.4115250594993713,50
ablation_variable_distance,urgent_on_time_rate,C4-C3,-0.31823999587148677,-0.6177911501709791,-0.018688841571994463,-0.3019277503074669,50
ablation_variable_distance,completion_rate,C4-C2,-1.2999583323858133,-2.480984755663561,-0.11893190910806561,-0.31281609205168226,50
ablation_variable_distance,completion_rate,C4-C3,0.31839479925890063,0.08028456570900436,0.5565050328087969,0.3800206291285338,50
ablation_variable_distance,wpt_loss,C4-C2,-2.4207711965467773,-3.488707275263119,-1.3528351178304354,-0.6442104313585654,50
ablation_variable_distance,wpt_loss,C4-C3,-0.7636082864780956,-1.3405625114501336,-0.18665406150605757,-0.3761391536010934,50
ablation_variable_distance,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
ablation_variable_distance,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
ablation_variable_eta,mean_delay,C4-C2,1.1565172370028884,-1.5878442296439004,3.9008787036496773,0.11976504045745406,50
ablation_variable_eta,mean_delay,C4-C3,-0.9048790741613214,-1.6803174008977437,-0.12944074742489908,-0.3316366738833466,50
ablation_variable_eta,urgent_on_time_rate,C4-C2,12.378497882047734,9.886207610498301,14.870788153597166,1.4115250594993713,50
ablation_variable_eta,urgent_on_time_rate,C4-C3,-0.31823999587148677,-0.6177911501709791,-0.018688841571994463,-0.3019277503074669,50
ablation_variable_eta,completion_rate,C4-C2,-1.2999583323858133,-2.480984755663561,-0.11893190910806561,-0.31281609205168226,50
ablation_variable_eta,completion_rate,C4-C3,0.31839479925890063,0.08028456570900436,0.5565050328087969,0.3800206291285338,50
ablation_variable_eta,wpt_loss,C4-C2,-2.4207711965467773,-3.488707275263119,-1.3528351178304354,-0.6442104313585654,50
ablation_variable_eta,wpt_loss,C4-C3,-0.7636082864780956,-1.3405625114501336,-0.18665406150605757,-0.3761391536010934,50
ablation_variable_eta,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
ablation_variable_eta,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
challenge_primary,mean_delay,C4-C2,1.1565172370028884,-1.5878442296439004,3.9008787036496773,0.11976504045745406,50
challenge_primary,mean_delay,C4-C3,-0.9048790741613214,-1.6803174008977437,-0.12944074742489908,-0.3316366738833466,50
challenge_primary,urgent_on_time_rate,C4-C2,12.378497882047734,9.886207610498301,14.870788153597166,1.4115250594993713,50
challenge_primary,urgent_on_time_rate,C4-C3,-0.31823999587148677,-0.6177911501709791,-0.018688841571994463,-0.3019277503074669,50
challenge_primary,completion_rate,C4-C2,-1.2999583323858133,-2.480984755663561,-0.11893190910806561,-0.31281609205168226,50
challenge_primary,completion_rate,C4-C3,0.31839479925890063,0.08028456570900436,0.5565050328087969,0.3800206291285338,50
challenge_primary,wpt_loss,C4-C2,-2.4207711965467773,-3.488707275263119,-1.3528351178304354,-0.6442104313585654,50
challenge_primary,wpt_loss,C4-C3,-0.7636082864780956,-1.3405625114501336,-0.18665406150605757,-0.3761391536010934,50
challenge_primary,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
challenge_primary,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
stress_w105_p1_kw1,mean_delay,C4-C2,24.637990372831485,-1.3891949058650432,50.66517565152802,0.269027915032518,50
stress_w105_p1_kw1,mean_delay,C4-C3,-19.78096325435932,-53.804253235949545,14.242326727230903,-0.16523056878412865,50
stress_w105_p1_kw1,urgent_on_time_rate,C4-C2,1.7020144091220653,1.2389145775766268,2.1651142406675037,1.04449863751128,50
stress_w105_p1_kw1,urgent_on_time_rate,C4-C3,-0.5154975604618004,-0.7541406838640958,-0.27685443705950497,-0.6138990456137919,50
stress_w105_p1_kw1,completion_rate,C4-C2,-1.563545554700844,-2.8190439849653925,-0.30804712443629545,-0.35392694993388063,50
stress_w105_p1_kw1,completion_rate,C4-C3,0.9822624996158269,-0.5496604820475923,2.514185481279246,0.18222581487685213,50
stress_w105_p1_kw1,wpt_loss,C4-C2,-0.4839062813084167,-1.8332424969257097,0.8654299343088763,-0.10192021966857938,50
stress_w105_p1_kw1,wpt_loss,C4-C3,-0.7722853183759452,-2.143918089826695,0.599347453074805,-0.16001444672091147,50
stress_w105_p1_kw1,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
stress_w105_p1_kw1,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
stress_w105_p1_kw3,mean_delay,C4-C2,35.288182783206004,25.194369824626417,45.38199574178559,0.9935581949357781,50
stress_w105_p1_kw3,mean_delay,C4-C3,-14.081101646334538,-21.367600992750305,-6.794602299918772,-0.5492081477743508,50
stress_w105_p1_kw3,urgent_on_time_rate,C4-C2,5.151535387573708,4.127555571189145,6.1755152039582715,1.429764664007389,50
stress_w105_p1_kw3,urgent_on_time_rate,C4-C3,-1.8533252003388259,-2.2619637870224785,-1.4446866136551733,-1.288936510919953,50
stress_w105_p1_kw3,completion_rate,C4-C2,-4.470209241175442,-5.772610401266856,-3.1678080810840274,-0.9754440096328258,50
stress_w105_p1_kw3,completion_rate,C4-C3,1.9693513138891303,0.9723163478502231,2.9663862799280376,0.5613478662611261,50
stress_w105_p1_kw3,wpt_loss,C4-C2,-0.9347886400012428,-2.380022666389804,0.5104453863873184,-0.18382074265531956,50
stress_w105_p1_kw3,wpt_loss,C4-C3,0.3268397723691556,-0.9190135175676526,1.5726930623059638,0.07455680079551384,50
stress_w105_p1_kw3,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
stress_w105_p1_kw3,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
stress_w105_p1_kw5,mean_delay,C4-C2,15.891976547571012,12.486224786856337,19.297728308285688,1.3261241804316992,50
stress_w105_p1_kw5,mean_delay,C4-C3,-7.4954757913839,-10.596416341566922,-4.394535241200877,-0.6869498514668217,50
stress_w105_p1_kw5,urgent_on_time_rate,C4-C2,2.6026287619520754,0.18284867080681133,5.022408853097339,0.30567195460288676,50
stress_w105_p1_kw5,urgent_on_time_rate,C4-C3,-1.2238372906102537,-2.1210604968032136,-0.3266140844172938,-0.3876523781698157,50
stress_w105_p1_kw5,completion_rate,C4-C2,-4.209680878167655,-4.988144411453828,-3.431217344881482,-1.5368453589154145,50
stress_w105_p1_kw5,completion_rate,C4-C3,1.9095762396524196,1.1611567766059507,2.6579957026988885,0.7251221934147939,50
stress_w105_p1_kw5,wpt_loss,C4-C2,-0.22608593719488174,-1.49228803244507,1.0401161580553064,-0.05074459492968597,50
stress_w105_p1_kw5,wpt_loss,C4-C3,-0.33893466881734313,-1.5779035703840625,0.9000342327493762,-0.07774542764920915,50
stress_w105_p1_kw5,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
stress_w105_p1_kw5,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
stress_w105_p2_kw1,mean_delay,C4-C2,19.008665517356654,7.05951076283297,30.957820271880337,0.45209917171402586,50
stress_w105_p2_kw1,mean_delay,C4-C3,-0.7067271617231762,-14.317684565905182,12.90423024245883,-0.014756466506422037,50
stress_w105_p2_kw1,urgent_on_time_rate,C4-C2,1.1188083167919214,0.6647902128862088,1.5728264206976341,0.7003284732468874,50
stress_w105_p2_kw1,urgent_on_time_rate,C4-C3,-0.24912582699381375,-0.4162418779761202,-0.0820097760115073,-0.4236623366711267,50
stress_w105_p2_kw1,completion_rate,C4-C2,-1.511297282242956,-2.6075224385532705,-0.4150721259326413,-0.3918044872992387,50
stress_w105_p2_kw1,completion_rate,C4-C3,-0.0023288757032564433,-1.3147551847613708,1.3100974333548578,-0.0005043019536699798,50
stress_w105_p2_kw1,wpt_loss,C4-C2,0.5621892651309373,-0.8219148315554794,1.946293361817354,0.11543381868904738,50
stress_w105_p2_kw1,wpt_loss,C4-C3,0.03243980535949895,-1.5130607473115523,1.5779403580305502,0.005965245796987681,50
stress_w105_p2_kw1,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
