scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,ablation_group,ablation_case
ablation_equal_distance,C1,1007,2167,2165,90.20833333333333,99.90770650669127,30.712132907523024,356.08641785738047,27.54388126303766,68.63157894736842,62.35224586288416,31.36842105263158,0.2884719509853949,93.41981401793129,0,80.0,26.019999999999797,4.515694444444432,39.45009764525783,28.077206026925225,11.37289161833261,71.17144874874676,19.702303679381917,0.0,28.077206026925225,54.791802285080315,0.0,0,467.09907008965644,0,0.0,0,8,dist,equal_distance
ablation_equal_distance,C2,1007,2167,2165,90.20833333333333,99.90770650669127,4.199333738484898,188.28840401106717,2.4472308076465428,37.05263157894737,27.42316784869976,62.94736842105263,0.2816193084888098,38.85226099197154,0,8750.0,27.753999999999643,4.636111111111109,41.91704894402851,31.505251724352377,10.411797219676114,75.1609488693278,19.634087667360987,13.953816639123753,17.551435085228633,58.218123533372925,2.0,4,194.26130495985768,426,17.84037558685446,170,875,dist,equal_distance
ablation_equal_distance,C3,1007,2167,2016,84.0,93.03184125519151,12.353120383036574,393.67517462189085,11.542956557447704,19.157894736842106,7.624113475177308,80.84210526315789,0.2728341292388885,157.70800338655835,0,12430.0,28.48999999999955,4.687222222222231,45.07971347400013,37.267483804703204,7.8122296692969435,82.67018783559338,19.720938472942205,19.720259888322044,17.54722391638116,62.61071315833354,2.0,4,788.5400169327918,585,57.6068376068376,251,1243,dist,equal_distance
ablation_equal_distance,C4,1007,2167,2060,85.83333333333333,95.0622981079834,8.29599608811053,409.63022983910344,7.517003840659272,18.526315789473678,6.382978723404253,81.47368421052632,0.26484336937652025,160.80783468092105,0,12340.0,28.47199999999955,4.68597222222223,47.9563870244527,37.69890047136986,10.257486553082837,78.61080204425616,19.69737436550027,20.13618076008704,17.562719711282824,66.60609308951766,2.0,4,804.0391734046051,583,47.16981132075472,250,1234,dist,equal_distance
ablation_equal_distance,C1,1008,2146,2135,88.95833333333333,99.4874184529357,7.871830600033996,228.60517566969307,5.7312663986383585,49.20273348519362,33.62624487404804,50.79726651480638,0.31222041550918306,45.77983380060383,0,80.0,25.76799999999981,4.471944444444432,33.000650416694114,28.085070029076714,4.915580387617398,85.10459543812281,19.705411320751875,0.0,28.085070029076714,45.834236689852936,0.0,0,228.89916900301918,0,0.0,0,8,dist,equal_distance
ablation_equal_distance,C2,1008,2146,2137,89.04166666666667,99.58061509785648,0.5028071335735378,78.04128530871652,0.04874824950760522,11.617312072892938,0.05858230814294041,88.38268792710706,0.31651181290122243,4.7369515717340015e-17,0,13770.0,28.505999999999545,4.6620833333333405,31.455747355559893,25.61769999010577,5.838047365454156,81.44044298339574,19.714845358371413,22.113342151213523,3.504357838892242,43.68853799383323,2.0,4,2.3684757858670006e-16,655,14.656488549618322,289,1377,dist,equal_distance
ablation_equal_distance,C3,1008,2146,2137,89.04166666666667,99.58061509785648,0.42879220110542166,3.655308247747598,0.012824416447289717,10.478359908883828,0.0,89.52164009111617,0.32190574945002687,4.7369515717340015e-17,0,14650.0,28.681999999999523,4.674305555555565,29.51393019799029,23.286700760470904,6.22722943751941,78.9007109668389,28.108016861174363,23.286700760470904,0.0,40.99156971943099,2.0,4,2.3684757858670006e-16,694,56.48414985590778,311,1465,dist,equal_distance
ablation_equal_distance,C4,1008,2146,2137,89.04166666666667,99.58061509785648,0.42879220110542166,3.655308247747598,0.012824416447289717,10.478359908883828,0.0,89.52164009111617,0.3219057494500269,2.3684757858670008e-17,0,14650.0,28.68199999999952,4.674305555555565,29.513930197990287,24.407390002787828,5.10654019520249,82.69786449671084,27.04237951276458,24.407390002787828,0.0,40.99156971943099,2.0,4,1.1842378929335003e-16,694,48.27089337175792,311,1465,dist,equal_distance
ablation_equal_distance,C1,1009,2120,2119,88.29166666666667,99.95283018867924,25.102186729165467,262.27677356265775,22.282059007582443,62.8992628992629,47.2270869819031,37.1007371007371,0.3083311047962559,93.50244545571788,0,90.0,25.45799999999982,4.417916666666654,37.000802273347865,31.579840295945303,5.420961977402558,85.34906908949013,19.768023185741136,0.0,31.579840295945303,51.390003157427586,0.0,0,467.51222727858936,0,0.0,0,9,dist,equal_distance
ablation_equal_distance,C2,1009,2120,2120,88.33333333333333,100.0,3.691510832665523,201.4996102938363,2.488453502417068,28.00982800982801,13.018096906012843,71.99017199017199,0.3004304573536737,27.25001918555104,0,10400.0,27.519999999999644,4.561111111111111,39.84503535267748,31.05640132411062,8.78863402856685,77.94296340616427,19.693061128549758,17.022444368786747,14.033956955323873,55.340326878718706,2.0,4,136.2500959277552,482,12.655601659751037,228,1040,dist,equal_distance
ablation_equal_distance,C3,1009,2120,2120,88.33333333333333,100.0,0.40421155479621623,3.8621637914140594,0.00888470223288204,6.633906633906639,0.0,93.36609336609337,0.3269799453569068,0.0,0,14600.0,28.35999999999953,4.619444444444453,30.28721967151354,24.528682550450377,5.758537121063193,80.98690740345731,23.63990853164749,24.528682550450377,0.0,42.06558287710218,2.0,4,0.0,706,59.34844192634561,306,1460,dist,equal_distance
ablation_equal_distance,C4,1009,2120,2120,88.33333333333333,100.0,0.40421155479621623,3.8621637914140594,0.00888470223288204,6.633906633906639,0.0,93.36609336609337,0.3269799453569068,0.0,0,14600.0,28.359999999999534,4.619444444444453,30.287219671513547,25.391707830623954,4.895511840889611,83.8363775414683,23.838499723949788,25.391707830623954,0.0,42.06558287710218,2.0,4,0.0,706,48.01699716713881,306,1460,dist,equal_distance
ablation_equal_distance,C1,1010,2162,2141,89.20833333333333,99.02867715078631,7.508075675967264,283.00738954358036,5.738588934635709,39.63553530751709,25.652930934416716,60.36446469248291,0.2906080011218838,36.05240196609702,0,80.0,25.9599999999998,4.505277777777765,39.18111959612184,28.073804241425048,11.10731535469679,71.65135792649427,19.687864355552552,0.0,28.073804241425048,54.41822166128034,0.0,0,180.2620098304851,0,0.0,0,8,dist,equal_distance
ablation_equal_distance,C2,1010,2162,2153,89.70833333333333,99.58371877890842,0.7511832679827869,88.0972122640674,0.14527283558851217,14.806378132118446,0.6384213580963416,85.19362186788155,0.2975040189439631,0.15477180128795834,0,12770.0,28.497999999999564,4.681527777777783,36.69855318017328,30.414551865339806,6.2840013148334775,82.87670556389003,19.799677011783118,19.890638199450578,10.523913665889223,50.970212750240684,2.0,4,0.7738590064397916,573,12.739965095986038,262,1277,dist,equal_distance
ablation_equal_distance,C3,1010,2162,2153,89.70833333333333,99.58371877890842,0.38904215762315913,4.424142196136139,0.010261418143338741,6.378132118451029,0.0,93.62186788154897,0.3165323106982993,0.0,0,15330.0,29.0099999999995,4.717083333333344,29.848368148612224,23.939322133428323,5.909046015183943,80.2031186905652,30.212641455491557,23.939322133428323,0.0,41.45606687307258,2.0,4,0.0,689,54.71698113207547,336,1533,dist,equal_distance
ablation_equal_distance,C4,1010,2162,2153,89.70833333333333,99.58371877890842,0.38904215762315913,4.424142196136139,0.010261418143338741,6.378132118451029,0.0,93.62186788154897,0.3165323106982993,0.0,0,15330.0,29.0099999999995,4.717083333333344,29.848368148612227,24.596303342172757,5.252064806439498,82.40418109194468,28.348360437072163,24.596303342172757,0.0,41.45606687307258,2.0,4,0.0,689,48.185776487663276,336,1533,dist,equal_distance
ablation_equal_distance,C1,1011,2201,1996,83.16666666666667,90.6860517946388,108.66461383012408,445.9234909375106,105.14375695821454,75.29137529137529,71.44469525959367,24.708624708624708,0.2566443797857981,207.76670898817198,0,100.0,26.431999999999782,4.586805555555545,47.50802327711267,35.0954618231442,12.412561453968465,73.87270486594143,19.718559595175,0.0,35.0954618231442,65.98336566265648,0.0,0,1038.8335449408598,0,0.0,0,10,dist,equal_distance
ablation_equal_distance,C2,1011,2201,2016,84.0,91.59472966833258,27.847842448168645,356.80316577178723,26.067005925571223,44.28904428904429,28.1038374717833,55.71095571095571,0.26875995301544037,100.25262454423505,0,8750.0,28.16199999999963,4.706944444444447,43.14641691444146,31.671301879565515,11.475115034875948,73.40424569291378,19.80785748730166,14.136324415961825,17.534977463603692,59.925579047835384,2.0,4,501.26312272117525,432,30.09259259259259,194,875,dist,equal_distance
ablation_equal_distance,C3,1011,2201,1925,80.20833333333333,87.4602453430259,31.54121661645959,414.9687906925137,30.30760477861619,28.904428904428904,18.115124153498876,71.0955710955711,0.2646091388539554,148.13410115722527,0,11290.0,28.669999999999572,4.74222222222223,44.640710012576065,35.855211823144316,8.78549818943176,80.319537509693,19.754159197934225,18.318684840648963,17.536526982495353,62.00098612857789,2.0,4,740.6705057861265,552,63.04347826086957,253,1129,dist,equal_distance
ablation_equal_distance,C4,1011,2201,1949,81.20833333333333,88.55065879145843,26.219270693057165,392.17908052747345,24.98950493178214,29.13752913752914,17.83295711060948,70.86247086247086,0.26331072449030546,143.93161098483193,0,11300.0,28.67199999999957,4.7423611111111175,45.10813918349001,36.61785071203323,8.490288471456783,81.17792348533787,19.684232989067375,19.07184735227955,17.546003359753673,62.6501933104028,2.0,4,719.6580549241596,552,52.89855072463768,253,1130,dist,equal_distance
ablation_equal_distance,C1,1012,2155,2082,86.75,96.61252900232019,42.78835362061496,312.47228630512,39.48762177701619,69.1588785046729,67.51592356687898,30.8411214953271,0.2833843525191397,145.45390722110355,0,90.0,25.877999999999805,4.49083333333332,42.48163309310972,31.589370647986502,10.892262445123215,74.36006656982808,19.702347959081823,0.0,31.589370647986502,59.00226818487461,0.0,0,727.2695361055177,0,0.0,0,9,dist,equal_distance
