strategy,agv_id,time_s,time_h,soc
C4,1,0.0,0.0,52.13674812382657
C4,1,10.0,0.002777777777777778,52.09397034604879
C4,1,70.0,0.019444444444444445,52.99397034604879
C4,1,80.0,0.022222222222222223,52.95119256827101
C4,1,110.24752694095234,0.030624313039153427,53.4049054723853
C4,1,120.24752694095234,0.033402090816931206,53.36212769460752
C4,1,120.24752694095234,0.033402090816931206,53.36212769460752
C4,1,130.24752694095235,0.03617986859470899,53.31934991682974
C4,1,177.28021208826516,0.04924450335785143,54.06403409832886
C4,1,187.28021208826516,0.05202228113562921,54.02125632055108
C4,1,197.4477623018463,0.05484660063940175,54.18224253226611
C4,1,207.4477623018463,0.057624378417179524,54.13946475448833
C4,1,218.17920599928757,0.060605334999802106,54.2907732790568
C4,1,378.17920599928755,0.10504977944424654,53.966328834612355
C4,1,556.1698607236018,0.15449162797877827,53.6418843901679
C4,1,566.1698607236018,0.15726940575655607,53.59910661239012
C4,1,566.1698607236018,0.15726940575655607,53.59910661239012
C4,1,696.1698607236018,0.19338051686766716,53.402995501279015
C4,1,726.1698607236018,0.2017138502010005,53.360217723501236
C4,1,738.884136662513,0.20524559351736474,53.561527092534
C4,1,763.5482320828894,0.21209673113413594,53.51874931475622
C4,1,823.5482320828894,0.2287633978008026,54.46874931475622
C4,1,833.5482320828894,0.2315411755785804,54.42597153697844
C4,1,837.4757683052585,0.2326321578625718,54.488157527165946
C4,1,847.4757683052585,0.2354099356403496,54.44537974938817
C4,1,848.2270311740428,0.23561861977056744,54.45432894751869
C4,1,858.2270311740428,0.23839639754834524,54.41155116974091
C4,1,914.357792873839,0.2539882757982886,55.25351259523785
C4,1,924.357792873839,0.2567660535760664,55.21073481746007
C4,1,932.0270766056412,0.25889641016823367,55.291101161117865
C4,1,942.0270766056412,0.26167418794601144,55.24832338334008
C4,1,957.3937719374421,0.26594271442706724,55.47882381331709
C4,1,1127.3937719374421,0.31316493664928946,55.111601591094875
C4,1,1192.3169203632067,0.33119914454533517,55.06882381331709
C4,1,1252.3169203632067,0.3478658112120019,55.97985432857472
C4,1,1262.3169203632067,0.35064358898977965,55.93707655079694
C4,1,1297.861107937124,0.3605169744269789,56.47677387612826
C4,1,1307.861107937124,0.36329475220475665,56.433996098350484
C4,1,1312.0942543563592,0.3644706262100998,56.501020916655044
C4,1,1322.0942543563592,0.36724840398787756,56.458243138877265
C4,1,1331.937452456771,0.3699826256824364,56.605891110383446
C4,1,1341.937452456771,0.3727604034602142,56.56311333260567
C4,1,1401.937452456771,0.3894270701268809,57.463113332605666
C4,1,1411.937452456771,0.39220484790465865,57.420335554827886
C4,1,1459.8542325871372,0.4055150646075381,58.13908725678337
C4,1,1469.8542325871372,0.4082928423853159,58.09630947900559
C4,1,1473.9849523746425,0.4094402645485118,58.15827027581817
C4,1,1483.9849523746425,0.41221804232628956,58.11549249804039
C4,1,1523.1532974007175,0.423098138166866,58.667748528335494
C4,1,1533.1532974007175,0.42587591594464375,58.624970750557715
C4,1,1565.8403917937014,0.4349556643871393,59.11527716645247
C4,1,1575.8403917937014,0.43773344216491705,59.07249938867469
C4,1,1590.3161711921293,0.4417544919978137,59.28963607965111
C4,1,1600.3161711921293,0.44453226977559146,59.24685830187333
C4,1,1609.5541593079229,0.4470983775855341,59.3569031202862
C4,1,1749.5541593079229,0.48598726647442303,59.11801423139731
C4,1,1899.5541593079229,0.5276539331410897,58.83634756473064
C4,1,2069.554159307923,0.5748761553633119,58.46912534250842
C4,1,2110.3161711921293,0.5861989364422582,58.42634756473064
C4,1,2131.0873944055734,0.5919687206682148,58.74173453450856
C4,1,2345.308472241504,0.6514745756226401,58.54562342339745
C4,1,2418.79567755125,0.6718876882086805,58.50284564561967
C4,1,2453.425989683081,0.6815072193564113,59.051158921040326
C4,1,2726.801468693124,0.7574448524147567,58.68393669881811
C4,1,2876.801468693124,0.7991115190814234,58.402270032151435
C4,1,2903.336106296309,0.8064822517489747,58.359492254373656
C4,1,2963.336106296309,0.8231489184156414,59.20546524086691
C4,1,2973.336106296309,0.8259266961934192,59.16268746308913
C4,1,2991.8662504862555,0.8310739584684043,59.42395415343111
C4,1,3012.225889947536,0.8367294138743155,59.38117637565333
C4,1,3029.649850922563,0.8415694030340453,59.62684638069642
C4,1,3039.649850922563,0.844347180811823,59.58406860291864
C4,1,3039.649850922563,0.844347180811823,59.58406860291864
C4,1,3049.649850922563,0.8471249585896008,59.541290825140855
C4,1,3081.1685413456676,0.8558801503737965,60.01986563808097
C4,1,3231.1685413456676,0.8975468170404632,59.738198971414306
C4,1,3246.9004972142952,0.9019168047817486,59.69542119363652
C4,1,3247.560811946441,0.902100225540678,59.705447308147505
C4,1,3257.560811946441,0.9048780033184558,59.662669530369726
C4,1,3272.5756880252457,0.9090488022292349,59.8743725230066
C4,1,3282.5756880252457,0.9118265800070127,59.83159474522882
C4,1,3282.5756880252457,0.9118265800070127,59.83159474522882
C4,1,3442.5756880252457,0.9562710244514572,59.507150300784375
C4,1,3623.0296084092975,1.006397113447027,59.2254836341177
C4,1,3645.545722337753,1.0126515895382646,59.18270585633992
C4,1,3705.545722337753,1.0293182562049314,60.02867884283317
C4,1,3715.545722337753,1.0320960339827092,59.985901065055394
C4,1,3718.9273267105414,1.0330353685307059,60.033580164228496
C4,1,3738.9273267105414,1.0385909240862614,59.99080238645072
C4,1,3747.8081806348837,1.0410578279541343,60.13141590691947
C4,1,3757.8081806348837,1.043835605731912,60.08863812914169
C4,1,3764.7160276902864,1.0457544521361906,60.18603566253665
C4,1,3774.7160276902864,1.0485322299139685,60.143257884758874
C4,1,3779.3757610284547,1.0498266002856818,60.208958026898074
C4,1,3939.3757610284547,1.0942710447301263,59.88451358245362
C4,1,4109.375761028455,1.1414932669523485,59.517291360231404
C4,1,4249.375761028455,1.1803821558412375,59.27840247134252
C4,1,4409.375761028455,1.2248266002856818,58.953958026898064
C4,1,4559.375761028455,1.2664932669523485,58.6722913602314
C4,1,4627.582166170547,1.2854394906029296,58.62951358245362
C4,1,4627.582166170547,1.2854394906029296,58.62951358245362
C4,1,4637.582166170547,1.2882172683807074,58.58673580467584
C4,1,4637.582166170547,1.2882172683807074,58.58673580467584
C4,1,4647.582166170547,1.2909950461584851,58.54395802689806
C4,1,4662.889808671389,1.2952471690753857,58.773572664410686
