lambda_soc,lambda_task,lambda_kpi,effective_soc_shortage_coefficient,effective_soc_risk_coefficient,effective_task_scale,effective_kpi_risk_coefficient,mean_delay,mean_delay_std,urgent_on_time_rate,urgent_on_time_std,completion_rate,wpt_loss_kwh,fleet_min_soc,critical_soc_event_count,safety_violation_count,mean_solver_time,max_solver_time,solver_calls,infeasible_count,simulation_failure_count
0.5,0.5,1.0,100.0,3.0,0.5,30.0,5.352453835551387,9.609897667161958,83.47535476675256,10.479790460295133,97.80338839613393,6.981346911982353,21.58344737066502,88,0,0.0027286777068596213,0.06484291702508926,68111,0,0
0.5,1.0,1.0,100.0,3.0,1.0,30.0,5.352453835551387,9.609897667161958,83.47535476675256,10.479790460295133,97.80338839613393,6.981634124410806,21.558351843679688,88,0,0.002733152921273512,0.07172166602686048,68111,0,0
1.0,1.0,1.0,200.0,6.0,1.0,30.0,5.4250013303865705,9.635419161514632,83.49490346862598,10.450010910706757,97.7576898038446,7.066970383793323,21.632351112651268,94,0,0.002737077914018546,0.06928024999797344,68000,0,0
2.0,0.5,1.0,400.0,12.0,0.5,30.0,5.6525861170904825,10.196341713994174,83.4177568701709,9.994109495354877,97.60919028264321,7.212111549743389,21.638804498533933,104,0,0.002734293493396315,0.06409987498773262,67866,0,0
2.0,2.0,2.0,400.0,12.0,2.0,60.0,5.286773078865686,9.660641721897461,84.1340999425376,10.211704722058732,97.90008899151184,6.972585575516069,22.051538531094156,90,0,0.0024053912610940286,0.05937116703717038,68505,0,0
