comparison,metric,mean_difference,median_difference,standard_error,ci95_low,ci95_high,bootstrap_ci95_low,bootstrap_ci95_high,improved_replication_rate,paired_replications
refined_C5_minus_old_C5_2_2_2,mean_delay,-0.2509469173407942,0.0,0.38141213126197454,-1.0174232914655452,0.5155294567839568,-1.0456830036125189,0.375993076442611,22.0,50
refined_C5_minus_old_C5_2_2_2,urgent_on_time_rate,-0.03636412938301703,0.0,0.49582266204843833,-1.0327570730430582,0.9600288142770241,-0.9205386946290354,0.984946072560887,14.000000000000002,50
refined_C5_minus_original_C5_1_1_1,mean_delay,-0.6416626338356802,0.0,0.5297038111216028,-1.706142295678637,0.4228170280072764,-1.6764536868629296,0.35769314044094974,42.0,50
refined_C5_minus_original_C5_1_1_1,urgent_on_time_rate,0.3902501767140981,0.0,0.6289726291241952,-0.8737176436059574,1.6542179970341535,-0.7732458011177835,1.649348616650964,28.000000000000004,50
