phase,lambda_soc,lambda_task,lambda_kpi,mean_delay,mean_delay_std,urgent_on_time_rate,urgent_on_time_std,completion_rate,wpt_loss_kwh,fleet_min_soc,critical_soc_event_count,safety_violation_count,mean_solver_time,max_solver_time,solver_calls,infeasible_count,simulation_failure_count,effective_soc_shortage_coefficient,effective_soc_risk_coefficient,effective_task_scale,effective_kpi_risk_coefficient
common_scale,1.0,1.0,1.0,12.420194002957027,16.266157879827862,77.97990121230157,13.832671581910333,96.22082523771432,7.332511733229687,20.576620554698287,141,0,0.004300764867125819,0.3157002079533413,62396,0,0,200.0,6.0,1.0,30.0
common_scale,1.5,1.5,1.5,11.837511238684403,15.92582834004835,78.41989612002517,13.967724898104764,96.39780152162925,7.0754368923966675,20.79079314583103,127,0,0.004211482699854527,0.2539804159896448,62867,0,0,300.0,9.0,1.5,45.0
common_scale,2.0,2.0,2.0,12.029478286462144,15.96709845957006,78.40651551839869,14.167446144259483,96.37764499141232,7.100984618476462,21.00778283655084,133,0,0.004196896246136207,0.2349494159570895,62864,0,0,400.0,12.0,2.0,60.0
common_scale,2.5,2.5,2.5,12.4609354901025,16.010686836699,78.85167754149634,13.298586143791299,95.96882972318436,7.196761363229006,20.87261057740666,131,0,0.004205663722537401,0.26619520800886676,63131,0,0,500.0,15.0,2.5,75.0
common_scale,3.0,3.0,3.0,11.9508949053103,15.896162903892712,79.58352005539709,13.195155402066069,96.13665989992268,7.138906001727452,20.92837220726925,132,0,0.002757393669446473,0.05877875001169741,64008,0,0,600.0,18.0,3.0,90.0
common_scale,4.0,4.0,4.0,12.670694286688667,16.794002426801818,79.31940444576603,12.755740484286887,95.8315357150036,7.19349504320952,20.946769163144264,131,0,0.0027260530119655305,0.046892540995031595,63668,0,0,800.0,24.0,4.0,120.0
