w1,w2,w3,w4,w5,mean_delay,mean_delay_std,urgent_on_time_rate,urgent_on_time_std,completion_rate,wpt_loss_kwh,fleet_min_soc,critical_soc_event_count,safety_violation_count,mean_solver_time,max_solver_time,solver_calls,infeasible_count,simulation_failure_count
0.55,0.15,0.09,0.06,0.15,13.85113424702132,17.38738426740293,79.24685226779027,12.385430225507246,95.37915758711232,7.241567671316618,21.66287857339697,134,0,0.0,0.0,0,0,0
0.55,0.175,0.105,0.07,0.1,13.359315016382942,17.220391386421724,79.17898534033534,12.814053281924688,95.73443734598686,7.193070543450294,21.501884151593455,130,0,0.0,0.0,0,0,0
0.55,0.2,0.12,0.08,0.05,13.39740182953452,16.90496615720165,79.01496517975474,12.924837644085992,95.69998806223286,7.184275156905698,21.458588629856617,136,0,0.0,0.0,0,0,0
0.55,0.225,0.135,0.09,0.0,13.81076078263531,17.416932180370413,78.7540044575118,12.807359342158694,95.52323838058456,7.2549767346096505,21.52538822128968,135,0,0.0,0.0,0,0,0
