lambda_soc,lambda_task,lambda_kpi,mean_delay,mean_delay_std,urgent_on_time_rate,urgent_on_time_std,completion_rate,wpt_loss_kwh,fleet_min_soc,critical_soc_event_count,safety_violation_count,mean_solver_time,max_solver_time,solver_calls,infeasible_count,simulation_failure_count,effective_soc_shortage_coefficient,effective_soc_risk_coefficient,effective_task_scale,effective_kpi_risk_coefficient
2.0,1.0,1.5,11.791574748111874,15.873854566126862,78.4019089875362,13.992083459341918,96.42588514131754,7.065358590468472,20.782106800343655,126,0,0.0033642434237069175,0.0953141669742763,62852,0,0,400.0,12.0,1.0,45.0
2.0,1.25,1.5,11.801380465903973,15.883958265934963,78.38366490252918,14.006101287623885,96.42589280409408,7.065596599434034,20.78670687685995,126,0,0.0033591100733135083,0.11356979102129117,62840,0,0,400.0,12.0,1.25,45.0
2.0,1.5,1.0,12.404277406121913,16.013483949029094,77.8173957178094,13.970041339007988,96.24966893237715,7.240720036977096,20.612817987709192,138,0,0.003368823559944079,0.053207292046863586,62280,0,0,400.0,12.0,1.5,30.0
2.0,1.5,1.25,12.461739779210145,16.30237575819123,78.35618579802399,13.715223058146849,96.16469736010285,7.1805064750157115,20.815926800060844,128,0,0.0034100910861766787,0.10741754196351394,62666,0,0,400.0,12.0,1.5,37.5
2.0,1.5,1.5,11.77853136912135,15.822685871402207,78.37015138901566,14.030359247472747,96.43389992153179,7.066823294511397,20.779515690522153,126,0,0.003371963464239969,0.09729383297963068,62840,0,0,400.0,12.0,1.5,45.0
