scenario,strategy,replication,one_minus_soc_mean,one_minus_soc_std,one_minus_soc_min,one_minus_soc_max,E_next_mean,E_next_std,E_next_min,E_next_max,T_idle_mean,T_idle_std,T_idle_min,T_idle_max,eta_WPT_mean,eta_WPT_std,eta_WPT_min,eta_WPT_max,D_mean,D_std,D_min,D_max,score_mean,score_std,score_min,score_max,raw_E_next_kwh_mean,raw_E_next_kwh_std,raw_E_next_kwh_min,raw_E_next_kwh_max,raw_D_s_mean,raw_D_s_std,raw_D_s_min,raw_D_s_max
v3_primary_challenge,C4,1007,0.6365756284701696,0.1733678089552111,0.17182400052321553,0.9310952766678885,0.5224039829302987,0.3377736516610269,0.0,1.0,0.05626801005655892,0.06486821812907374,0.0,0.450933261673579,0.7604353978791198,0.23823957921774688,0.12370768717692188,1.0,0.011867566394066414,0.04453052797137139,0.0,0.3616483620308615,0.40368391229120804,0.10146945204387088,0.11157814068232921,0.6308948396986169,0.014275011853959223,0.0028898412419887847,0.009805555555555555,0.018361111111111113,7.120539836439848,26.718316782822807,0.0,216.9890172185169
v3_primary_challenge,C4,1008,0.5324043913033951,0.16696923495818025,0.13675686135642437,0.891950813488645,0.5013059701492536,0.36151170983946784,0.0,1.0,0.0535291453540509,0.05728814522416607,0.0,0.39269393353643356,0.7531281965609672,0.24879603920915974,0.12370768717692188,1.0,0.009699595260159769,0.03775304947876317,0.0,0.32944699779999004,0.36645008233550436,0.10705383803724074,0.06164655587388278,0.6200042802339267,0.014094506633499171,0.003092933517515445,0.009805555555555555,0.018361111111111113,5.819757156095862,22.65182968725789,0.0,197.66819867999402
v3_primary_challenge,C4,1009,0.6368888066586922,0.12704686557110847,0.20299498434236574,0.9309043182248908,0.5037167449139279,0.3643022394826866,0.0,1.0,0.05873355509939221,0.0677962370555421,0.0,0.4281850516822912,0.7678732672935321,0.2358217578646774,0.12370768717692188,1.0,0.008433780433695682,0.03856023669231185,0.0,0.3783183422705527,0.40090643213361254,0.1017690357233567,0.07898650067474458,0.6341365274508532,0.014115132150930272,0.0031168080489074337,0.009805555555555555,0.018361111111111113,5.060268260217408,23.136142015387126,0.0,226.99100536233163
v3_primary_challenge,C4,1010,0.5128166546258623,0.15051701122695485,0.13005646588047512,0.889458132309333,0.4944901008591706,0.35433532640423293,0.0,1.0,0.05316479004152143,0.06351495150109461,0.0,0.4719867125574638,0.7567082943787921,0.23532036489114033,0.12370768717692188,1.0,0.011702175392633605,0.04360058372853914,0.0,0.37860953978796413,0.35877263446813207,0.10292550702071765,0.07051907316517522,0.6177167864433448,0.014036193085128462,0.0030315355703473277,0.009805555555555555,0.018361111111111113,7.021305235580163,26.16035023712345,0.0,227.16572387277847
v3_primary_challenge,C4,1011,0.5958149574560864,0.13195310319023748,0.27105878723252425,0.9297021831480706,0.5214338507021433,0.35132717342698355,0.0,1.0,0.055637493794876425,0.06340277775659335,0.0,0.44701833862821433,0.7539191959862662,0.2487719702869808,0.12370768717692188,1.0,0.006384405982773426,0.03192812998999353,0.0,0.36966519566873707,0.39156361238366516,0.09884959740958972,0.11972301299190927,0.6426824687012094,0.014266711833785004,0.0030057991504308596,0.009805555555555555,0.018361111111111113,3.830643589664056,19.156877993996115,0.0,221.79911740124226
v3_primary_challenge,C4,1012,0.5589943609335907,0.18343244607444728,0.18741789077727042,0.9218546725687178,0.5023408239700373,0.34614933085948996,0.0,1.0,0.054536630014619766,0.0639614726119358,0.0,0.42882406596714445,0.7574197991630024,0.2456873618787149,0.12370768717692188,1.0,0.01073561136446476,0.039302601185810464,0.0,0.37918694442108974,0.3750588664181868,0.10689399037136482,0.059910860672585414,0.6313676971997721,0.014103360382854766,0.0029614998306867445,0.009805555555555555,0.018361111111111113,6.441366818678855,23.581560711486272,0.0,227.51216665265383
v3_primary_challenge,C4,1013,0.5537298829387417,0.15021316320236122,0.19045241424577108,0.9220732353841715,0.487284894837476,0.34700859733343115,0.0,1.0,0.05554767475615712,0.06879130193379417,0.0,0.630673566795069,0.7594151680684194,0.23631108830663394,0.12370768717692188,1.0,0.010488955776968525,0.040053971964735764,0.0,0.3869427637069202,0.37011606545586334,0.10383144006959791,0.12357983073591867,0.6321220688090725,0.01397454854472063,0.002968851332741577,0.009805555555555555,0.018361111111111113,6.293373466181115,24.032383178841467,0.0,232.16565822415214
v3_primary_challenge,C4,1014,0.5485050949439287,0.17785689473926225,0.10928914044622173,0.9277309784469953,0.4769250382457929,0.3520300876958881,0.0,1.0,0.04947023210928921,0.05615893716835512,0.0,0.4132375358011187,0.7602345601663658,0.23497727145050626,0.12370768717692188,1.0,0.008365097380384502,0.035747371172140135,0.0,0.3606892904944592,0.36555375940157986,0.10515347347066484,0.0935817651663871,0.6472215667434148,0.013885914216102895,0.003011812972509265,0.009805555555555555,0.018361111111111113,5.019058428230701,21.448422703284066,0.0,216.4135742966755
v3_primary_challenge,C4,1015,0.6379129382918768,0.1502288640383789,0.2768112854062217,0.9265412850609933,0.4956730769230768,0.3618765619649479,0.0,1.0,0.0511747689641329,0.05576996262796903,0.0,0.3484560619580326,0.7552749799044822,0.2334468713959198,0.12370768717692188,1.0,0.008018219623899354,0.03373540258384924,0.0,0.30057362807814797,0.3968922201286205,0.10192401064592521,0.10190790366917878,0.6183674676225058,0.014046314102564102,0.0030960550301445543,0.009805555555555555,0.018361111111111113,4.810931774339613,20.24124155030955,0.0,180.3441768468888
v3_primary_challenge,C4,1016,0.5861270295183011,0.143091205831958,0.2920563351844055,0.926663013715742,0.5108612072279891,0.3548459421386051,0.0,1.0,0.05971305092074465,0.08280685815100389,0.0,0.7878766113768829,0.7555228418387075,0.24271030070746438,0.12370768717692188,1.0,0.009005605929937814,0.03663680335901295,0.0,0.35370200891737114,0.3862615312984825,0.1026155222362632,0.11773324136753793,0.6374587614019838,0.014176256995172798,0.003035904171630289,0.009805555555555555,0.018361111111111113,5.403363557962688,21.982082015407766,0.0,212.22120535042268
