variant,replications,mean_delay,urgent_on_time_rate,completion_rate,wpt_loss,fleet_min_soc
C1,50,7.095227789646633,52.6159401993106,99.40221239432636,8.284724169017506,29.663895658717955
C2,50,4.012084485594416,72.59115278342908,99.03658041787322,8.656089475035888,19.729240106098633
C3,50,6.073480796758627,85.28789066134831,97.41822728622851,6.998926564967206,24.92186413018449
C4,50,6.48823670179084,81.92428804853742,97.35156825342608,7.394720275769419,22.331698418483548
"C5 with C4 prior
(archived)",50,6.477169803000234,82.33548730194559,97.12616257322419,7.547209185345235,21.65639361510358
"C5 no prior
20-rep ablation",20,57.013802220020864,40.30949048475842,95.64077875301703,8.313699627976538,19.680047009358024
"C5 independent
KPI-risk official",50,6.781273430539999,82.9782785767604,97.14708546270839,7.750554739198085,21.653990140012834
