scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,solver_mean_time_s,solver_median_time_s,solver_p95_time_s,solver_max_time_s,solver_mean_binary_variables,solver_mean_constraints,solver_mean_available_agv_slot_pairs,solver_mean_actual_busy_agv_slot_pairs,solver_mean_forecast_busy_agv_slot_pairs,solver_infeasible_calls,solver_time_limit_calls,solver_fallback_calls,solver_safety_slack_total,solver_reserve_slack_total,solver_task_slack_total,horizon_s,horizon_min,slot_s
horizon_300s,C5,1007,2167,2014,83.91666666666667,92.93954776188279,13.1956147991907,467.4963700322296,12.36951185057833,21.684210526315795,7.624113475177308,78.3157894736842,0.26188835783975406,183.61226502574846,0,12390.0,28.5159999999997,4.689027777777794,49.0201911776885,37.32095602692529,11.699235150763231,76.13384430028883,19.623148012783957,19.757755716705198,17.563200310220093,68.08359885790072,2.0,4,918.0613251287422,581,50.08605851979346,263,1239,,,1.6568721629446372,1232,0.0013448637686238939,0.0008835365297272801,0.00471134390681982,0.006125067011453211,9.159902597402597,50.37905844155844,9.159902597402597,0.0,7.436688311688312,0,0,0,0.0,125.70641046418262,42.419191765499356,300,5.0,60
horizon_300s,C5,1008,2146,2136,89.0,99.53401677539608,0.4281887237263722,3.571786913525769,0.011974988757186097,9.56719817767654,0.0,90.43280182232346,0.3216171243481278,0.0,0,14630.0,28.539999999999687,4.6644444444444595,29.61783523467397,23.821743948387123,5.796091286286866,80.43040201837138,24.358036555789425,23.821743948387123,0.0,41.135882270380556,2.0,4,0.0,699,43.776824034334766,317,1463,,,1.56243667867966,1463,0.0010679676545999042,0.0008826740086078644,0.001216935226693748,0.026501627056859434,9.159261790840738,50.42993848257006,9.159261790840738,0.0,7.4764183185235815,0,0,0,0.0,14.535204648001976,5.740472805135065,300,5.0,60
horizon_300s,C5,1009,2120,2119,88.29166666666667,99.95283018867924,0.452325914920881,77.55580525679277,0.04499594766446795,9.336609336609335,0.058377116170460486,90.66339066339066,0.3195584684748628,0.0,0,14180.0,28.333999999999712,4.617638888888904,32.95895134904937,26.984852340403165,5.974099008646228,81.87412291920958,19.913009589846308,23.480502819895484,3.5043495205076844,45.77632131812416,2.0,4,0.0,677,45.49483013293944,311,1418,,,1.8562985447933897,1417,0.0013100201445260338,0.0008911628974601626,0.004725683783181012,0.006630953983403742,9.124911785462244,50.1651376146789,9.124911785462244,0.0,7.294283697953423,0,0,0,0.0,77.90850901999882,28.364131435021307,300,5.0,60
horizon_300s,C5,1010,2162,2153,89.70833333333333,99.58371877890842,0.4032687898204915,4.418069406834669,0.011896557311936399,7.744874715261963,0.0,92.25512528473804,0.31724210487335097,0.0,0,15150.0,29.03799999999967,4.719027777777796,29.592842245593634,23.9304680060161,5.662374239577565,80.86573032564772,21.77217535315861,23.9304680060161,0.0,41.10116978554675,2.0,4,0.0,687,41.04803493449782,332,1515,,,1.5698153912089765,1515,0.001036181776375562,0.0008694919524714351,0.0012004569289274512,0.005511963041499257,8.834983498349835,48.842244224422444,8.834983498349835,0.0,7.31023102310231,0,0,0,0.0,36.62271565767895,13.648488817157215,300,5.0,60
horizon_300s,C5,1011,2201,1939,80.79166666666667,88.09631985461154,29.76545881178042,379.8112771849764,28.47303518332929,30.069930069930074,18.51015801354402,69.93006993006993,0.26714259897928866,134.78455235131207,0,11320.0,28.761999999999748,4.748611111111121,43.72866436745606,35.77837848981085,7.950285877645218,81.81905166176992,19.6758843858376,18.239247037329367,17.539131452481485,60.73425606591121,2.0,4,673.9227617565604,560,50.357142857142854,249,1132,,,1.3822202667361125,1121,0.001233024323582616,0.00090823695063591,0.00462148105725646,0.006877014995552599,9.161462979482605,50.387154326494205,9.161462979482605,0.0,7.407671721677074,0,0,0,0.0,181.64559743464656,58.6236068474788,300,5.0,60
horizon_900s,C5,1007,2167,2007,83.625,92.61652053530226,13.795020345810745,509.49022166795646,12.93706300897001,22.10526315789474,8.21513002364066,77.89473684210526,0.2567807984382473,169.4385464107068,0,12310.0,28.499999999999698,4.6879166666666805,50.85891256223098,37.117372693591946,13.741539868639045,72.98105842938566,19.596905952207024,19.559878678064646,17.557494015527297,70.63737855865415,2.0,4,847.1927320535341,578,49.13494809688581,262,1231,,,4.214853930403478,1226,0.003437890644701043,0.003188147966284305,0.00701661323546432,0.009809897979721427,27.5163132137031,139.37194127243066,27.5163132137031,0.0,23.62153344208809,0,0,0,0.0,311.7470491827818,99.23866823123964,900,15.0,60
horizon_900s,C5,1008,2146,2136,89.0,99.53401677539608,0.4281887237263722,3.571786913525769,0.011974988757186097,9.56719817767654,0.0,90.43280182232346,0.3216171243481277,0.0,0,14630.0,28.539999999999687,4.6644444444444595,29.61783523467397,23.891023971997605,5.726811262676387,80.6643152097358,24.358036555789425,23.891023971997605,0.0,41.13588227038054,2.0,4,0.0,699,44.20600858369099,317,1463,,,3.1925391065888107,1463,0.0021821866757271435,0.001471316092647612,0.005920289165806022,0.011830711970105767,27.477785372522213,139.21736158578264,27.477785372522213,0.0,23.493506493506494,0,0,0,0.0,39.45516843614544,13.641889634451351,900,15.0,60
horizon_900s,C5,1009,2120,2120,88.33333333333333,100.0,0.4122889213091797,4.0288304580807255,0.011007360279188347,9.336609336609335,0.0,90.66339066339066,0.3276505622905711,0.0,0,14580.0,28.413999999999703,4.623194444444461,30.045797575394374,24.184984714705568,5.860812860688839,80.49373511892244,21.15900074945295,24.184984714705568,0.0,41.73027441027001,2.0,4,0.0,696,47.270114942528735,320,1458,,,4.7689505205489695,1458,0.003270885130692023,0.0023584990412928164,0.007064243825152515,0.014496232965029776,27.366255144032923,138.44444444444446,27.366255144032923,0.0,22.99108367626886,0,0,0,0.0,230.6415402834623,76.10473949537518,900,15.0,60
horizon_900s,C5,1010,2162,2153,89.70833333333333,99.58371877890842,0.4032687898204915,4.418069406834669,0.011896557311936399,7.744874715261963,0.0,92.25512528473804,0.31724210487335097,0.0,0,15150.0,29.03799999999967,4.719027777777796,29.592842245593634,23.9304680060161,5.662374239577565,80.86573032564772,21.77217535315861,23.9304680060161,0.0,41.10116978554675,2.0,4,0.0,687,41.04803493449782,332,1515,,,3.348697449779138,1515,0.00221036135298953,0.0014666829956695437,0.005763700697571038,0.008831154089421034,26.504950495049506,134.819801980198,26.504950495049506,0.0,22.93003300330033,0,0,0,0.0,69.19169687726182,25.049230356806856,900,15.0,60
horizon_900s,C5,1011,2201,1955,81.45833333333333,88.82326215356656,33.712017024582615,328.6614382869867,32.17252343852276,34.96503496503497,25.73363431151241,65.03496503496503,0.2767643603666337,123.54707033399835,0,10050.0,28.50799999999978,4.730972222222229,40.26483026801188,33.535600712033066,6.729229555978814,83.28757500978514,19.690045789705117,15.991845070814755,17.543755641218315,55.92337537223872,2.0,4,617.7353516699917,490,48.36734693877551,219,1005,,,3.1772231437498704,1000,0.0031772231437498704,0.002246932010166347,0.006685419171117246,0.009093416971154511,27.225,138.187,27.225,0.0,23.354,0,0,0,0.0,192.71467842248023,66.57466192890392,900,15.0,60
horizon_1800s,C5,1007,2167,2020,84.16666666666667,93.21642824180896,10.994771886616414,397.4077874286173,10.16446841603676,21.894736842105267,7.683215130023646,78.10526315789474,0.2713017734801648,136.68309740826027,0,12310.0,28.4999999999997,4.6879166666666805,45.63136154714064,37.19331713803639,8.438044409104261,81.50823441814877,19.626711613655033,19.64128017052291,17.552036967513484,63.37689103769537,2.0,4,683.4154870413014,578,47.05882352941176,262,1231,,,7.760659590479918,1226,0.006330064918825382,0.005713163467589766,0.014953172270907089,0.03577081207185984,55.0326264274062,272.99755301794454,55.0326264274062,0.0,48.31810766721044,0,0,0,0.0,524.8217736536677,166.04870779612492,1800,30.0,60
horizon_1800s,C5,1008,2146,2136,89.0,99.53401677539608,0.4281887237263722,3.571786913525769,0.011974988757186097,9.56719817767654,0.0,90.43280182232346,0.3216171243481278,0.0,0,14630.0,28.539999999999687,4.6644444444444595,29.61783523467397,23.770630909501513,5.847204325172481,80.25782681670448,23.484636677394537,23.770630909501513,0.0,41.13588227038054,2.0,4,0.0,699,44.20600858369099,317,1463,,,6.700923459837213,1463,0.004580262105151889,0.0033257260220125318,0.011129886121489107,0.03664336691144854,54.955570745044426,272.2412850307587,54.955570745044426,0.0,47.35338345864662,0,0,0,0.0,63.13417728125726,19.606871026055728,1800,30.0,60
