scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,workload,n_pads,wpt_power_kw
v3_stress_w90_p2_kw3,C1,1042,2196,2168,90.33333333333333,98.72495446265937,4.63319354121546,110.59836906597363,2.837370944328041,39.951573849878926,23.7801458216489,60.048426150121074,0.2841082660672652,1.6373700376955216,0,150.0,26.235999999999898,4.566944444444438,38.12102421578456,30.113408818975252,8.007615396809307,78.99422808925046,29.653888888888787,0.0,30.113408818975252,26.472933483183724,0.0,0,8.186850188477608,0,0.0,0,15,0.3,0.7,0.0,0,90,2,3
v3_stress_w90_p2_kw3,C2,1042,2196,2193,91.375,99.86338797814209,0.5879725617083336,7.94636171282303,0.047916883569680296,14.28571428571429,0.9534492428491359,85.71428571428571,0.26298833120814524,1.4210854715202004e-16,0,23460.0,30.89799999999954,4.890694444444472,45.724200765067735,36.600533911246416,9.123666853821316,80.04630654847531,45.57511367060039,36.600533911246416,0.0,31.75291719796369,1.5,3,7.105427357601002e-16,432,50.92592592592593,546,2346,,,0.0,0,90,2,3
v3_stress_w90_p2_kw3,C3,1042,2196,2193,91.375,99.86338797814209,0.5879725617083336,7.94636171282303,0.047916883569680296,14.28571428571429,0.9534492428491359,85.71428571428571,0.2628663099718618,1.4210854715202004e-16,0,23450.0,30.89599999999954,4.890555555555583,45.76812841012975,36.989659275525966,8.778469134603787,80.8196895098274,55.4954427617462,36.989659275525966,0.0,31.783422507034544,1.5,3,7.105427357601002e-16,435,68.50574712643677,546,2345,,,0.0,0,90,2,3
v3_stress_w90_p2_kw3,C4,1042,2196,2193,91.375,99.86338797814209,0.5879725617083336,7.94636171282303,0.047916883569680296,14.28571428571429,0.9534492428491359,85.71428571428571,0.26286630997186183,1.4210854715202004e-16,0,23450.0,30.895999999999542,4.890555555555583,45.76812841012976,37.03739557468002,8.730732835449727,80.92398981838771,52.58222133180064,37.03739557468002,0.0,31.783422507034544,1.5,3,7.105427357601002e-16,435,53.103448275862064,546,2345,,,0.0,0,90,2,3
v3_stress_w90_p2_kw3,C1,1043,2134,2128,88.66666666666667,99.71883786316776,3.873886610445259,94.68231312763037,2.0721274200580804,39.33649289099526,24.532710280373838,60.66350710900474,0.31132033381489344,9.442583101722837,0,140.0,25.643999999999906,4.448333333333331,34.524679826638334,28.122133042870395,6.40254678376794,81.45515956724991,29.689444444444373,0.0,28.122133042870395,23.97547210183218,0.0,0,47.21291550861418,0,0.0,0,14,0.3,0.7,0.0,0,90,2,3
v3_stress_w90_p2_kw3,C2,1043,2134,2130,88.75,99.81255857544518,0.41367577179157616,3.564506113807147,0.00836267984213764,8.056872037914697,0.0,91.9431279620853,0.2687918886737716,0.0,0,24770.0,30.56999999999955,4.790416666666696,49.83492007744225,40.137238568989225,9.69768150845303,80.54038916209143,50.46004398063093,40.137238568989225,0.0,34.60758338711267,1.5,3,0.0,462,40.476190476190474,554,2477,,,0.0,0,90,2,3
v3_stress_w90_p2_kw3,C3,1043,2134,2130,88.75,99.81255857544518,0.4139424184228625,3.564506113807147,0.008376360989774881,8.056872037914697,0.0,91.9431279620853,0.26781531378501505,0.0,0,24650.0,30.54599999999955,4.788750000000029,50.18648703739463,40.35397277119147,9.832514266203146,80.4080443827901,52.737249997463955,40.35397277119147,0.0,34.851727109301805,1.5,3,0.0,467,63.38329764453962,550,2465,,,0.0,0,90,2,3
v3_stress_w90_p2_kw3,C4,1043,2134,2130,88.75,99.81255857544518,0.4138978283723012,3.564506113807147,0.008376360989774881,8.056872037914697,0.0,91.9431279620853,0.26817372630979375,0.0,0,24730.0,30.561999999999546,4.78986111111114,50.057458528474264,40.6085644093113,9.448894119162958,81.12390361610521,51.87708823420487,40.6085644093113,0.0,34.76212397810711,1.5,3,0.0,465,53.118279569892465,554,2473,,,0.0,0,90,2,3
v3_stress_w90_p2_kw3,C1,1044,2171,2165,90.20833333333333,99.72362966374942,2.357890293852105,98.02418880495776,0.9570595572830838,36.29629629629629,14.665911664779163,63.70370370370371,0.3014480450248846,0.1566215843231718,0,130.0,26.0379999999999,4.521944444444439,34.37870379104153,26.13894504300164,8.239758748039893,76.03237516422297,29.62847253610732,0.0,26.13894504300164,23.874099854889955,0.0,0,0.783107921615859,0,0.0,0,13,0.3,0.7,0.0,0,90,2,3
v3_stress_w90_p2_kw3,C2,1044,2171,2166,90.25,99.76969138645785,0.4599553945744763,5.193132172643891,0.016709888215524136,12.592592592592588,0.0,87.4074074074074,0.26703169303074437,0.0,0,24300.0,30.871999999999524,4.857638888888919,46.76859050893202,37.62838662285487,9.140203886077165,80.45653335579671,34.08538343035326,37.62838662285487,0.0,32.47818785342503,1.5,3,0.0,449,31.180400890868597,583,2430,,,0.0,0,90,2,3
v3_stress_w90_p2_kw3,C3,1044,2171,2166,90.25,99.76969138645785,0.4600861940832881,5.193132172643891,0.016709888215524136,12.592592592592588,0.0,87.4074074074074,0.2663415455989811,0.0,0,24240.0,30.85999999999953,4.856805555555585,47.017043584366775,37.87452643215012,9.142517152216673,80.55488721699092,49.31508927210301,37.87452643215012,0.0,32.650724711365825,1.5,3,0.0,459,58.605664488017425,584,2424,,,0.0,0,90,2,3
v3_stress_w90_p2_kw3,C4,1044,2171,2166,90.25,99.76969138645785,0.4600861940832881,5.193132172643891,0.016709888215524136,12.592592592592588,0.0,87.4074074074074,0.26634154559898116,0.0,0,24240.0,30.859999999999527,4.856805555555585,47.01704358436678,38.00878718964453,9.00825639472227,80.84044485153996,49.31508927210301,38.00878718964453,0.0,32.650724711365825,1.5,3,0.0,459,44.88017429193899,584,2424,,,0.0,0,90,2,3
