strategy,metric,old_mean,new_mean,diff
C1,mean_delay,7.095227789646633,7.095227789646633,0.0
C1,urgent_on_time_rate,52.6159401993106,52.6159401993106,0.0
C1,completion_rate,99.40221239432636,99.40221239432636,0.0
C1,wpt_loss,8.284724169017506,8.284724169017506,0.0
C1,fleet_min_soc,29.663895658717955,29.663895658717955,0.0
C1,charging_wait,40.96955580155713,40.96955580155713,0.0
C2,mean_delay,4.012084485594416,4.012084485594416,0.0
C2,urgent_on_time_rate,72.59115278342908,72.59115278342908,0.0
C2,completion_rate,99.03658041787322,99.03658041787322,0.0
C2,wpt_loss,8.656089475035888,8.656089475035888,0.0
C2,fleet_min_soc,19.729240106098633,19.729240106098633,0.0
C2,charging_wait,25.505780584246768,25.505780584246768,0.0
C3,mean_delay,6.073480796758627,6.073480796758627,0.0
C3,urgent_on_time_rate,85.28789066134831,85.28789066134831,0.0
C3,completion_rate,97.41822728622851,97.41822728622851,0.0
C3,wpt_loss,6.998926564967206,6.998926564967206,0.0
C3,fleet_min_soc,24.92186413018449,24.92186413018449,0.0
C3,charging_wait,54.85961125603084,54.85961125603084,0.0
C4,mean_delay,6.48823670179084,6.48823670179084,0.0
C4,urgent_on_time_rate,81.92428804853742,81.92428804853742,0.0
C4,completion_rate,97.35156825342608,97.35156825342608,0.0
C4,wpt_loss,7.394720275769419,7.394720275769419,0.0
C4,fleet_min_soc,22.331698418483548,22.331698418483548,0.0
C4,charging_wait,48.659104948990944,48.659104948990944,0.0
