w1,w2,w3,w4,w5,mean_delay,urgent_on_time_rate,mean_delay_std,urgent_on_time_std
0.1,0.4,0.24000000000000005,0.16,0.1,7.3908617675152595,78.949757871945,8.96538926103612,12.439233116649211
0.1,0.35,0.20999999999999996,0.13999999999999999,0.2,7.123457513946071,80.1261526701919,9.234390641742985,11.912777647980375
0.1,0.30000000000000004,0.18000000000000002,0.12000000000000002,0.3,7.471433705676245,80.079991639288,9.799679009980533,11.598890172087104
0.1,0.25,0.15,0.1,0.4,6.790155832157162,80.55961255441731,9.651301207647284,11.299169025296633
0.1,0.2,0.12000000000000002,0.08,0.5,7.763658190076764,81.38177293143691,10.720815031015345,10.057751305325732
0.1,0.15000000000000002,0.09000000000000001,0.06000000000000001,0.6,6.969970898836736,81.11410839156187,10.00518125279197,10.973310971494959
0.2,0.35000000000000003,0.21000000000000002,0.14,0.1,7.452513262664195,81.08547890111386,10.04909545692572,10.481373236982746
0.2,0.30000000000000004,0.18000000000000002,0.12000000000000002,0.2,7.130689975505021,81.05153594668552,9.585842065667856,11.739295816334868
0.2,0.25,0.15,0.1,0.3,7.37164814127991,81.55219529523121,10.43058542874451,10.579930578402045
0.2,0.2,0.12000000000000002,0.08,0.4,7.378576509045859,81.90456669296682,10.479646028007629,10.382730640601828
0.2,0.15000000000000002,0.09000000000000001,0.06000000000000001,0.5,7.199988981375002,82.67828934554369,10.57967804176174,9.716191695540244
0.2,0.10000000000000005,0.06000000000000002,0.040000000000000015,0.6,7.231917732579539,83.17058512994726,10.860726214064464,9.495677324646726
0.3,0.3,0.18,0.12,0.1,7.033331975043111,82.51714041878006,10.17161317642624,9.987125379911003
0.3,0.24999999999999994,0.14999999999999997,0.09999999999999999,0.2,6.892359722158696,82.75940807422867,10.119297368661885,9.907724380170105
0.3,0.19999999999999998,0.12,0.07999999999999999,0.3,7.322045169402795,82.68884617951043,10.916217984915752,9.823260254764328
0.3,0.14999999999999997,0.08999999999999998,0.059999999999999984,0.4,7.05410151357613,83.38215700676314,10.792356255023067,9.089667810114221
0.3,0.09999999999999998,0.059999999999999984,0.039999999999999994,0.5,6.957276651955071,83.78522406437197,11.001419608191988,9.00853242109028
0.4,0.25,0.15,0.1,0.1,7.163635023387383,82.9451058158685,10.751127780966666,9.40515395519752
0.4,0.19999999999999998,0.12,0.07999999999999999,0.2,7.0375291122211,83.01605599876956,10.735455107801151,9.797330302572103
0.4,0.15,0.09,0.06,0.3,7.210793303899035,83.35284708635403,11.123415442878244,9.225426378187477
0.4,0.09999999999999998,0.059999999999999984,0.039999999999999994,0.4,6.7696029565795355,84.18571533344034,10.959005670186693,8.83961016125598
0.5,0.2,0.12000000000000002,0.08,0.1,7.000327215504491,83.56964892479644,10.97307422981098,9.157585094223883
0.5,0.15,0.09,0.06,0.2,6.9499004420605965,83.64864803027261,10.785194288927082,9.115722891605053
0.5,0.1,0.06000000000000001,0.04,0.3,7.009248487787241,84.08795436169163,11.365841503456256,8.804443058492076
0.6,0.15000000000000002,0.09000000000000001,0.06000000000000001,0.1,6.872084767293918,84.11509101878244,11.144849729494647,8.832300842421903
0.6,0.1,0.06000000000000001,0.04,0.2,6.747296394153754,84.43500193180617,11.24517945265231,8.695145779778967
