agv_number,workload,pads,completion_rate,stop_free_fraction,mean_delay,feasible
3,45,1,99.808613708833,1.0,0.4529034188360357,True
3,45,2,99.808613708833,1.0,0.45313184857613487,True
3,45,3,99.808613708833,1.0,0.4528715594750203,True
3,45,4,99.808613708833,1.0,0.4528715594750203,True
3,45,5,99.808613708833,1.0,0.4528715594750203,True
3,75,1,76.2441353263829,1.0,224.74498634911262,False
3,75,2,78.15294446297237,1.0,200.55901038341082,False
3,75,3,78.72736554283678,1.0,194.0537881138913,False
3,75,4,78.72736554283678,1.0,194.0537881138913,False
3,75,5,78.72736554283678,1.0,194.0537881138913,False
3,105,1,54.12672173975404,1.0,603.411564169682,False
3,105,2,55.92373459111741,1.0,568.0306781189774,False
3,105,3,56.29536324414361,1.0,562.1735332079551,False
3,105,4,56.29536324414361,1.0,562.1735332079551,False
3,105,5,56.29536324414361,1.0,562.1735332079551,False
5,45,1,99.86308983354702,1.0,0.023678470470864705,True
5,45,2,99.86308983354702,1.0,0.02404943996210676,True
5,45,3,99.86308983354702,1.0,0.02414006711744399,True
5,45,4,99.86308983354702,1.0,0.02415156920088979,True
5,45,5,99.86308983354702,1.0,0.024164712221276474,True
5,75,1,98.67729360190958,1.0,11.744695199558484,False
5,75,2,99.75949951107005,1.0,0.19240182370118444,True
5,75,3,99.75949951107005,1.0,0.19301389496415508,True
5,75,4,99.75949951107005,1.0,0.19303655537147027,True
5,75,5,99.75949951107005,1.0,0.1930169265559111,True
5,105,1,84.8471962297717,1.0,140.8575496652496,False
5,105,2,90.03238949709306,1.0,81.25559662468855,False
5,105,3,91.50521047203284,1.0,65.48276260787563,False
5,105,4,91.96736655180241,1.0,60.002295035306474,False
5,105,5,91.4801446041076,1.0,64.7468804119465,False
7,45,1,99.86146032432617,1.0,0.0013526206812246187,True
7,45,2,99.86146032432617,1.0,0.001541364070599525,True
7,45,3,99.86146032432617,1.0,0.0016372800466455029,True
7,45,4,99.86146032432617,1.0,0.0016797582015591727,True
7,45,5,99.86146032432617,1.0,0.0017406268667153292,True
7,75,1,99.42689661434294,1.0,0.48575436270377065,True
7,75,2,99.80055612085827,1.0,0.02042517186435094,True
7,75,3,99.80055612085827,1.0,0.021314485167212304,True
7,75,4,99.80055612085827,1.0,0.02160680837180336,True
7,75,5,99.80055612085827,1.0,0.02165759976399494,True
7,105,1,87.11972258701253,1.0,111.98255771253984,False
7,105,2,99.28966730004909,1.0,4.976118316494603,True
7,105,3,99.77673035501294,1.0,0.12136347447324958,True
7,105,4,99.77673035501294,1.0,0.12693526180885614,True
7,105,5,99.77673035501294,1.0,0.13185323718147354,True
10,45,1,99.78587835417947,1.0,1.8784544908479807e-06,True
10,45,2,99.78587835417947,1.0,1.2196745048782023e-05,True
10,45,3,99.78587835417947,1.0,1.2827399605266192e-05,True
10,45,4,99.78587835417947,1.0,2.4132313279642423e-05,True
10,45,5,99.78587835417947,1.0,4.2136562389749934e-05,True
10,75,1,99.8236170101389,1.0,0.0004583017840622749,True
10,75,2,99.8236170101389,1.0,0.0006802767072502685,True
10,75,3,99.8236170101389,1.0,0.0009841523584645433,True
10,75,4,99.8236170101389,1.0,0.0011823680002593531,True
10,75,5,99.8236170101389,1.0,0.001346895828768756,True
10,105,1,91.76404532739294,1.0,59.26735197335483,False
10,105,2,99.81657867180492,1.0,0.007339481344850606,True
10,105,3,99.81657867180492,1.0,0.008972698080661928,True
10,105,4,99.81657867180492,1.0,0.010187859786450315,True
10,105,5,99.81657867180492,1.0,0.010911522365839282,True
