strategy,agv_id,time_h,soc
C1,1,0.0,52.13674812382657
C1,1,0.07841584231365077,51.855081457159905
C1,1,0.12286028675809521,51.53063701271545
C1,1,0.203864813626118,51.334525901604344
C1,1,0.29007163291651866,51.09563701271546
C1,1,0.3663534795347029,50.72841479049324
C1,1,0.4762536403410086,50.489525901604345
C1,1,0.5663912417090116,50.1650814571599
C1,1,0.6198533213343851,49.840637012715455
C1,1,0.6670755435566073,49.47341479049323
C1,1,0.7745472685249458,49.277303679382115
C1,1,0.8741171639776234,48.99563701271545
C1,1,0.9340255241051146,48.79952590160433
C1,1,1.0515499503075212,48.51785923493767
C1,1,1.1186313817599252,48.32174812382655
C1,1,1.1993432028030995,48.040081457159886
C1,1,1.284164771146027,47.71563701271544
C1,1,1.3313869933682492,47.348414790493216
C1,1,1.3730536600349157,47.06674812382655
C1,1,1.4147203267015824,46.785081457159876
C1,1,1.4746227230548727,46.50341479049321
C1,1,1.5630829442790712,46.136192568270985
C1,1,1.5991940553901824,45.94008145715987
C1,1,1.6605417097268411,45.743970346048755
C1,1,1.7274302820480518,45.50508145715987
C1,1,1.7911327696437964,45.2234147904932
C1,1,1.8948990307156162,44.85619256827098
C1,1,1.9421212529378382,44.48897034604875
C1,1,1.9810101418267272,44.250081457159865
C1,1,2.058040717488161,43.92563701271542
C1,1,2.1008993153746243,43.64397034604875
C1,1,2.17924409425789,43.31952590160431
C1,1,2.219035480814263,43.12341479049319
C1,1,2.3111344091768466,42.79897034604875
C1,1,2.40010647158792,42.56008145715986
C1,1,2.4450731248804356,42.27841479049319
C1,1,2.4895175693248803,41.95397034604875
C1,1,2.5442640766043167,41.757859234937634
C1,1,2.6115558910626655,41.47619256827097
C1,1,2.692621958811819,41.15174812382652
C1,1,2.78426365244223,40.82730367938208
C1,1,2.825930319108897,40.54563701271541
C1,1,2.9396419201907413,40.26397034604874
C1,1,2.9868641424129634,39.89674812382651
C1,1,3.0257530313018526,39.657859234937625
C1,1,3.0618641424129636,39.46174812382651
C1,1,3.1081702674549114,39.180081457159844
C1,1,3.1586705690659977,38.81285923493762
C1,1,3.2104453155382404,38.53119256827095
C1,1,3.312113385887192,38.33508145715984
C1,1,3.488060323216824,38.01063701271539
C1,1,3.5396049553331492,37.771748123826505
C1,1,3.598657487237877,37.49008145715983
C1,1,3.67124052624687,37.251192568270945
C1,1,3.707351637357981,37.05508145715983
C1,1,3.759824880418044,36.85897034604872
C1,1,3.8717682756313723,36.662859234937606
C1,1,3.9450177568231704,36.42397034604872
C1,1,4.032023276734383,36.142303679382046
C1,1,4.0737730349957335,35.90341479049316
C1,1,4.109884146106845,35.70730367938204
C1,1,4.158635172640218,35.42563701271538
C1,1,4.217744790239346,35.14397034604871
C1,1,4.306367328591168,34.947859234937596
C1,1,4.362252433063496,34.58063701271537
C1,1,4.3983635441746065,34.384525901604256
C1,1,4.4400302108412735,34.10285923493759
C1,1,4.484474655285718,33.778414790493144
C1,1,4.528068807429681,33.53952590160426
C1,1,4.606453956940781,33.17230367938203
C1,1,4.722979052793467,32.80508145715981
C1,1,4.7702012750156895,32.437859234937584
C1,1,4.817423497237911,32.07063701271536
C1,1,4.8535346083490225,31.874525901604244
C1,1,4.8952012750156895,31.592859234937578
C1,1,5.010819715704168,31.268414790493132
C1,1,5.091392326361533,30.986748123826462
C1,1,5.136765837995559,30.79063701271535
C1,1,5.203338151027267,30.466192568270905
C1,1,5.2422270399161555,30.22730367938202
C1,1,5.281115928805044,29.988414790493128
C1,1,5.322782595471711,29.70674812382646
C1,1,5.358893706582823,29.510637012715346
C1,1,5.406115928805044,29.14341479049312
C1,1,5.450560373249489,28.81897034604868
C1,1,5.497043469192732,28.53730367938201
C1,1,5.551259382600129,28.25563701271534
C1,1,5.604253846419521,28.059525901604225
C1,1,5.661715521161426,27.77785923493756
C1,1,5.755605993604834,27.410637012715334
C1,1,5.797272660271501,27.128970346048664
C1,1,5.8631831810208865,26.80452590160422
C1,1,5.910193890153906,26.56563701271533
C1,1,5.946305001265017,26.36952590160422
C1,1,5.994559444849581,26.173414790493105
C1,1,6.0951710385549935,25.934525901604218
C1,1,6.166044760753618,25.610081457159772
C1,1,6.220064805759479,25.371192568270885
C1,1,6.264509250203924,25.04674812382644
C1,1,6.347140328071993,24.765081457159773
C1,1,6.389043881168199,24.526192568270886
C1,1,6.427932770057088,24.287303679381996
C1,1,6.478083732572034,24.04841479049311
C1,1,6.519750399238701,23.766748123826442
C1,1,6.575564081661389,23.485081457159776
C1,1,6.617700395747663,23.288970346048664
C1,1,6.669083746661629,23.092859234937553
C1,1,6.732679947159761,22.76841479049311
C1,1,6.7749032588527465,22.486748123826445
C1,1,6.821208119842038,22.247859234937557
C1,1,6.863669369746195,22.008970346048667
C1,1,6.9141861064952765,21.727303679382
C1,1,6.966932722297709,21.445637012715334
C1,1,7.033265151838744,21.206748123826447
C1,1,7.0783920186315195,20.882303679382
C1,1,7.122836463075965,20.55785923493756
C1,1,7.174017059612126,20.276192568270893
C1,1,7.289789505835361,19.908970346048672
C1,1,7.3299086268955085,19.866192568270893
C1,1,9.189020441564807,90.0
C1,1,9.225131552675919,89.80388888888889
C1,1,9.264020441564808,89.56500000000001
C1,1,9.308464886009252,89.24055555555556
C1,1,9.344575997120364,89.04444444444445
C1,1,9.38624266378703,88.76277777777779
C1,1,9.433464886009252,88.39555555555556
C1,1,9.477909330453697,88.07111111111111
C1,1,9.516798219342585,87.83222222222223
C1,1,9.56124266378703,87.50777777777778
C1,1,9.602909330453697,87.22611111111111
C1,1,9.639020441564808,87.03
C1,1,9.703080774662293,86.74833333333332
C1,1,9.7713877497592,86.46666666666665
C1,1,9.81860997198142,86.09944444444444
C1,1,9.85974237458098,85.86055555555555
C1,1,9.895853485692092,85.66444444444444
C1,1,9.9493723536193,85.29722222222222
C1,1,10.008053906436535,84.93
C1,1,10.063798793223489,84.56277777777778
C1,1,10.108243237667933,84.23833333333334
C1,1,10.155465459890156,83.87111111111112
C1,1,10.202687682112378,83.5038888888889
C1,1,10.241576571001266,83.26500000000001
C1,1,10.277687682112377,83.0688888888889
C1,1,10.313798793223489,82.8727777777778
C1,1,10.361021015445711,82.50555555555557
C1,1,10.402687682112377,82.22388888888891
C1,1,10.441576571001265,81.98500000000001
C1,1,10.480465459890155,81.74611111111113
C1,1,10.516576571001266,81.55000000000003
C1,1,10.552687682112378,81.35388888888892
C1,1,10.594354348779044,81.07222222222225
C1,1,10.63602101544571,80.79055555555557
C1,1,10.6749099043346,80.55166666666669
C1,1,10.716576571001266,80.27000000000002
C1,1,10.752687682112377,80.07388888888892
C1,1,10.7999099043346,79.70666666666669
C1,1,10.841576571001266,79.42500000000003
C1,1,10.877687682112377,79.22888888888892
C1,1,10.916576571001267,78.99000000000002
C1,1,10.961021015445711,78.66555555555557
C1,1,11.008243237667934,78.29833333333336
C1,1,11.055465459890154,77.93111111111114
C1,1,11.097132126556822,77.64944444444447
C1,1,11.13602101544571,77.41055555555559
C1,1,11.180465459890154,77.08611111111114
C1,1,11.2249099043346,76.76166666666668
C1,1,11.26102101544571,76.56555555555558
C1,1,11.308243237667932,76.19833333333335
C1,1,11.3499099043346,75.91666666666669
C1,1,11.38602101544571,75.72055555555558
C1,1,11.4249099043346,75.4816666666667
C1,1,11.461021015445711,75.28555555555559
C1,1,11.499909904334599,75.0466666666667
C1,1,11.547132126556821,74.67944444444447
C1,1,11.58879879322349,74.3977777777778
C1,1,11.627687682112377,74.15888888888892
C1,1,11.663798793223489,73.96277777777782
C1,1,11.702687682112378,73.72388888888892
C1,1,11.749909904334599,73.3566666666667
C1,1,11.78602101544571,73.16055555555559
C1,1,11.827687682112378,72.87888888888892
C1,1,11.872132126556822,72.55444444444447
C1,1,11.908243237667932,72.35833333333336
C1,1,11.9499099043346,72.0766666666667
C1,1,11.991576571001266,71.79500000000003
C1,1,12.03602101544571,71.47055555555558
C1,1,12.0749099043346,71.2316666666667
C1,1,12.113798793223488,70.9927777777778
C1,1,12.155465459890156,70.71111111111114
C1,1,12.1999099043346,70.38666666666668
C1,1,12.236021015445711,70.19055555555558
C1,1,12.280465459890156,69.86611111111112
C1,1,12.327687682112378,69.49888888888891
C1,1,12.369354348779044,69.21722222222225
C1,1,12.416576571001267,68.85000000000002
C1,1,12.461021015445711,68.52555555555557
C1,1,12.508243237667934,68.15833333333336
C1,1,12.544354348779043,67.96222222222225
C1,1,12.591576571001266,67.59500000000003
C1,1,12.630465459890155,67.35611111111113
C1,1,12.6749099043346,67.0316666666667
C1,1,12.71379879322349,66.7927777777778
C1,1,12.76102101544571,66.42555555555558
C1,1,12.805465459890154,66.10111111111114
C1,1,12.847132126556822,65.81944444444446
C1,1,12.88602101544571,65.58055555555558
C1,1,12.927687682112378,65.29888888888891
C1,1,12.96379879322349,65.1027777777778
C1,1,13.008243237667934,64.77833333333335
C1,1,13.047132126556821,64.53944444444446
C1,1,13.086021015445711,64.30055555555558
C1,1,13.127687682112377,64.01888888888891
C1,1,13.166576571001267,63.780000000000015
C1,1,13.205465459890155,63.54111111111113
C1,1,13.241576571001266,63.34500000000002
C1,1,13.288798793223489,62.9777777777778
C1,1,13.330465459890155,62.69611111111113
C1,1,13.369354348779044,62.45722222222224
C1,1,13.408243237667932,62.218333333333355
C1,1,13.4499099043346,61.93666666666668
C1,1,13.494354348779044,61.612222222222236
C1,1,13.53602101544571,61.33055555555556
C1,1,13.572132126556822,61.134444444444455
