scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,case,seed
eta_corrected,C4,1007,2167,2008,83.66666666666667,92.66266728195663,12.595392876874739,384.64587045694617,11.751304612330218,21.684210526315795,8.21513002364066,78.3157894736842,0.27447939396489535,147.5698750479822,0,12310.0,28.4999999999997,4.6879166666666805,44.48741817263766,37.083678249147496,7.403739923490178,83.35767678232249,19.785713068498524,19.53450371230022,17.549174536847275,61.78808079533012,2.0,4,737.8493752399111,578,34.94809688581315,262,1231,"C4-Fixed scheduler
assumes η=90%",1007
eta_corrected,C4,1007,2167,2061,85.875,95.10844485463775,6.754705389535187,351.8382207446101,5.990927432519779,19.57894736842105,6.14657210401891,80.42105263157895,0.27299182285439294,124.0309245325362,0,12310.0,28.4999999999997,4.6879166666666805,45.022943772418515,37.81459491581418,7.2083488566043314,83.98961006849972,19.646067254076108,20.272818256494418,17.54177665931977,62.53186635058129,2.0,4,620.154622662681,578,51.903114186851205,262,1231,"C4-Variable scheduler
uses predicted η",1007
eta_corrected,C4,1008,2146,2136,89.0,99.53401677539608,0.4281887237263722,3.571786913525769,0.011974988757186097,9.56719817767654,0.0,90.43280182232346,0.32161712434812784,4.7369515717340015e-17,0,14630.0,28.539999999999694,4.664444444444459,29.61783523467397,23.80575891625943,5.812076318414565,80.37643105121245,28.88363648967053,23.80575891625943,0.0,41.13588227038054,2.0,4,2.3684757858670006e-16,699,39.91416309012876,317,1463,"C4-Fixed scheduler
assumes η=90%",1008
eta_corrected,C4,1008,2146,2136,89.0,99.53401677539608,0.4281887237263722,3.571786913525769,0.011974988757186097,9.56719817767654,0.0,90.43280182232346,0.3216171243481278,2.3684757858670008e-17,0,14630.0,28.539999999999694,4.6644444444444595,29.617835234673976,24.490827906287446,5.127007328386542,82.68945961862778,28.949542544818573,24.490827906287446,0.0,41.13588227038054,2.0,4,1.1842378929335003e-16,699,45.20743919885551,317,1463,"C4-Variable scheduler
uses predicted η",1008
eta_corrected,C4,1009,2120,2120,88.33333333333333,100.0,0.4122889213091797,4.0288304580807255,0.011007360279188347,9.336609336609335,0.0,90.66339066339066,0.3276505622905711,0.0,0,14580.0,28.413999999999703,4.6231944444444615,30.045797575394374,24.412231422579815,5.6335661528145975,81.250069535754,21.379352411174988,24.412231422579815,0.0,41.73027441027001,2.0,4,0.0,696,43.67816091954023,320,1458,"C4-Fixed scheduler
assumes η=90%",1009
eta_corrected,C4,1009,2120,2120,88.33333333333333,100.0,0.4122889213091797,4.0288304580807255,0.011007360279188347,9.336609336609335,0.0,90.66339066339066,0.3276505622905711,0.0,0,14580.0,28.413999999999703,4.623194444444461,30.045797575394378,25.28633923374692,4.759458341647493,84.15932101750843,24.49460697568638,25.28633923374692,0.0,41.73027441027001,2.0,4,0.0,696,51.86781609195402,320,1458,"C4-Variable scheduler
uses predicted η",1009
eta_corrected,C4,1010,2162,2153,89.70833333333333,99.58371877890842,0.4032687898204915,4.418069406834669,0.011896557311936399,7.744874715261963,0.0,92.25512528473804,0.31724210487335097,0.0,0,15150.0,29.037999999999666,4.719027777777795,29.59284224559363,23.751887331770785,5.840954913822878,80.26227131091957,26.408979912346876,23.751887331770785,0.0,41.10116978554675,2.0,4,0.0,687,41.3391557496361,332,1515,"C4-Fixed scheduler
assumes η=90%",1010
eta_corrected,C4,1010,2162,2153,89.70833333333333,99.58371877890842,0.4032687898204915,4.418069406834669,0.011896557311936399,7.744874715261963,0.0,92.25512528473804,0.3172421048733509,0.0,0,15150.0,29.037999999999666,4.719027777777796,29.59284224559363,24.638224503288097,4.954617742305571,83.25737791190613,27.358132401381702,24.638224503288097,0.0,41.10116978554675,2.0,4,0.0,687,44.25036390101892,332,1515,"C4-Variable scheduler
uses predicted η",1010
eta_corrected,C4,1011,2201,1904,79.33333333333333,86.50613357564744,35.533465216642206,493.71182185635627,34.29357721188262,29.13752913752914,18.397291196388267,70.86247086247086,0.25217125696805,179.27279186397337,0,11350.0,28.767999999999752,4.749027777777788,49.11834749150199,36.075906267588664,13.042441223913341,73.44690550477128,19.638807317077582,18.516302073431515,17.55960419415715,68.21992707153056,2.0,4,896.3639593198667,560,43.75,251,1135,"C4-Fixed scheduler
assumes η=90%",1011
eta_corrected,C4,1011,2201,1924,80.16666666666667,87.41481144934122,32.88918836920113,457.71177323082884,31.732904992479085,27.505827505827508,16.083521444695258,72.49417249417249,0.25506626217588824,196.0209962649465,0,11610.0,28.819999999999744,4.752638888888899,48.07614561668023,36.93854515647755,11.137600460202687,76.83341641194622,19.601414017263163,19.384790558483168,17.55375459799438,66.77242446761147,2.0,4,980.1049813247324,569,52.54833040421792,259,1161,"C4-Variable scheduler
uses predicted η",1011
eta_corrected,C4,1012,2155,2150,89.58333333333333,99.76798143851508,0.43896390259897616,4.471381576697847,0.01476969067506769,9.112149532710278,0.0,90.88785046728972,0.3217196635858913,2.3684757858670008e-17,0,14590.0,28.73999999999969,4.689583333333349,28.680921109079073,23.090867565239016,5.590053543840081,80.50950482873264,23.207964170223963,23.090867565239016,0.0,39.83461265149875,2.0,4,1.1842378929335003e-16,709,44.99294781382229,328,1459,"C4-Fixed scheduler
assumes η=90%",1012
eta_corrected,C4,1012,2155,2150,89.58333333333333,99.76798143851508,0.43896390259897616,4.471381576697847,0.01476969067506769,9.112149532710278,0.0,90.88785046728972,0.3217196635858914,2.3684757858670008e-17,0,14590.0,28.73999999999969,4.689583333333348,28.680921109079076,23.709061163894628,4.971859945184475,82.66492234933632,23.380146425604,23.709061163894628,0.0,39.83461265149875,2.0,4,1.1842378929335003e-16,709,46.82651622002821,328,1459,"C4-Variable scheduler
uses predicted η",1012
eta_corrected,C4,1013,2173,2164,90.16666666666667,99.58582604693972,0.49324020705760324,5.417435976621399,0.02079807198261153,12.195121951219512,0.05807200929152101,87.8048780487805,0.3154996811825107,1.1842378929335004e-17,0,14470.0,28.787999999999702,4.715416666666682,29.120114774296127,23.277307689905022,5.842807084391131,79.9354943149178,23.1764927931171,23.277307689905022,0.0,40.4446038531891,2.0,4,5.921189464667501e-17,693,44.44444444444444,318,1447,"C4-Fixed scheduler
assumes η=90%",1013
eta_corrected,C4,1013,2173,2164,90.16666666666667,99.58582604693972,0.49324020705760324,5.417435976621399,0.02079807198261153,12.195121951219512,0.05807200929152101,87.8048780487805,0.3154996811825107,1.1842378929335004e-17,0,14470.0,28.7879999999997,4.715416666666682,29.12011477429613,24.12577426951632,4.994340504779833,82.84917300810835,23.242500721772664,24.12577426951632,0.0,40.4446038531891,2.0,4,5.921189464667501e-17,693,49.63924963924964,318,1447,"C4-Variable scheduler
uses predicted η",1013
eta_corrected,C4,1014,2235,2068,86.16666666666667,92.52796420581656,12.854875833194283,390.82350445013606,11.913776111713432,19.730941704035875,9.502515371716047,80.26905829596413,0.2577949940416895,135.98604987202216,0,11930.0,29.01799999999972,4.808888888888902,43.693802144991764,35.80755733799299,7.886244806998776,81.95111338484718,19.75482549571657,18.281815502184568,17.525741835808425,60.685836312488576,2.0,4,679.9302493601109,543,41.62062615101289,261,1193,"C4-Fixed scheduler
assumes η=90%",1014
eta_corrected,C4,1014,2235,2133,88.875,95.43624161073826,5.494379661041886,321.5768752171978,4.606198404722859,19.506726457399104,6.707657909446619,80.49327354260089,0.2604127149925016,101.64026622255687,0,11890.0,29.009999999999717,4.808333333333346,42.7514226026994,36.760418449104115,5.991004153595292,85.98642152970835,19.665261362202017,19.21443174083191,17.545986708272206,59.376975837082526,2.0,4,508.2013311127843,543,46.59300184162063,261,1189,"C4-Variable scheduler
uses predicted η",1014
eta_corrected,C4,1015,2188,1933,80.54166666666667,88.345521023766,44.68275017029069,437.029365535464,42.90733269894403,41.801385681293304,28.034188034188034,58.198614318706696,0.2789137033790414,159.833421726131,0,9020.0,28.031999999999787,4.681666666666669,40.79106678354507,31.72403232365989,9.067034459885193,77.77200947452843,19.74150615779019,14.176830662606141,17.547201661053748,56.65425942159038,2.0,4,799.167108630655,427,39.34426229508197,181,902,"C4-Fixed scheduler
assumes η=90%",1015
eta_corrected,C4,1015,2188,1980,82.5,90.49360146252286,31.34676686515255,361.16215702516456,29.687708183474726,40.184757505773675,25.014245014245017,59.815242494226325,0.285326326960564,136.71341752854272,0,9320.0,28.091999999999782,4.685833333333338,38.482522294196954,32.803448990326565,5.679073303870403,85.24246082298306,19.80948168834517,15.265257866671817,17.53819112365474,53.44794763082913,2.0,4,683.5670876427137,441,52.15419501133787,193,932,"C4-Variable scheduler
uses predicted η",1015
eta_corrected,C4,1016,2129,2127,88.625,99.90605918271488,0.4209402115406583,3.7609962898756444,0.010169763797742077,8.924485125858128,0.0,91.07551487414187,0.32590476981777966,0.0,0,14850.0,28.62399999999969,4.649027777777794,29.774282865599314,24.027478718974255,5.746804146625083,80.69876553344358,23.027005944697798,24.027478718974255,0.0,41.35317064666575,2.0,4,0.0,695,45.75539568345324,311,1485,"C4-Fixed scheduler
assumes η=90%",1016
eta_corrected,C4,1016,2129,2127,88.625,99.90605918271488,0.4209402115406583,3.7609962898756444,0.010169763797742077,8.924485125858128,0.0,91.07551487414187,0.3259047698177796,0.0,0,14850.0,28.62399999999969,4.649027777777794,29.774282865599318,24.837874113617445,4.936408751981892,83.42056205261181,22.975333425471163,24.837874113617445,0.0,41.35317064666575,2.0,4,0.0,695,52.94964028776978,311,1485,"C4-Variable scheduler
uses predicted η",1016
eta_corrected,C4,1017,2134,2131,88.79166666666667,99.85941893158387,0.36891630117860824,4.3543638225032435,0.006777986511525325,6.38766519823789,0.0,93.6123348017621,0.3235697113210859,0.0,0,15160.0,28.595999999999684,4.65333333333335,30.114903924409024,24.137473755268765,5.977430169140282,80.1512560553269,31.603328309412827,24.137473755268765,0.0,41.82625545056813,2.0,4,0.0,711,39.66244725738397,355,1516,"C4-Fixed scheduler
assumes η=90%",1017
eta_corrected,C4,1017,2134,2131,88.79166666666667,99.85941893158387,0.36891630117860824,4.3543638225032435,0.006777986511525325,6.38766519823789,0.0,93.6123348017621,0.32356971132108603,0.0,0,15160.0,28.595999999999684,4.65333333333335,30.11490392440902,24.892277440520882,5.222626483888169,82.65766845214789,31.92594934621919,24.892277440520882,0.0,41.82625545056813,2.0,4,0.0,711,44.86638537271448,355,1516,"C4-Variable scheduler
uses predicted η",1017
eta_corrected,C4,1018,2228,2203,91.79166666666667,98.87791741472172,1.6386533864756705,408.75615478647234,1.0454561036669183,16.228070175438592,1.4108352144469483,83.77192982456141,0.24798304477635588,148.72078755097633,0,13790.0,29.441999999999695,4.829583333333347,47.92610388051187,39.09957646886858,8.826527411643312,81.58304828272843,19.63671722370631,21.54019126398062,17.559385204887953,66.56403316737763,2.0,4,743.6039377548817,596,44.63087248322148,316,1379,"C4-Fixed scheduler
assumes η=90%",1018
eta_corrected,C4,1018,2228,2206,91.91666666666667,99.01256732495511,1.3205766093348754,342.6307317705672,0.7010399497941745,17.324561403508774,1.8623024830699775,82.67543859649122,0.25273547403675906,114.2285103176423,0,13240.0,29.33199999999971,4.821944444444457,46.21522934676672,39.03274313553525,7.1824862112314705,84.4586161039273,19.699657475187347,21.481015430232418,17.551727705302838,64.18781853717601,2.0,4,571.1425515882115,568,49.647887323943664,304,1324,"C4-Variable scheduler
uses predicted η",1018
eta_corrected,C4,1019,2165,2086,86.91666666666667,96.35103926096997,5.2460616753377565,406.0069685077389,4.500611068322746,19.37639198218263,4.720279720279718,80.62360801781738,0.26494431804813623,144.6910083033286,0,13460.0,28.76199999999973,4.703611111111122,48.12004550267091,39.20601546533081,8.914030037340126,81.47543306698384,19.63579760087339,21.65743657948579,17.548578885845014,66.83339653148741,2.0,4,723.4550415166431,651,41.78187403993856,295,1346,"C4-Fixed scheduler
assumes η=90%",1019
