scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,solver_mean_time_s,solver_median_time_s,solver_p95_time_s,solver_max_time_s,solver_mean_binary_variables,solver_mean_constraints,solver_mean_available_agv_slot_pairs,solver_mean_actual_busy_agv_slot_pairs,solver_mean_forecast_busy_agv_slot_pairs,solver_infeasible_calls,solver_time_limit_calls,solver_fallback_calls,solver_safety_slack_total,solver_reserve_slack_total,solver_task_slack_total
v3_primary_challenge,C1,1007,2167,2161,90.04166666666667,99.72311952007384,4.048738159080394,104.52259471213922,2.338114064306204,37.05263157894737,24.113475177304966,62.94736842105263,0.3003203279115726,16.784635022279872,0,140.0,26.06599999999988,4.518888888888885,35.184681951833866,28.124206026925137,7.060475924908731,79.93309720811409,29.683410943115195,0.0,28.124206026925137,48.86761382199148,0.0,0,83.92317511139936,0,0.0,0,14,0.3,0.7,0.0,0,,,,,,,,,,,,,,,
v3_primary_challenge,C2,1007,2167,2166,90.25,99.95385325334564,2.8468577027309867,156.93168148031847,1.4331128230490695,31.157894736842106,18.79432624113475,68.84210526315789,0.2863492952747078,23.963826805612165,0,9150.0,27.86799999999977,4.644027777777784,40.21425370110518,31.984825402488372,8.229428298616817,79.53604122612217,19.764135828211153,14.43902786431285,17.545797538175524,55.85313014042388,2.0,4,119.81913402806082,438,37.21461187214612,201,915,,,0.0,0,,,,,,,,,,,,,,,
v3_primary_challenge,C3,1007,2167,2028,84.5,93.58560221504383,11.152000554665186,417.41092969004967,10.386955802033734,19.789473684210524,6.560283687943258,80.21052631578948,0.2672580293807744,162.1033731127179,0,12620.0,28.561999999999692,4.692222222222237,47.087109422921166,37.60653936025862,9.480570062662562,79.86589073134405,19.65553749443427,20.049795011332073,17.55674434892655,65.39876308739052,2.0,4,810.5168655635896,590,56.271186440677965,267,1262,,,0.0,0,,,,,,,,,,,,,,,
v3_primary_challenge,C4,1007,2167,1998,83.25,92.20119981541302,14.927661610093471,390.7811738698314,13.94952189789659,24.842105263157897,10.874704491725772,75.1578947368421,0.2721860583492602,140.65662541688474,0,11840.0,28.40599999999971,4.681388888888901,45.31301899426632,36.36687269359195,8.946146300674393,80.2570067074843,19.764049854720785,18.82320570281597,17.543666990775982,62.934748603147696,2.0,4,703.2831270844237,557,50.269299820466784,252,1184,,,0.0,0,,,,,,,,,,,,,,,
v3_primary_challenge,C5,1007,2167,2026,84.41666666666667,93.49330872173512,11.365996880280923,419.6448031679703,10.586126651696675,19.57894736842105,6.914893617021278,80.42105263157895,0.2675813093563355,162.90733548909756,0,12570.0,28.551999999999698,4.691527777777793,46.97072863171921,37.548067138036394,9.42266149368284,79.93929034492405,19.644191689701106,19.99470634983143,17.553360788204966,65.23712309961005,2.0,4,814.5366774454877,587,45.4855195911414,266,1257,,,4.064201034721918,1252,0.00324616696064051,0.0033115420083049685,0.007040933158714325,0.009548500005621463,27.400159744408946,138.83945686900958,27.400159744408946,0.0,23.526357827476037,0.0,0.0,0.0,0.0,328.57756795400456,105.89148158308953
v3_primary_challenge,C1,1008,2146,2136,89.0,99.53401677539608,2.515657030671834,100.27253975265788,1.210947300338954,34.62414578587699,11.892208553016992,65.37585421412301,0.3199836998287,14.068460314672883,0,120.0,25.6379999999999,4.4629166666666595,30.205868061668006,24.127597806854375,6.078270254813633,79.87718729882454,29.61833333333322,0.0,24.127597806854375,41.95259453009446,0.0,0,70.34230157336442,0,0.0,0,12,0.3,0.7,0.0,0,,,,,,,,,,,,,,,
v3_primary_challenge,C2,1008,2146,2132,88.83333333333333,99.34762348555452,1.0327867073967956,106.87084278973902,0.32666420306660643,18.678815489749432,2.5776215582894,81.32118451025056,0.29051309726659746,7.426525803243663,0,11600.0,27.93399999999976,4.622361111111119,40.8152849840249,32.57206178809578,8.24322319592914,79.80358780012068,19.72483284778594,18.528130818108785,14.043930969986993,56.687895811145715,2.0,4,37.13262901621832,546,36.08058608058608,250,1160,,,0.0,0,,,,,,,,,,,,,,,
v3_primary_challenge,C3,1008,2146,2136,89.0,99.53401677539608,0.4281887237263722,3.571786913525769,0.011974988757186097,9.56719817767654,0.0,90.43280182232346,0.3216171243481277,0.0,0,14630.0,28.53999999999969,4.6644444444444595,29.61783523467397,23.66008277093095,5.95775246374305,79.88457827340397,30.031447889558454,23.66008277093095,0.0,41.13588227038054,2.0,4,0.0,699,58.0829756795422,317,1463,,,0.0,0,,,,,,,,,,,,,,,
v3_primary_challenge,C4,1008,2146,2136,89.0,99.53401677539608,0.4281887237263722,3.571786913525769,0.011974988757186097,9.56719817767654,0.0,90.43280182232346,0.3216171243481278,0.0,0,14630.0,28.53999999999969,4.6644444444444595,29.617835234673972,23.700016418681084,5.917818815992919,80.01940800499551,24.491000072257986,23.700016418681084,0.0,41.13588227038054,2.0,4,0.0,699,52.5035765379113,317,1463,,,0.0,0,,,,,,,,,,,,,,,
v3_primary_challenge,C5,1008,2146,2136,89.0,99.53401677539608,0.4281887237263722,3.571786913525769,0.011974988757186097,9.56719817767654,0.0,90.43280182232346,0.3216171243481278,0.0,0,14630.0,28.53999999999969,4.6644444444444595,29.61783523467397,23.687160997288007,5.930674237385997,79.97600368023235,23.506292072051355,23.687160997288007,0.0,41.135882270380556,2.0,4,0.0,699,46.065808297567955,317,1463,,,2.9610912445932627,1463,0.002023985813119113,0.0010172090260311961,0.0062328797124791835,0.0089342090068385,27.477785372522213,139.21736158578264,27.477785372522213,0.0,23.493506493506494,0.0,0.0,0.0,0.0,43.561209231622186,14.954327794759259
v3_primary_challenge,C1,1009,2120,2119,88.29166666666667,99.95283018867924,5.034698251777032,139.52462986344193,3.3090087584314167,40.78624078624079,19.206071220081732,59.21375921375921,0.3057974142114473,34.43576158612957,0,150.0,25.527999999999913,4.422777777777773,37.912930883878985,30.1397014070563,7.77322947682268,79.49715494001032,29.628888888888767,0.0,30.1397014070563,52.65684844983193,0.0,0,172.17880793064785,0,0.0,0,15,0.3,0.7,0.0,0,,,,,,,,,,,,,,,
v3_primary_challenge,C2,1009,2120,2120,88.33333333333333,100.0,2.7141889624174502,151.9755844298049,1.4631394857667341,27.764127764127768,14.360770577933446,72.23587223587224,0.29516944221910313,20.8103115407881,0,9840.0,27.4659999999998,4.557361111111118,41.739000801122856,33.48694503756544,8.252055763557438,80.22938832945081,19.65397574375535,15.949762804498473,17.537182233066975,57.97083444600399,2.0,4,104.05155770394049,454,40.308370044052865,216,984,,,0.0,0,,,,,,,,,,,,,,,
v3_primary_challenge,C3,1009,2120,2120,88.33333333333333,100.0,0.4122889213091797,4.0288304580807255,0.011007360279188347,9.336609336609335,0.0,90.66339066339066,0.3276505622905711,0.0,0,14580.0,28.413999999999703,4.62319444444446,30.04579757539438,24.062060364022457,5.983737211371949,80.08461184511133,20.78520196776634,24.062060364022457,0.0,41.73027441027001,2.0,4,0.0,696,59.77011494252874,320,1458,,,0.0,0,,,,,,,,,,,,,,,
v3_primary_challenge,C4,1009,2120,2102,87.58333333333333,99.15094339622641,1.2649137372540002,395.70196170800386,0.744250731693961,11.54791154791155,2.2183304144775207,88.45208845208845,0.26982896850294413,146.296621688611,0,14030.0,28.303999999999718,4.61555555555557,50.86157133894007,40.50567362927874,10.355897709661374,79.63905275232274,19.707261698965056,22.971487066514918,17.53418656276382,70.6410713040835,2.0,4,731.483108443055,669,54.26008968609865,308,1403,,,0.0,0,,,,,,,,,,,,,,,
