scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,workload,n_pads,wpt_power_kw
v3_stress_w75_p1_kw1,C1,1007,1826,1422,59.25,77.8751369112815,186.40435620071165,786.685678280517,182.86777055350208,76.14213197969544,72.83519553072625,23.85786802030457,0.24130425662401495,546.7572950967752,0,120.0,22.001999999999924,3.810416666666664,30.176822538451542,24.10884491581401,6.067977622637532,79.89192661054467,29.61833333333323,0.0,24.10884491581401,125.73676057688144,0.0,0,2733.786475483877,0,0.0,0,12,0.3,0.7,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C2,1007,1826,1379,57.458333333333336,75.52026286966046,176.3479188661776,1129.0090035119285,173.74276514351655,59.390862944162436,51.536312849162016,40.609137055837564,0.19911558726606732,574.3071208739107,0,6380.0,23.25399999999992,3.8973611111111097,35.23946286140526,28.32245602692519,6.917006834480061,80.37141808408303,19.72665485830025,3.759607036270889,24.562848990654302,146.83109525585522,2.0,4,2871.535604369553,376,42.819148936170215,116,638,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C3,1007,1826,1241,51.708333333333336,67.96276013143483,224.5746841600922,1307.0650239800214,222.4609561901417,45.17766497461929,42.94692737430168,54.82233502538071,0.19884850924892417,692.5897355982637,0,9280.0,23.833999999999843,3.937638888888894,37.51804781076987,30.08812269359189,7.429925117177986,80.19639733215234,19.610593880608803,5.507237494136786,24.580885199455103,156.32519921154113,2.0,4,3462.9486779913186,543,55.98526703499079,167,928,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C4,1007,1826,1250,52.083333333333336,68.45564074479738,221.63213319120212,1282.3030330487732,219.44326115217274,46.954314720812185,44.20391061452514,53.045685279187815,0.19681998400315115,676.7735492163105,0,8790.0,23.735999999999866,3.930833333333337,37.27172900531137,29.821789360258542,7.449939645052823,80.01182171079002,19.603609302995757,5.226931552401398,24.594857807857146,155.29887085546403,2.0,4,3383.867746081552,522,44.252873563218394,157,879,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C1,1008,1782,1476,61.5,82.82828282828282,117.41697317938106,684.0946083100712,114.05576475975191,73.40720221606648,67.55805770584095,26.59279778393352,0.2753734056402021,462.10272830566936,0,110.0,21.367999999999938,3.711388888888886,27.55519132317575,22.097986695743256,5.457204627432494,80.19536658835453,29.60055555555548,0.0,22.097986695743256,114.81329717989897,0.0,0,2310.513641528347,0,0.0,0,11,0.3,0.7,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C2,1008,1782,1389,57.875,77.94612794612794,122.37078445362357,1122.6522046313917,120.04702843087293,51.24653739612188,44.47572132301196,48.75346260387812,0.19916770875618925,579.6224444208295,0,8080.0,22.961999999999907,3.822083333333334,36.97668491189023,29.412014473521122,7.564670438369109,79.54205344152793,19.76784610989775,4.86164873837541,24.55036573514571,154.06952046620933,2.0,4,2898.1122221041473,486,38.065843621399175,152,808,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C3,1008,1782,1285,53.541666666666664,72.10998877665544,158.95809743258678,1314.3594246643072,157.27014291246908,37.396121883656505,33.145672061928224,62.603878116343495,0.23287282863008585,606.9238579915498,0,11340.0,23.613999999999837,3.8673611111111192,35.00505476910223,27.901236695743375,7.103818073358854,79.70630778835645,19.647835800185174,6.844452465989219,21.056784229754157,145.8543948712593,2.0,4,3034.619289957749,669,58.29596412556054,208,1134,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C4,1008,1782,1334,55.583333333333336,74.85970819304153,140.65209216033213,1205.0695920658302,138.77249521923162,41.82825484764543,36.593947923997185,58.17174515235457,0.23674615110449615,530.7168140106426,0,9780.0,23.301999999999868,3.8456944444444483,33.60256378928983,26.964486695743354,6.638077093546477,80.24532551988716,19.663520513546196,5.911307979077979,21.05317871666538,140.01068245537428,2.0,4,2653.584070053213,590,47.45762711864407,184,978,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C1,1009,1761,1358,56.583333333333336,77.11527541169791,199.76965717634152,757.4427013876591,196.16269628560542,79.28994082840237,73.78777231201687,20.710059171597635,0.25903068710380805,575.7638488521353,0,120.0,21.179999999999936,3.67208333333333,30.216317547543042,24.128451407056296,6.08786614048674,79.85238892559308,29.636111111110985,0.0,24.128451407056296,125.90132311476265,0.0,0,2878.819244260676,0,0.0,0,12,0.3,0.7,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C2,1009,1761,1331,55.458333333333336,75.58205565019875,176.8924989346375,1133.4155391054187,174.32353410908843,57.98816568047338,50.808151791988756,42.01183431952663,0.2121736197196165,566.3103028197752,0,6650.0,22.485999999999933,3.7627777777777753,35.83916563364602,28.650451407056366,7.188714226589651,79.94173664623251,19.672222222222146,4.077163540517812,24.573287866538553,149.32985680685843,2.0,4,2831.551514098877,380,52.10526315789473,131,665,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C3,1009,1761,1183,49.291666666666664,67.17773992049972,228.3620660971211,1302.8557708763096,226.18972536446645,46.74556213017751,43.991567111735776,53.25443786982249,0.21223638489998295,691.6973681119119,0,9710.0,23.097999999999868,3.8052777777777815,38.21865615555476,30.58742362927862,7.631232526276141,80.03270315100546,19.699892691983933,6.034376138554322,24.553047490724296,159.24440064814485,2.0,4,3458.4868405595603,574,59.40766550522648,183,971,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C4,1009,1761,1211,50.458333333333336,68.76774559909143,219.7460863697101,1263.4749333230202,217.3786642202028,52.366863905325445,47.997189037245256,47.633136094674555,0.20412046631773859,657.4972790399504,0,8470.0,22.849999999999895,3.788055555555557,37.58794197812141,29.783645851500836,7.80429612662058,79.23723482609617,19.63631991272057,5.227682283394471,24.55596356810636,156.61642490883924,2.0,4,3287.4863951997527,492,54.67479674796748,162,847,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C1,1010,1793,1540,64.16666666666667,85.88957055214725,80.6878041679295,631.3764634744315,77.81363932935197,63.812154696132595,57.30258560447239,36.187845303867405,0.27023817399688055,394.8039083822063,0,110.0,21.565999999999924,3.7388888888888863,27.80475245370767,22.112387574758266,5.692364878949407,79.52736717067823,29.671666666666574,0.0,22.112387574758266,115.85313522378198,0.0,0,1974.0195419110316,0,0.0,0,11,0.3,0.7,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C2,1010,1793,1421,59.208333333333336,79.2526491912995,102.90142011244185,1085.0809040505653,100.80383432020274,46.408839779005525,40.81062194269741,53.591160220994475,0.23144583242953995,446.69845061441515,0,8460.0,23.235999999999883,3.854861111111112,32.762546891190475,26.31041535253612,6.45213153865435,80.30637984255958,19.671993184372567,5.24318302484572,21.067232327690405,136.51061204662696,2.0,4,2233.4922530720755,514,46.88715953307393,141,846,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C3,1010,1793,1311,54.625,73.11767986614612,148.6380156713673,1306.221233625422,147.04596243741258,34.53038674033149,30.887491264849753,65.4696132596685,0.2309822206816902,608.1720958383746,0,11940.0,23.93199999999981,3.903194444444455,35.48012679316102,28.48338757475839,6.996739218402637,80.27983592282062,19.652593170690817,7.421900659039348,21.061486915719037,147.83386163817096,2.0,4,3040.860479191873,729,58.57338820301783,200,1194,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C4,1010,1793,1312,54.666666666666664,73.17345231455661,144.11004262075,1278.9345959784912,142.4339318229557,36.46408839779005,31.935709294199867,63.53591160220995,0.23012587110183524,591.0377858094888,0,11270.0,23.797999999999824,3.8938888888888963,35.0891893096649,28.034165352536156,7.055023957128736,79.8940240685882,19.622483446624493,6.962892969744152,21.071272382792007,146.20495545693709,2.0,4,2955.1889290474437,684,47.953216374269005,192,1127,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C1,1011,1818,1299,54.125,71.45214521452145,267.97681202208446,897.4090103279476,264.3603073920381,79.53890489913545,74.71108089734875,20.461095100864554,0.2214474716273899,655.5983360440011,0,130.0,21.85399999999992,3.7901388888888845,32.82630340471321,26.138572934255183,6.687730470458019,79.62691568403099,29.593333333333216,0.0,26.138572934255183,136.776264186305,0.0,0,3277.9916802200064,0,0.0,0,13,0.3,0.7,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C2,1011,1818,1255,52.291666666666664,69.03190319031903,241.57612036435754,1291.1391816855196,238.90908302876989,59.36599423631124,53.569000679809655,40.63400576368876,0.1569222378407822,721.1250254092926,0,7010.0,23.22999999999991,3.885694444444443,40.65093704808431,32.25893404536636,8.39200300271795,79.35594204681826,19.651111111111003,4.170315465405838,28.088618579960517,169.3789043670179,2.0,4,3605.625127046463,388,55.154639175257735,141,701,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C3,1011,1818,1164,48.5,64.02640264026402,274.06044982195004,1301.7704787713292,271.6041865722763,52.73775216138328,50.03399048266486,47.262247838616716,0.19061577097889865,689.694980404647,0,8640.0,23.555999999999877,3.908333333333335,37.068392053908546,29.796072934255267,7.272319119653281,80.38134724301732,19.737817986566412,5.228279081608096,24.56779385264717,154.45163355795228,2.0,4,3448.4749020232352,497,64.1851106639839,178,864,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C4,1011,1818,1177,49.041666666666664,64.74147414741475,267.1805465381128,1278.7748767314881,264.6825363201417,53.31412103746398,50.91774303195105,46.68587896253602,0.19155870089814,673.6522569825229,0,8190.0,23.465999999999873,3.9020833333333345,36.70386449598538,29.513711823144153,7.190152672841222,80.41036612472325,19.65989501630698,4.942620024743297,24.571091798400857,152.93276873327238,2.0,4,3368.261284912615,465,58.06451612903226,168,819,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C1,1012,1800,1380,57.5,76.66666666666667,182.26336802265035,803.6449090953337,178.8627747028117,70.39106145251397,70.3883495145631,29.608938547486037,0.2506936171554496,553.2419173256686,0,120.0,21.601999999999926,3.7501388888888876,29.916765941346046,24.087342870208598,5.829423071137448,80.51452793204169,29.67888888888877,0.0,24.087342870208598,124.65319142227517,0.0,0,2766.209586628343,0,0.0,0,12,0.3,0.7,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C2,1012,1800,1394,58.083333333333336,77.44444444444444,128.622375097107,1081.559378907973,126.42569780998778,43.85474860335196,43.06518723994452,56.14525139664804,0.2060925450099676,520.8982816194824,0,7670.0,23.111999999999913,3.8549999999999986,36.56601312870986,29.37195398131979,7.194059147390069,80.32583119721728,19.600186811047866,4.829155235402475,24.542798745917317,152.3583880362911,2.0,4,2604.491408097412,458,46.724890829694324,126,767,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C3,1012,1800,1247,51.958333333333336,69.27777777777779,185.85549336692137,1299.7137809730018,184.01579758079768,37.150837988826815,36.615811373092924,62.849162011173185,0.23090883135695311,602.2820148187723,0,11180.0,23.813999999999833,3.9037500000000076,35.00563434950142,27.958870647986494,7.046763701514931,79.8696300396702,19.688766452394397,6.898073496562482,21.06079715142401,145.85680978958928,2.0,4,3011.410074093861,661,63.842662632375195,198,1118,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C4,1012,1800,1285,53.541666666666664,71.38888888888889,172.0160919574001,1253.214307324613,170.04268717046236,39.94413407821229,39.18169209431346,60.05586592178771,0.2066678449079517,647.3513993916797,0,10340.0,23.64599999999985,3.8920833333333382,38.64867278817985,30.92245398131982,7.7262188068600235,80.00909669213017,19.659707511959734,6.343757274238196,24.57869670708163,161.03613661741605,2.0,4,3236.7569969583983,606,50.495049504950494,183,1034,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C1,1013,1796,1482,61.75,82.51670378619154,120.42836129723547,731.0397708607741,117.37576265672746,67.44791666666667,62.60623229461757,32.55208333333333,0.25018836197796224,481.5489965679947,0,120.0,21.379999999999928,3.72972222222222,30.110729895977858,24.104640142163994,6.006089753813866,80.0533239328212,29.671666666666614,0.0,24.104640142163994,125.46137456657442,0.0,0,2407.7449828399745,0,0.0,0,12,0.3,0.7,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C2,1013,1796,1379,57.458333333333336,76.78173719376392,130.39099685883826,1098.4692046453954,128.04305231573758,52.08333333333333,46.17563739376771,47.91666666666667,0.1958448210211033,554.139659537332,0,8120.0,22.979999999999905,3.8408333333333333,36.82912990823569,29.435584586608517,7.3935453216271725,79.92473528413757,19.736952605419624,4.872417210248666,24.56316737635985,153.45470795098203,2.0,4,2770.6982976866593,490,47.14285714285714,160,812,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C3,1013,1796,1263,52.625,70.32293986636972,177.2521931441724,1306.7783949550314,175.51477484836718,38.541666666666664,34.490084985835686,61.458333333333336,0.23139184250994188,609.7366513066574,0,11550.0,23.665999999999826,3.8884722222222297,35.13326962766306,28.190779031052998,6.942490596610072,80.23955450151523,19.613173716618842,7.120689124206717,21.07008990684628,146.38862344859612,2.0,4,3048.683256533288,707,62.23479490806223,219,1155,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C4,1013,1796,1284,53.5,71.49220489977728,166.85894281056127,1246.413616200279,165.02190050667193,39.583333333333336,36.68555240793201,60.416666666666664,0.2320390475228161,563.3506735958515,0,10560.0,23.46799999999985,3.8747222222222275,34.200978102236036,27.491112364386325,6.709865737849708,80.38107062964079,19.736666666666565,6.446715761811129,21.044396602575198,142.5040754259835,2.0,4,2816.753367979258,642,51.246105919003114,204,1056,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C1,1014,1880,1434,59.75,76.27659574468085,184.33822905539236,870.2102139038194,181.17340520959945,65.97402597402598,64.41471571906354,34.02597402597402,0.22449180202815558,587.8479046926548,0,120.0,22.391999999999925,3.9049999999999976,30.39431708995466,24.1112517824373,6.28306530751736,79.32815766538832,29.603888888888836,0.0,24.1112517824373,126.6429878748111,0.0,0,2939.239523463273,0,0.0,0,12,0.3,0.7,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C2,1014,1880,1426,59.416666666666664,75.85106382978724,136.43541752207352,1142.3269789388671,134.0438578108936,47.532467532467535,47.02341137123746,52.467532467532465,0.17744542130392893,574.5392963054891,0,8160.0,23.999999999999886,4.0166666666666675,36.84699658461267,29.45983511577073,7.387161468841937,79.95179484472061,19.641894413693034,4.883255687292161,24.576579428478567,153.52915243588612,2.0,4,2872.696481527445,468,44.65811965811966,172,816,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C3,1014,1880,1313,54.708333333333336,69.84042553191489,180.51409053528488,1296.8205781555932,178.68333876263046,38.18181818181819,35.38461538461538,61.81818181818181,0.2156986309245613,601.4283025275414,0,10800.0,24.527999999999828,4.0533333333333434,34.245813157825175,27.52694622688185,6.718866930943317,80.38047191351897,19.77923551800476,6.481832969000085,21.04511325788177,142.69088815760492,2.0,4,3007.1415126377065,612,62.41830065359477,219,1080,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C4,1014,1880,1319,54.958333333333336,70.15957446808511,178.1711367775455,1288.0581132172981,176.27971572848267,39.22077922077922,36.52173913043478,60.77922077922078,0.21331295160728247,596.4072844455038,0,10470.0,24.461999999999833,4.048750000000008,34.27433849331464,27.388085115770743,6.886253377543891,79.90842805357983,19.680418969406567,6.331509542839457,21.056575572931287,142.8097437221443,2.0,4,2982.036422227519,598,51.33779264214047,213,1047,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C1,1015,1838,1391,57.958333333333336,75.68008705114254,210.89777725677575,842.1638340557911,207.18766562946237,76.13636363636364,76.58142664872139,23.863636363636363,0.21740806199978854,605.8808591077654,0,130.0,22.07599999999993,3.830555555555551,32.64436589335871,26.104865656993105,6.539500236365606,79.96744596685204,29.62888888888878,0.0,26.104865656993105,136.0181912223279,0.0,0,3029.4042955388286,0,0.0,0,13,0.3,0.7,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C2,1015,1838,1363,56.791666666666664,74.15669205658324,194.254535419824,1175.8355037482945,191.3828631774988,59.65909090909092,56.93135935397039,40.340909090909086,0.1632839897109444,628.5785330149062,0,5410.0,23.13199999999991,3.9038888888888827,39.13925456802001,31.16725454588205,7.972000022137956,79.63170195721678,19.650217568205992,3.0967437728177254,28.07051077306432,163.08022736675,2.0,4,3142.8926650745298,313,44.40894568690096,109,541,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C3,1015,1838,1192,49.666666666666664,64.8531011969532,266.446005585706,1322.5538716564456,264.0254301091914,48.29545454545454,48.18304172274562,51.70454545454546,0.19294114136843515,694.5543786119802,0,8560.0,23.761999999999865,3.94763888888889,37.24670189326854,29.798198990326515,7.448502902942026,80.0022484560219,19.67580018843704,5.229828406825726,24.568370583500787,155.19459122195227,2.0,4,3472.7718930599003,510,60.98039215686275,150,856,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C4,1015,1838,1235,51.458333333333336,67.19260065288357,247.14774548715917,1257.527464172105,244.53656701831153,52.84090909090908,51.00942126514132,47.159090909090914,0.18848995418850178,650.6867054973495,0,7290.0,23.507999999999896,3.929999999999998,36.35805553448647,28.957337879215387,7.400717655271071,79.64490249416302,19.66455190578871,4.373114801368893,24.584223077846495,151.49189806036028,2.0,4,3253.433527486747,433,52.19399538106235,137,729,,,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C1,1016,1770,1314,54.75,74.23728813559322,217.5331357340908,839.1682468061706,214.19797532614842,69.01408450704226,69.39929328621908,30.985915492957744,0.2574014373383415,588.85669004609,0,120.0,21.317999999999927,3.692916666666664,30.111827519399018,24.108559910350913,6.003267609048105,80.06342323400794,29.746666666666542,0.0,24.108559910350913,125.4659479974959,0.0,0,2944.2834502304495,0,0.0,0,12,0.3,0.7,0.0,0,75,1,1
v3_stress_w75_p1_kw1,C2,1016,1770,1273,53.041666666666664,71.92090395480226,175.26981610630307,1186.2462245996687,172.97276964593974,42.816901408450704,46.71378091872792,57.183098591549296,0.2038666282324694,608.5850089964867,0,8650.0,23.023999999999894,3.8113888888888905,37.308360828064,29.95539324368435,7.352967584379645,80.29136788328526,19.74348457485558,5.410138429237641,24.54525481444671,155.45150345026664,2.0,4,3042.9250449824335,501,51.896207584830336,150,865,,,0.0,0,75,1,1
