scale_id,lambda_soc,lambda_task,lambda_kpi,mean_delay_min,worst_scenario_delay_min,mean_urgent_on_time_percent,worst_urgent_on_time_percent,mean_completion_rate_percent,worst_fleet_min_soc,mean_solver_time_s,total_solver_calls,hard_reject
soc2.0_task1.5_kpi2.0,2.0,1.5,2.0,123.061166975996,332.42786659051853,40.86440655674967,5.698278632136034,85.36985288090271,19.116944486347283,7.962702804195695,264615,False
soc2.5_task1.5_kpi1.5,2.5,1.5,1.5,123.50210329650812,332.72439940366513,40.82069664726129,5.710127181452973,85.31580084006745,19.12077775161076,7.941437075898053,264269,False
soc2.0_task1.0_kpi1.5,2.0,1.0,1.5,123.57139981104774,332.72439940366513,40.8725940891783,5.710127181452973,85.32271101029471,19.12077775161076,7.9606878894083195,264717,False
soc2.0_task2.0_kpi1.5,2.0,2.0,1.5,123.57926361227666,332.72439940366513,40.8516415875673,5.710127181452973,85.31058772289926,19.12077775161076,7.94600684481766,264516,False
soc2.0_task1.5_kpi1.5,2.0,1.5,1.5,123.59226895262672,332.72439940366513,40.85179432166251,5.710127181452973,85.30762303161124,19.12077775161076,7.882521713759749,264581,False
soc1.5_task1.5_kpi1.5,1.5,1.5,1.5,123.55712485082431,332.8275772123944,40.85030647660962,5.705977803859611,85.3206752162578,19.12077775161076,7.947416962042451,264587,False
soc2.0_task1.5_kpi1.0,2.0,1.5,1.0,123.92049795858186,334.1154030687997,40.85451261610622,5.707390666270284,85.28670441438456,19.13722222222213,7.772980032484047,264748,False
