candidate,n_agvs,distances_m,task_arrival_rate_per_h,mean_task_energy_kwh,rho_analytical,rho_simulation_based,logistics_utilization,service_capacity_tasks_per_h,fleet_per_pad,charging_contention_pressure_proxy
A_5AGV_40to80m_90perh,5,40|50|60|70|80,90,0.026916666666666665,1.0094492614777917,1.0095835209689834,1.05,85.71428571428571,5,5.047246307388958
B_6AGV_40to80m_90perh,6,40|50|60|70|80,90,0.026916666666666665,1.0094492614777917,1.0100246896124125,0.875,102.85714285714286,6,6.0566955688667505
C_7AGV_50to90m_90perh_current,7,50|60|70|80|90,90,0.031194444444444448,1.169877730278184,1.1699601148111387,0.8214285714285714,109.56521739130436,7,8.189144111947288
