scale_id,scenario,lambda_soc,lambda_task,lambda_kpi,replications,mean_delay_min,urgent_on_time_percent,completion_rate_percent,fleet_min_soc,mean_solver_time_s,p95_solver_time_s,total_solver_calls,solver_infeasible_calls,low_soc_stops,simulation_failures
soc1.5_task1.5_kpi1.5,primary,1.5,1.5,1.5,50,159.7296471371126,8.995530626229236,83.12396982587065,19.250000000000036,0.9826802788721397,2.0443095402792095,10210,0,0,0
soc1.5_task1.5_kpi1.5,stress_near_transition,1.5,1.5,1.5,50,22.91202405709131,60.5288469439993,92.4248964735347,19.205818630232585,6.864492786889896,8.771702512470073,79022,0,0,0
soc1.5_task1.5_kpi1.5,stress_non_binding,1.5,1.5,1.5,50,0.21093645378738823,96.53285906135889,99.81452905674242,46.931831105906376,27.03536084345076,29.983811311051248,120708,0,0,0
soc1.5_task1.5_kpi1.5,stress_strongly_constrained,1.5,1.5,1.5,50,332.8275772123944,5.705977803859611,66.92178245941814,19.12077775161076,1.0782321105943993,1.8200854245573281,11169,0,0,0
soc1.5_task1.5_kpi1.5,stress_transition,1.5,1.5,1.5,50,102.10543939373592,32.48831794760103,84.31819826572305,19.210605251126147,3.7763187904050572,5.226075851055794,43478,0,0,0
soc2.0_task1.0_kpi1.5,primary,2.0,1.0,1.5,50,160.01262651531192,9.000149563873578,83.10117780307863,19.250000000000036,1.012396497526206,2.074415368807968,10218,0,0,0
soc2.0_task1.0_kpi1.5,stress_near_transition,2.0,1.0,1.5,50,22.73738587568297,60.64688454598945,92.47142286196902,19.20597576409222,6.873364804619923,8.784946901164949,79200,0,0,0
soc2.0_task1.0_kpi1.5,stress_non_binding,2.0,1.0,1.5,50,0.21093645378738823,96.53285906135889,99.81452905674242,46.931831105906376,27.070811264873484,29.250470790301915,120708,0,0,0
soc2.0_task1.0_kpi1.5,stress_strongly_constrained,2.0,1.0,1.5,50,332.72439940366513,5.710127181452973,66.92500336215944,19.12077775161076,1.110152044543065,1.891625788004603,11153,0,0,0
soc2.0_task1.0_kpi1.5,stress_transition,2.0,1.0,1.5,50,102.17165080679122,32.47295009321662,84.30142196752408,19.208261872579104,3.7367148354789244,5.269791208230889,43438,0,0,0
soc2.0_task1.5_kpi1.0,primary,2.0,1.5,1.0,50,161.19578506543206,9.152935906687395,82.97044215966156,19.250785727507523,0.9915971913002432,2.1045866667991495,10378,0,0,0
soc2.0_task1.5_kpi1.0,stress_near_transition,2.0,1.5,1.0,50,22.649141526004357,60.535672704047,92.47474691925483,19.22699556325166,7.1443025389639665,9.255084540555252,79145,0,0,0
soc2.0_task1.5_kpi1.0,stress_non_binding,2.0,1.5,1.0,50,0.21101592733428237,96.54340314726136,99.81452905674242,46.95258257676018,25.760471982415766,27.365911717689595,120573,0,0,0
soc2.0_task1.5_kpi1.0,stress_strongly_constrained,2.0,1.5,1.0,50,334.1154030687997,5.707390666270284,66.81474310450112,19.13722222222213,1.1126074522733689,1.9191215792205183,11223,0,0,0
soc2.0_task1.5_kpi1.0,stress_transition,2.0,1.5,1.0,50,101.43114420533895,32.33316065626511,84.35906083176286,19.20832312133616,3.855920997466892,5.4487652171636,43429,0,0,0
soc2.0_task1.5_kpi1.5,primary,2.0,1.5,1.5,50,160.01262651531192,9.000149563873578,83.10117780307863,19.250000000000036,1.018267307234928,2.0077051596483213,10218,0,0,0
soc2.0_task1.5_kpi1.5,stress_near_transition,2.0,1.5,1.5,50,22.863605763305095,60.5539902175542,92.38910111466106,19.20597576409222,6.856680416455492,8.806883576605468,79084,0,0,0
soc2.0_task1.5_kpi1.5,stress_non_binding,2.0,1.5,1.5,50,0.21093645378738823,96.53285906135889,99.81452905674242,46.931831105906376,26.662554910718463,29.200234671356156,120708,0,0,0
soc2.0_task1.5_kpi1.5,stress_strongly_constrained,2.0,1.5,1.5,50,332.72439940366513,5.710127181452973,66.92500336215944,19.12077775161076,1.1064306538226083,1.8809296484221698,11153,0,0,0
soc2.0_task1.5_kpi1.5,stress_transition,2.0,1.5,1.5,50,102.14977662706411,32.46184558407289,84.30830382141465,19.208261872579104,3.7686752805672588,5.252526179305278,43418,0,0,0
soc2.0_task1.5_kpi2.0,primary,2.0,1.5,2.0,50,158.76858549315932,8.85012489948311,83.24465351765815,19.250785727507523,0.9619907686719671,1.860690053005237,10058,0,0,0
soc2.0_task1.5_kpi2.0,stress_near_transition,2.0,1.5,2.0,50,22.61679144426691,61.10849944825953,92.35139011602982,19.218447202749424,6.857979323426261,8.580233625962864,79681,0,0,0
soc2.0_task1.5_kpi2.0,stress_non_binding,2.0,1.5,2.0,50,0.21092760921361794,96.53855706705689,99.81452905674242,47.413706445999985,27.22029781698715,29.197817330958788,120715,0,0,0
soc2.0_task1.5_kpi2.0,stress_strongly_constrained,2.0,1.5,2.0,50,332.42786659051853,5.698278632136034,66.92917056141033,19.116944486347283,1.0628342617396265,1.7295354188303462,11057,0,0,0
soc2.0_task1.5_kpi2.0,stress_transition,2.0,1.5,2.0,50,101.28166374282156,32.126572736812825,84.50952115267285,19.211576413538538,3.7104118501534686,5.193142419750801,43104,0,0,0
soc2.0_task2.0_kpi1.5,primary,2.0,2.0,1.5,50,160.01262651531192,9.000149563873578,83.10117780307863,19.250000000000036,0.9535068145720288,1.9374404945527202,10218,0,0,0
soc2.0_task2.0_kpi1.5,stress_near_transition,2.0,2.0,1.5,50,22.889892984509032,60.56749088854323,92.38966036627724,19.20597576409222,6.884073683056049,8.762844496581238,79055,0,0,0
soc2.0_task2.0_kpi1.5,stress_non_binding,2.0,2.0,1.5,50,0.21093645378738823,96.53285906135889,99.81452905674242,46.931831105906376,27.048980397698468,29.490942445537076,120708,0,0,0
soc2.0_task2.0_kpi1.5,stress_strongly_constrained,2.0,2.0,1.5,50,332.72439940366513,5.710127181452973,66.92500336215944,19.12077775161076,1.117844709274359,1.934116941876709,11153,0,0,0
soc2.0_task2.0_kpi1.5,stress_transition,2.0,2.0,1.5,50,102.05846270410984,32.447581242607804,84.32256802623859,19.208261872579104,3.7256286194873973,5.427105456718709,43382,0,0,0
soc2.5_task1.5_kpi1.5,primary,2.5,1.5,1.5,50,159.87626874174245,9.000149563873578,83.1144731497073,19.250000000000036,0.9991834135958925,1.9797449099016375,10218,0,0,0
soc2.5_task1.5_kpi1.5,stress_near_transition,2.5,1.5,1.5,50,22.899691079883734,60.405952632217904,92.38803905210918,19.21062653961598,6.835193271371536,8.749125719652511,78821,0,0,0
soc2.5_task1.5_kpi1.5,stress_non_binding,2.5,1.5,1.5,50,0.21093645378738823,96.53285906135889,99.81452905674242,46.931831105906376,27.047009234237485,29.511468999460337,120708,0,0,0
soc2.5_task1.5_kpi1.5,stress_strongly_constrained,2.5,1.5,1.5,50,332.72439940366513,5.710127181452973,66.92500336215944,19.12077775161076,1.072204186618328,1.6659170520142652,11153,0,0,0
soc2.5_task1.5_kpi1.5,stress_transition,2.5,1.5,1.5,50,101.79922080346188,32.45439479740309,84.33695957961898,19.210605251126147,3.753595273667015,5.308932234311942,43369,0,0,0
