scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,solver_mean_time_s,solver_median_time_s,solver_p95_time_s,solver_max_time_s,solver_mean_binary_variables,solver_mean_constraints,solver_mean_available_agv_slot_pairs,solver_mean_actual_busy_agv_slot_pairs,solver_mean_forecast_busy_agv_slot_pairs,solver_infeasible_calls,solver_time_limit_calls,solver_fallback_calls,solver_safety_slack_total,solver_reserve_slack_total,solver_task_slack_total,scale_id,lambda_soc,lambda_task,lambda_kpi,simulation_failure,error
primary,C5,5007,2171,1789,74.54166666666667,82.40442192538,163.65749375686752,415.35129847151546,160.6038658032355,89.12037037037037,78.205865439908,10.87962962962963,0.3233645785656891,152.62452929708613,0,2610.0,53.053999999999846,6.39805555555556,75.20650205962232,60.44852761091371,14.757974448708605,80.37673067548234,19.46055555555554,4.2265545123710355,56.221973098542676,104.4534750828088,2.5,5,915.7471757825169,126,16.666666666666664,51,261,nan,nan,0.8474025609903038,245,0.0034587859632257295,0.002178274095058441,0.009794171713292598,0.01490223198197782,29.448979591836736,146.26938775510203,29.448979591836736,0.0,25.412244897959184,0,0,0,0.0,10.270621760869215,3.757531021925379,soc1.5_task1.5_kpi1.5,1.5,1.5,1.5,0,
primary,C5,5008,2192,1802,75.08333333333333,82.2080291970803,160.81225586591245,442.29667866843437,157.71186107660228,89.31623931623932,81.38051044083527,10.683760683760683,0.31859188298992275,162.480069233416,0,2740.0,52.87999999999984,6.412222222222226,75.16830654835339,60.28395946037271,14.884347087980672,80.19863986372229,19.41055555555561,4.050199917747466,56.233759542625236,104.40042576160191,2.5,5,974.8804154004958,124,15.32258064516129,50,274,nan,nan,0.6876321837771684,258,0.0026652410223921255,0.0020354880252853036,0.006830126326531169,0.016195126809179783,27.790697674418606,139.22093023255815,27.790697674418606,0.0,24.996124031007753,0,0,0,0.0,0.7762722572675317,0.37374108887370133,soc1.5_task1.5_kpi1.5,1.5,1.5,1.5,0,
primary,C5,5009,2193,1789,74.54166666666667,81.57774737802097,176.96073582008927,486.82038617757155,173.70080889042032,95.91397849462365,84.20138888888889,4.086021505376344,0.3242113536174964,187.08250087561788,0,1260.0,52.77999999999982,6.406527777777783,72.64069523724154,58.15691854210927,14.483776695132274,80.06107093574909,19.467209619331275,1.8764178341521502,56.28050070795711,100.88985449616881,2.5,5,1122.4950052537072,59,15.254237288135593,19,126,nan,nan,0.8380451954435557,110,0.007618592685850506,0.003212405601516366,0.026224199042189863,0.04473892296664417,29.045454545454547,145.12727272727273,29.045454545454547,0.0,25.9,0,0,0,0.0,7.01972235306114,2.5273812495860946,soc1.5_task1.5_kpi1.5,1.5,1.5,1.5,0,
primary,C5,5010,2176,1769,73.70833333333333,81.29595588235294,166.69985999421812,450.06610272070526,163.84754083900765,85.98574821852732,72.1937321937322,14.014251781472684,0.32866134710127276,163.80209801778992,0,3400.0,52.82799999999983,6.388611111111119,72.41829805225014,57.74001847431046,14.678279577939682,79.73125581141215,19.49757113107548,5.0188438620243465,52.72117461228611,100.5809695170141,2.5,5,982.8125881067396,134,23.134328358208954,56,340,nan,nan,1.6711855391040444,325,0.005142109351089367,0.00285231601446867,0.014960933988913894,0.0278990778606385,26.307692307692307,132.43076923076924,26.307692307692307,0.0,23.495384615384616,0,0,0,0.0,91.6237179248087,24.068910418933168,soc1.5_task1.5_kpi1.5,1.5,1.5,1.5,0,
primary,C5,5011,2063,1832,76.33333333333333,88.80271449345614,120.68489953261818,431.6694044553846,117.67517295066291,87.5,75.89123867069486,12.5,0.3625294682104839,161.1205946256935,0,2250.0,49.33799999999984,6.005000000000003,69.08726973307097,55.59147545995049,13.495794273120472,80.4655845783695,19.38555555555554,2.8756610395371958,52.715814420413295,95.95454129593189,2.5,5,966.7235677541611,65,12.307692307692308,61,225,nan,nan,0.6299400089774281,209,0.0030140670286001345,0.0022245270665735006,0.0065812855027616015,0.008150144014507532,23.038277511961724,118.26315789473684,23.038277511961724,0.0,21.220095693779903,0,0,0,0.0,24.403434000151638,7.320999191529001,soc1.5_task1.5_kpi1.5,1.5,1.5,1.5,0,
primary,C5,5012,2180,1776,74.0,81.46788990825688,159.80653963358222,459.6743481486919,156.96649107748587,87.47152619589977,70.36186099942562,12.52847380410023,0.32709188690304797,165.1038537829268,0,3470.0,52.869999999999806,6.396527777777783,72.69630485788328,58.20726729313332,14.489037564749955,80.06908660202865,19.300000000000058,5.427849407807306,52.779417885326005,100.96709008039343,2.5,5,990.6231226975608,160,16.875,70,347,nan,nan,1.3750658428762108,331,0.004154277470925108,0.00235370802693069,0.010513866087421775,0.03198425192385912,28.54984894259819,142.45317220543808,28.54984894259819,0.0,24.906344410876134,0,0,0,0.0,12.587480765986573,4.01118262107653,soc1.5_task1.5_kpi1.5,1.5,1.5,1.5,0,
primary,C5,5013,2070,1728,72.0,83.47826086956522,159.18917296089873,508.3560288360819,156.22022242325946,88.83610451306413,73.55973317161917,11.163895486935866,0.3567098034789449,204.76405614985575,0,2660.0,50.20399999999982,6.073888888888891,70.9013648970958,56.56905140032809,14.332313496767703,79.7855605211984,19.44380432950083,3.8545707669991516,52.71448063332895,98.47411791263305,2.5,5,1228.5843368991348,131,14.50381679389313,58,266,nan,nan,1.4178294287994504,251,0.005648722823902193,0.0027293579187244177,0.015330633497796953,0.02115132100880146,28.86454183266932,144.30278884462152,28.86454183266932,0.0,26.179282868525895,0,0,0,0.0,68.7393254848135,20.160823355822423,soc1.5_task1.5_kpi1.5,1.5,1.5,1.5,0,
primary,C5,5014,2127,1744,72.66666666666667,81.99341795956747,165.7368664885342,500.7243500662751,162.83307350619663,89.73747016706443,70.78454332552693,10.26252983293556,0.34605965270831557,204.38196674820162,0,2270.0,51.86599999999982,6.260555555555561,69.80223003000766,55.90754729116021,13.894682738847447,80.09421370510056,19.296872552253998,3.102038457124321,52.80550883403589,96.94754170834396,2.5,5,1226.2918004892094,93,35.483870967741936,46,227,nan,nan,1.0635799318552017,212,0.005016886471015103,0.0023432744201272726,0.018471827590838073,0.029041419038549066,28.867924528301888,144.41981132075472,28.867924528301888,0.0,26.38679245283019,0,0,0,0.0,24.905569167355956,7.469370868315733,soc1.5_task1.5_kpi1.5,1.5,1.5,1.5,0,
primary,C5,5015,2154,1704,71.0,79.10863509749304,200.0441476412319,512.6147538386012,197.13562523666977,85.48009367681499,71.7429067747539,14.519906323185012,0.3342241089662424,217.54867956090447,0,2890.0,51.90199999999981,6.29680555555556,72.21518492658328,57.48097861202484,14.734206314558435,79.59680317991598,19.38555555555559,4.737250411553849,52.743728200471,100.29886795358789,2.5,5,1305.2920773654266,137,32.11678832116788,54,289,nan,nan,2.0693116560578346,266,0.007779367128036972,0.0052663038950413465,0.024981309659779072,0.04330410389229655,28.646616541353385,142.99248120300751,28.646616541353385,0.0,25.045112781954888,0,0,0,0.0,97.30333905351904,26.098268402804916,soc1.5_task1.5_kpi1.5,1.5,1.5,1.5,0,
primary,C5,5016,2159,1782,74.25,82.5382121352478,161.8395194864694,480.0965455780398,158.86596849769973,89.86784140969164,74.25219941348973,10.13215859030837,0.33715628982829626,185.6137665567722,0,2300.0,52.03199999999982,6.312083333333339,70.44848279417602,56.12443609921185,14.324046694964169,79.66734537518197,19.400000000000066,3.387410931216413,52.73702516799543,97.84511499191115,2.5,5,1113.6825993406335,101,15.841584158415841,51,230,nan,nan,1.0574998650699854,215,0.004918604023581327,0.0029509379528462887,0.013821269734762609,0.023399283876642585,27.558139534883722,138.2,27.558139534883722,0.0,24.43720930232558,0,0,0,0.0,11.348844660919603,3.490798096320948,soc1.5_task1.5_kpi1.5,1.5,1.5,1.5,0,
